"","country","Base","Max","Min","Max.Base","Max.Min","Growth","Max.Var","Min.Var"
"90","KGZ",7909251,10967825,7341560,3058574,567691,1952351,2.7,1.9
"91","KHM",19928781,26899030,18536717,6970249,1392064,4411146,0,3
"92","KIR",216846,225949,162775,9103,54071,104439,0.1,2.6
"93","KOR",47408440,47418851,46291228,10411,1117212,-3606507,0.9,3
"94","KWT",5428981,5834226,5335475,405245,93506,1493187,0,1.6
"95","LAO",8930121,11351572,6901120,2421451,2029001,2266154,0,2.5
"96","LBN",6811245,6875315,6702686,64070,108559,959766,2.6,2.5
"97","LBR",9250860,10689573,6952738,1438713,2298122,4751239,0,2.9
"98","LBY",8413512,8686253,8269537,272741,143975,2178557,3,0.2
"99","LCA",187537,193251,185483,5714,2054,10331,0,1.5
"100","LKA",25124314,25170106,24906449,45792,217865,4158314,0.9,3
"101","LSO",3292140,3351251,3147526,59111,144614,1117495,2.7,0.2
"102","LTU",2378291,2465410,2361325,87119,16966,-526619,3,0.3
"103","LUX",583895,597087,566201,13192,17694,14291,0.5,0
"104","LVA",1634682,1703050,1588197,68368,46485,-342845,2.6,0.4
"105","MAC",574096,589742,566688,15646,7408,-26846,1.7,0
"106","MAR",51873567,51911087,46998550,37520,4875017,17070245,1.2,3
"107","MDA",3767708,4004609,3486676,236901,281032,213600,3,0
"108","MDG",50077003,57509461,41990462,7432458,8086541,25842915,0,3
"109","MDV",604732,691122,506411,86390,98321,195569,0,3
"110","MEX",155500854,170573472,154065365,15072618,1435489,29609905,0,0.9
"111","MKD",1951823,2044335,1946641,92512,5182,-127485,2.2,0.6
"112","MLI",41312244,50754269,30125583,9442025,11186661,23844339,0,3
"113","MLT",397603,426634,392117,29031,5486,-34271,3,0
"114","MMR",65285347,66550266,61623898,1264919,3661449,12881678,0,3
"115","MNE",623823,640893,619332,17070,4491,1664,2.8,0
"116","MNG",3237846,3494019,3049373,256173,188473,260969,0,3
"117","MOZ",59908112,65903063,49673425,5994951,10234687,31897421,0,3
"118","MRT",8138926,9593225,6384813,1454299,1754113,3956585,0,3
"119","MUS",1224841,1235798,1212545,10957,12296,-37764,3,0
"120","MWI",41862363,49887289,29577960,8024926,12284403,24288756,0,2.7
"121","MYS",35555395,39633364,32841084,4077969,2714311,4832240,0,2.7
"122","NAM",3734175,4125759,3432679,391584,301496,1308614,0,3
"123","NCL",343486,360396,326601,16910,16885,70486,3,0
"124","NER",60918053,70639944,42476877,9721891,18441176,41021088,0,3
"125","NGA",319933539,393065797,261836857,73132258,58096682,138751795,0.1,3
"126","NIC",8274221,8694878,7789258,420657,484963,2192186,0,2.8
"127","NLD",17516761,17716797,16686279,200036,830482,576838,2.2,0
"128","NOR",5740092,5781711,5538615,41619,201477,551485,0.9,0
"129","NPL",36147104,40436913,33840654,4289809,2306450,7490822,0,3
"130","NZL",5625365,5715843,5010504,90478,614861,1029665,1.9,0
"131","OMN",8150261,8489003,8035249,338742,115012,3950451,0,1.8
"132","PAK",326048583,391936738,254172073,65888155,71876510,136668070,0,3
"133","PAN",5074337,5390329,4970730,315992,103607,1105088,0,0.9
"134","PER",41294691,44758965,40126863,3464274,1167828,9918020,0,2.6
"135","PHL",133471787,165516378,120058679,32044591,13413108,31755428,0,2.7
"136","PNG",11170101,16438234,10356881,5268133,813220,3250276,0,1.9
"137","POL",34357453,35938356,32726691,1580903,1630762,-3628959,2.2,0
"138","PRI",3711309,3769821,3617389,58512,93920,238128,2.8,0
"139","PRK",28977363,30557240,27408745,1579877,1568618,3733446,1.6,0.3
"140","PRT",8655211,8738771,7932744,83560,722467,-1702865,0.8,3
"141","PRY",8995052,9741288,8534438,746236,460614,2355933,0,2.6
"142","PSE",9311930,11444179,7745158,2132249,1566772,4889787,0,3
"143","PYF",363347,370691,350202,7344,13145,85657,3,0
"144","QAT",5201213,5218601,5151078,17388,50135,2719674,1.4,0
"145","ROU",16674664,17396514,16497316,721850,177348,-3140817,2.1,0.5
"146","RUS",133626370,141066927,124547040,7440557,9079330,-10470500,2.7,0
"147","RWA",24041538,25510357,22618120,1468819,1423418,12411985,0,3
"148","SAU",49133980,52442927,48979248,3308947,154732,17576836,3,1.1
"149","SEN",34114094,39023039,26151793,4908945,7962301,19137100,0,3
"150","SGP",5345964,5367860,5104691,21896,241273,-189038,1.5,2.4
"151","SLB",1021743,1360096,840842,338353,180901,434261,0,3
"152","SLE",13418703,15051305,11532937,1632602,1885766,6181678,0,2.9
"153","SLV",7221735,7442664,6897433,220929,324302,909257,0,3
"154","SOM",24167030,40888743,20357956,16721713,3809074,10258901,0,3
"155","SRB",7376348,7773908,7320976,397560,55372,280965,2.3,0.6
"156","STP",359777,450321,269610,90544,90167,164224,0,2.6
"157","SUR",678893,809708,656224,130815,22669,125685,3,0.8
"158","SVK",4716486,4733515,4678549,17029,37937,-707315,1.6,3
"159","SVN",1826189,1841684,1799796,15495,26393,-237342,0.6,2.2
"160","SWE",11026053,11218029,10509716,191976,516337,1226867,3,0
"161","SWZ",1931517,2070624,1732959,139107,198558,612506,0.3,3
"162","SYC",108825,118218,104554,9393,4271,15406,3,1.1
"163","SYR",28372373,31131092,25004461,2758719,3367912,9637386,0.2,2.7
"164","TCD",34044153,37589627,28400561,3545474,5643592,20034740,0,3
"165","TGO",14996422,16935864,14253209,1939442,743213,7579620,0,3
"166","THA",62363771,62439202,59919375,75431,2444396,-6293829,0.7,3
"167","TJK",16470935,19556865,14959203,3085930,1511732,7922284,0.1,2.2
"168","TKM",6266830,8204124,6176529,1937294,90301,701546,2.9,1.5
"169","TLS",2374560,3333444,1898293,958884,476267,1133583,0,1.9
"170","TON",151058,217121,130490,66063,20568,44694,0,1.8
"171","TTO",1342101,1468403,1288372,126302,53729,-17991,0,2.2
"172","TUN",14129399,14454822,13135520,325423,993879,2855738,2.2,3
"173","TUR",85167434,94119961,81095430,8952527,4072004,6895962,0,2.7
