"female_20.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.014870401,0.014022965,0.01317553,0.012328094,0.011480659,0.010633223,0.010096301,0.009559378,0.009022456,0.008485533,0.007948611,0.007626304,0.007303997,0.006981691,0.006659384,0.006337077,0.005927884,0.00551869,0.005109497,0.004700303,0.004291109,0.004119898,0.003948687,0.003777476,0.003606265,0.003435054,0.00335774,0.003280425,0.003203111,0.003125796,0.003048482,0.003009923,0.002971365,0.002932806,0.002894247,0.002855689,0.002843207,0.002830725,0.002818243,0.002805761,0.002793279,0.002780985,0.00276869,0.002756396,0.002744102,0.002731807,0.00272026,0.002708712,0.002697164,0.002685616,0.002674069,0.002632838,0.002591607,0.002550376,0.002509145,0.002467914,0.002433617,0.002399319,0.002365021,0.002330723,0.002296425,0.002262128,0.00222783,0.002193532,0.002159234,0.002124937
"AFG",0.065226104,0.064085105,0.062944106,0.061803108,0.060662109,0.05952111,0.05857064,0.057620171,0.056669701,0.055719232,0.054768762,0.053923908,0.053079054,0.0522342,0.051389346,0.050544492,0.049720665,0.048896839,0.048073012,0.047249186,0.046425359,0.045545687,0.044666014,0.043786342,0.042906669,0.042026997,0.041019854,0.040012711,0.039005569,0.037998426,0.036991283,0.035758481,0.034525679,0.033292878,0.032060076,0.030827274,0.02983584,0.028844406,0.027852973,0.026861539,0.025870105,0.025182926,0.024495746,0.023808567,0.023121387,0.022434208,0.021729894,0.021025581,0.020321267,0.019616954,0.01891264,0.018172109,0.017431578,0.016691048,0.015950517,0.015209986,0.01471874,0.014227493,0.013736247,0.013245,0.012753754,0.012262508,0.011771261,0.011280015,0.010788768,0.010297522
"AGO",0.048945092,0.04855123,0.048157369,0.047763507,0.047369646,0.046975784,0.046473508,0.045971232,0.045468955,0.044966679,0.044464403,0.043869706,0.04327501,0.042680313,0.042085617,0.04149092,0.040928914,0.040366908,0.039804902,0.039242896,0.03868089,0.038149466,0.037618042,0.037086617,0.036555193,0.036023769,0.035718343,0.035412918,0.035107492,0.034802067,0.034496641,0.034322538,0.034148435,0.033974332,0.033800229,0.033626126,0.033382867,0.033139607,0.032896348,0.032653088,0.032409829,0.031830013,0.031250196,0.03067038,0.030090563,0.029510747,0.028399637,0.027288526,0.026177416,0.025066305,0.023955195,0.022829555,0.021703915,0.020578274,0.019452634,0.018326994,0.017468334,0.016609674,0.015751014,0.014892354,0.014033694,0.013175034,0.012316374,0.011457714,0.010599054,0.009740394
"ALB",0.016395132,0.015617508,0.014839884,0.014062261,0.013284637,0.012507013,0.011529182,0.010551351,0.00957352,0.008595689,0.007617858,0.007631046,0.007644233,0.007657421,0.007670609,0.007683797,0.007477147,0.007270497,0.007063848,0.006857198,0.006650548,0.006413795,0.006177041,0.005940288,0.005703534,0.005466781,0.005224061,0.00498134,0.00473862,0.004495899,0.004253179,0.004046334,0.00383949,0.003632645,0.003425801,0.003218956,0.003287261,0.003355565,0.003423869,0.003492174,0.003560478,0.003470843,0.003381208,0.003291573,0.003201939,0.003112304,0.002999227,0.002886149,0.002773072,0.002659995,0.002546918,0.002526966,0.002507015,0.002487064,0.002467113,0.002447162,0.00233739,0.002227618,0.002117847,0.002008075,0.001898303,0.001788532,0.00167876,0.001568988,0.001459217,0.001349445
"ARE",0.02807,0.02634,0.02461,0.02288,0.02115,0.01942,0.0182332,0.0170464,0.0158596,0.0146728,0.013486,0.0126832,0.0118804,0.0110776,0.0102748,0.009472,0.0089322,0.0083924,0.0078526,0.0073128,0.006773,0.006413,0.006053,0.005693,0.005333,0.004973,0.004732,0.004491,0.00425,0.004009,0.003768,0.0036086,0.0034492,0.0032898,0.0031304,0.002971,0.0028652,0.0027594,0.0026536,0.0025478,0.002442,0.0023642,0.0022864,0.0022086,0.0021308,0.002053,0.0019881,0.001923199,0.001858299,0.001793399,0.001728498,0.001671588,0.001614678,0.001557767,0.001500857,0.001443947,0.001417896,0.001391846,0.001365796,0.001339745,0.001313695,0.001287645,0.001261594,0.001235544,0.001209493,0.001183443
"ARG",0.01113,0.010568,0.010006,0.009444,0.008882,0.00832,0.007992,0.007664,0.007336,0.007008,0.00668,0.00651,0.00634,0.00617,0.006,0.00583,0.005706,0.005582,0.005458,0.005334,0.00521,0.005088,0.004966,0.004844,0.004722,0.0046,0.004458,0.004316,0.004174,0.004032,0.00389,0.00383,0.00377,0.00371,0.00365,0.00359,0.003482,0.003374,0.003266,0.003158,0.00305,0.002982,0.002914,0.002846,0.002778,0.00271,0.00268,0.00265,0.00262,0.00259,0.00256,0.002503932,0.002447864,0.002391796,0.002335727,0.002279659,0.002247296,0.002214933,0.00218257,0.002150207,0.002117844,0.002085481,0.002053118,0.002020755,0.001988391,0.001956028
"ARM",0.005161157,0.00491731,0.004673462,0.004429614,0.004185766,0.003941919,0.003741784,0.003541649,0.003341514,0.003141379,0.002941244,0.002815656,0.002690068,0.00256448,0.002438892,0.002313304,0.002240377,0.002167451,0.002094524,0.002021598,0.001948672,0.001966481,0.00198429,0.002002099,0.002019908,0.002037717,0.002034889,0.002032061,0.002029233,0.002026405,0.002023577,0.002292535,0.002561492,0.002830449,0.003099406,0.003368364,0.003286548,0.003204731,0.003122915,0.003041099,0.002959283,0.002855786,0.002752288,0.002648791,0.002545294,0.002441797,0.00232156,0.002201323,0.002081087,0.00196085,0.001840613,0.001813222,0.001785832,0.001758441,0.00173105,0.001703659,0.001647479,0.001591298,0.001535117,0.001478936,0.001422756,0.001366575,0.001310394,0.001254214,0.001198033,0.001141852
"ATG",0.00729917,0.007209114,0.007119058,0.007029002,0.006938946,0.00684889,0.006760328,0.006671766,0.006583204,0.006494642,0.00640608,0.006320014,0.006233948,0.006147882,0.006061816,0.00597575,0.005896654,0.005817558,0.005738462,0.005659366,0.00558027,0.005506834,0.005433398,0.005359962,0.005286526,0.00521309,0.005143122,0.005073154,0.005003186,0.004933218,0.00486325,0.004798444,0.004733638,0.004668832,0.004604026,0.00453922,0.004479898,0.004420576,0.004361254,0.004301932,0.00424261,0.004186946,0.004131282,0.004075618,0.004019954,0.00396429,0.003912268,0.003860246,0.003808224,0.003756202,0.00370418,0.003654958,0.003605736,0.003556514,0.003507292,0.00345807,0.003407701,0.003357332,0.003306963,0.003256593,0.003206224,0.003155855,0.003105486,0.003055117,0.003004748,0.002954379
"AUS",0.003728258,0.003598668,0.003469078,0.003339488,0.003209898,0.003080308,0.003079313,0.003078318,0.003077323,0.003076329,0.003075334,0.003049392,0.00302345,0.002997508,0.002971566,0.002945624,0.002908736,0.002871847,0.002834959,0.002798071,0.002761183,0.002745226,0.002729269,0.002713312,0.002697356,0.002681399,0.002633526,0.002585653,0.00253778,0.002489907,0.002442034,0.002450993,0.002459952,0.002468911,0.00247787,0.00248683,0.002400036,0.002313243,0.002226449,0.002139656,0.002052862,0.002035896,0.00201893,0.002001964,0.001984999,0.001968033,0.001904141,0.00184025,0.001776358,0.001712466,0.001648575,0.001597671,0.001546767,0.001495864,0.00144496,0.001394056,0.001381065,0.001368073,0.001355082,0.00134209,0.001329099,0.001316107,0.001303116,0.001290124,0.001277133,0.001264141
"AUT",0.005361392,0.005103523,0.004845655,0.004587786,0.004329918,0.004072049,0.003840815,0.003609581,0.003378347,0.003147113,0.002915879,0.002896888,0.002877897,0.002858905,0.002839914,0.002820923,0.002797999,0.002775076,0.002752152,0.002729229,0.002706305,0.002681361,0.002656416,0.002631472,0.002606527,0.002581583,0.002541717,0.002501851,0.002461985,0.002422119,0.002382253,0.002299411,0.002216569,0.002133727,0.002050885,0.001968043,0.001963053,0.001958063,0.001953074,0.001948084,0.001943094,0.001853252,0.00176341,0.001673569,0.001583727,0.001493885,0.001490886,0.001487888,0.001484889,0.001481891,0.001478892,0.001452925,0.001426958,0.001400992,0.001375025,0.001349058,0.001301127,0.001253195,0.001205264,0.001157333,0.001109402,0.00106147,0.001013539,0.000965608,0.000917676,0.000869745
