"female_1.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.028795399,0.026572617,0.024349835,0.022127054,0.019904272,0.01768149,0.016401409,0.015121328,0.013841248,0.012561167,0.011281086,0.010636461,0.009991837,0.009347212,0.008702587,0.008057963,0.00742128,0.006784598,0.006147916,0.005511233,0.004874551,0.004646458,0.004418365,0.004190271,0.003962178,0.003734085,0.003636658,0.003539231,0.003441804,0.003344377,0.00324695,0.003204024,0.003161098,0.003118172,0.003075246,0.00303232,0.003018452,0.003004585,0.002990717,0.00297685,0.002962982,0.002949337,0.002935692,0.002922047,0.002908402,0.002894757,0.002881953,0.00286915,0.002856346,0.002843543,0.002830739,0.002785131,0.002739522,0.002693914,0.002648305,0.002602697,0.002567027,0.002531357,0.002495686,0.002460016,0.002424346,0.002388676,0.002353006,0.002317336,0.002281665,0.002245995
"AFG",0.17721335,0.17398304,0.17075273,0.16752242,0.16429211,0.1610618,0.158655106,0.156248412,0.153841718,0.151435024,0.14902833,0.146587266,0.144146202,0.141705138,0.139264074,0.13682301,0.134326338,0.131829666,0.129332994,0.126836322,0.12433965,0.121707296,0.119074942,0.116442588,0.113810234,0.11117788,0.10816764,0.105157401,0.102147161,0.099136922,0.096126682,0.092334578,0.088542474,0.08475037,0.080958266,0.077166162,0.073566151,0.069966141,0.06636613,0.06276612,0.059166109,0.057210343,0.055254577,0.053298812,0.051343046,0.04938728,0.046450396,0.043513512,0.040576628,0.037639744,0.03470286,0.032075127,0.029447395,0.026819662,0.02419193,0.021564197,0.019969008,0.018373819,0.016778631,0.015183442,0.013588253,0.011993064,0.010397875,0.008802687,0.007207498,0.005612309
"AGO",0.18262846,0.18097226,0.17931606,0.17765986,0.17600366,0.17434746,0.172235024,0.170122588,0.168010152,0.165897716,0.16378528,0.16128431,0.15878334,0.15628237,0.1537814,0.15128043,0.14891728,0.14655413,0.14419098,0.14182783,0.13946468,0.13722843,0.13499218,0.13275593,0.13051968,0.12828343,0.127000634,0.125717838,0.124435042,0.123152246,0.12186945,0.12113652,0.12040359,0.11967066,0.11893773,0.1182048,0.11718459,0.11616438,0.11514417,0.11412396,0.11310375,0.110662484,0.108221218,0.105779952,0.103338686,0.10089742,0.095400547,0.089903675,0.084406802,0.07890993,0.073413057,0.06866789,0.063922723,0.059177557,0.05443239,0.049687223,0.04642546,0.043163698,0.039901935,0.036640173,0.03337841,0.030116647,0.026854885,0.023593122,0.02033136,0.017069597
"ALB",0.055093294,0.053030819,0.050968344,0.048905868,0.046843393,0.044780918,0.042234498,0.039688079,0.037141659,0.03459524,0.03204882,0.030087555,0.02812629,0.026165025,0.02420376,0.022242495,0.020694451,0.019146407,0.017598364,0.01605032,0.014502276,0.013900464,0.013298653,0.012696841,0.01209503,0.011493218,0.011117382,0.010741545,0.010365709,0.009989872,0.009614036,0.009153696,0.008693356,0.008233016,0.007772676,0.007312337,0.007117904,0.006923471,0.006729039,0.006534606,0.006340173,0.005931521,0.005522869,0.005114217,0.004705565,0.004296913,0.004148008,0.003999104,0.003850199,0.003701294,0.003552389,0.003073743,0.002595097,0.002116451,0.001637805,0.001159159,0.00121508,0.001271001,0.001326921,0.001382842,0.001438763,0.001494684,0.001550605,0.001606525,0.001662446,0.001718367
"ARE",0.097105,0.092246,0.087387,0.082528,0.077669,0.07281,0.0686536,0.0644972,0.0603408,0.0561844,0.052028,0.0479922,0.0439564,0.0399206,0.0358848,0.031849,0.029289,0.026729,0.024169,0.021609,0.019049,0.0174294,0.0158098,0.0141902,0.0125706,0.010951,0.010019,0.009087,0.008155,0.007223,0.006291,0.0058062,0.0053214,0.0048366,0.0043518,0.003867,0.003635,0.003403,0.003171,0.002939,0.002707,0.002558,0.002409,0.00226,0.002111,0.001962,0.001870917,0.001779834,0.001688752,0.001597669,0.001506586,0.001444291,0.001381996,0.001319701,0.001257407,0.001195112,0.001153702,0.001112291,0.001070881,0.001029471,0.000988061,0.000946651,0.000905241,0.000863831,0.000822421,0.000781011
"ARG",0.01892,0.018384,0.017848,0.017312,0.016776,0.01624,0.01579,0.01534,0.01489,0.01444,0.01399,0.013676,0.013362,0.013048,0.012734,0.01242,0.011894,0.011368,0.010842,0.010316,0.00979,0.00928,0.00877,0.00826,0.00775,0.00724,0.006828,0.006416,0.006004,0.005592,0.00518,0.005084,0.004988,0.004892,0.004796,0.0047,0.004502,0.004304,0.004106,0.003908,0.00371,0.00348,0.00325,0.00302,0.00279,0.00256,0.002512,0.002464,0.002416,0.002368,0.00232,0.002318373,0.002316747,0.00231512,0.002313493,0.002311866,0.002278447,0.002245028,0.002211609,0.00217819,0.002144771,0.002111352,0.002077933,0.002044514,0.002011095,0.001977675
"ARM",0.010400081,0.009876318,0.009352555,0.008828792,0.008305029,0.007781267,0.007360213,0.00693916,0.006518107,0.006097053,0.005676,0.005334712,0.004993424,0.004652135,0.004310847,0.003969559,0.003785669,0.003601779,0.003417889,0.003233999,0.003050109,0.003081652,0.003113196,0.003144739,0.003176282,0.003207826,0.003190671,0.003173517,0.003156363,0.003139209,0.003122055,0.00388128,0.004640505,0.00539973,0.006158955,0.00691818,0.007126383,0.007334587,0.00754279,0.007750993,0.007959197,0.007361306,0.006763416,0.006165525,0.005567634,0.004969744,0.00458316,0.004196576,0.003809993,0.003423409,0.003036826,0.002936404,0.002835982,0.00273556,0.002635139,0.002534717,0.002576771,0.002618825,0.002660879,0.002702933,0.002744987,0.002787041,0.002829095,0.002871149,0.002913202,0.002955256
"ATG",0.02221816,0.021286906,0.020355652,0.019424398,0.018493144,0.01756189,0.016811952,0.016062014,0.015312076,0.014562138,0.0138122,0.013218584,0.012624968,0.012031352,0.011437736,0.01084412,0.010388982,0.009933844,0.009478706,0.009023568,0.00856843,0.008218316,0.007868202,0.007518088,0.007167974,0.00681786,0.006545812,0.006273764,0.006001716,0.005729668,0.00545762,0.005246618,0.005035616,0.004824614,0.004613612,0.00440261,0.004236096,0.004069582,0.003903068,0.003736554,0.00357004,0.003440466,0.003310892,0.003181318,0.003051744,0.00292217,0.002817298,0.002712426,0.002607554,0.002502682,0.00239781,0.002311096,0.002224382,0.002137668,0.002050954,0.00196424,0.001908746,0.001853252,0.001797758,0.001742264,0.001686771,0.001631277,0.001575783,0.001520289,0.001464795,0.001409301
"AUS",0.005703246,0.005470439,0.005237631,0.005004824,0.004772017,0.00453921,0.004381647,0.004224084,0.004066521,0.003908959,0.003751396,0.003665367,0.003579337,0.003493308,0.003407279,0.003321249,0.003243155,0.003165061,0.003086967,0.003008873,0.002930779,0.002786435,0.002642091,0.002497747,0.002353403,0.002209058,0.002133237,0.002057415,0.001981593,0.001905772,0.00182995,0.001772468,0.001714985,0.001657503,0.00160002,0.001542538,0.001489827,0.001437116,0.001384406,0.001331695,0.001278984,0.001261421,0.001243858,0.001226294,0.001208731,0.001191168,0.001132836,0.001074504,0.001016173,0.000957841,0.000899509,0.000865143,0.000830776,0.00079641,0.000762044,0.000727677,0.000719198,0.000710719,0.00070224,0.000693761,0.000685282,0.000676803,0.000668324,0.000659845,0.000651366,0.000642887
"AUT",0.008026941,0.00759319,0.007159439,0.006725689,0.006291938,0.005858187,0.005602299,0.005346412,0.005090524,0.004834637,0.004578749,0.004426002,0.004273255,0.004120507,0.00396776,0.003815013,0.003666049,0.003517085,0.003368122,0.003219158,0.003070194,0.002952202,0.002834211,0.002716219,0.002598228,0.002480236,0.002365357,0.002250478,0.002135598,0.002020719,0.00190584,0.001818808,0.001731776,0.001644744,0.001557712,0.00147068,0.001446719,0.001422759,0.001398798,0.001374838,0.001350877,0.001268598,0.001186319,0.00110404,0.001021761,0.000939482,0.000910707,0.000881931,0.000853156,0.00082438,0.000795605,0.000783612,0.000771619,0.000759627,0.000747634,0.000735641,0.000693279,0.000650917,0.000608554,0.000566192,0.00052383,0.000481468,0.000439105,0.000396743,0.000354381,0.000312019
