"female_35.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.023153798,0.022019674,0.02088555,0.019751426,0.018617302,0.017483178,0.016762027,0.016040876,0.015319725,0.014598574,0.013877423,0.01343833,0.012999238,0.012560145,0.012121053,0.01168196,0.011073352,0.010464744,0.009856136,0.009247528,0.00863892,0.008329303,0.008019686,0.007710069,0.007400452,0.007090834,0.006944911,0.006798987,0.006653064,0.00650714,0.006361216,0.006280051,0.006198885,0.006117719,0.006036554,0.005955388,0.005929123,0.005902857,0.005876591,0.005850326,0.00582406,0.005798194,0.005772327,0.005746461,0.005720594,0.005694728,0.005670436,0.005646145,0.005621853,0.005597562,0.00557327,0.005486572,0.005399874,0.005313177,0.005226479,0.005139781,0.005066057,0.004992334,0.00491861,0.004844887,0.004771163,0.00469744,0.004623716,0.004549993,0.004476269,0.004402546
"AFG",0.089969078,0.088438529,0.086907981,0.085377432,0.083846884,0.082316335,0.081040973,0.079765611,0.078490249,0.077214887,0.075939525,0.074806767,0.073674008,0.07254125,0.071408491,0.070275733,0.069171153,0.068066573,0.066961994,0.065857414,0.064752834,0.063572629,0.062392423,0.061212218,0.060032012,0.058851807,0.057499839,0.056147871,0.054795904,0.053443936,0.052091968,0.050439593,0.048787218,0.047134843,0.045482468,0.043830093,0.042481009,0.041131925,0.039782841,0.038433757,0.037084673,0.036242472,0.035400271,0.034558069,0.033715868,0.032873667,0.031983985,0.031094303,0.03020462,0.029314938,0.028425256,0.027460984,0.026496711,0.025532439,0.024568166,0.023603894,0.022950003,0.022296111,0.02164222,0.020988328,0.020334437,0.019680546,0.019026654,0.018372763,0.017718871,0.01706498
"AGO",0.075933845,0.075308951,0.074684057,0.074059164,0.07343427,0.072809376,0.072012244,0.071215112,0.070417979,0.069620847,0.068823715,0.067879513,0.066935311,0.06599111,0.065046908,0.064102706,0.063211479,0.062320252,0.061429025,0.060537798,0.059646571,0.058803018,0.057959465,0.057115913,0.05627236,0.055428807,0.054944255,0.054459703,0.053975151,0.053490599,0.053006047,0.052729999,0.05245395,0.052177902,0.051901853,0.051625805,0.051240366,0.050854927,0.050469487,0.050084048,0.049698609,0.048777846,0.047857083,0.046936321,0.046015558,0.045094795,0.04334854,0.041602285,0.039856031,0.038109776,0.036363521,0.034661079,0.032958637,0.031256196,0.029553754,0.027851312,0.026533673,0.025216034,0.023898395,0.022580756,0.021263117,0.019945478,0.018627839,0.0173102,0.015992561,0.014674922
"ALB",0.023627525,0.022598431,0.021569337,0.020540242,0.019511148,0.018482054,0.017128057,0.01577406,0.014420062,0.013066065,0.011712068,0.011758013,0.011803957,0.011849902,0.011895846,0.011941791,0.011681026,0.011420262,0.011159497,0.010898733,0.010637968,0.010304344,0.009970719,0.009637095,0.00930347,0.008969846,0.008591999,0.008214152,0.007836305,0.007458458,0.007080612,0.006714768,0.006348924,0.00598308,0.005617236,0.005251392,0.00535729,0.005463189,0.005569088,0.005674987,0.005780886,0.005654568,0.00552825,0.005401933,0.005275615,0.005149297,0.004977686,0.004806075,0.004634464,0.004462852,0.004291241,0.004261362,0.004231483,0.004201604,0.004171725,0.004141846,0.00401232,0.003882794,0.003753268,0.003623742,0.003494216,0.003364689,0.003235163,0.003105637,0.002976111,0.002846585
"ARE",0.035968,0.0343046,0.0326412,0.0309778,0.0293144,0.027651,0.0263648,0.0250786,0.0237924,0.0225062,0.02122,0.0202276,0.0192352,0.0182428,0.0172504,0.016258,0.0154956,0.0147332,0.0139708,0.0132084,0.012446,0.0118622,0.0112784,0.0106946,0.0101108,0.009527,0.0090786,0.0086302,0.0081818,0.0077334,0.007285,0.0069432,0.0066014,0.0062596,0.0059178,0.005576,0.0053132,0.0050504,0.0047876,0.0045248,0.004262,0.0040616,0.0038612,0.0036608,0.0034604,0.00326,0.00311241,0.00296482,0.00281723,0.00266964,0.00252205,0.002417268,0.002312487,0.002207705,0.002102923,0.001998141,0.00196631,0.001934479,0.001902647,0.001870816,0.001838985,0.001807154,0.001775323,0.001743492,0.001711661,0.001679829
"ARG",0.0168,0.01622,0.01564,0.01506,0.01448,0.0139,0.013496,0.013092,0.012688,0.012284,0.01188,0.011872,0.011864,0.011856,0.011848,0.01184,0.011668,0.011496,0.011324,0.011152,0.01098,0.010814,0.010648,0.010482,0.010316,0.01015,0.00992,0.00969,0.00946,0.00923,0.009,0.008884,0.008768,0.008652,0.008536,0.00842,0.00821,0.008,0.00779,0.00758,0.00737,0.00722,0.00707,0.00692,0.00677,0.00662,0.006554,0.006488,0.006422,0.006356,0.00629,0.006243342,0.006196684,0.006150026,0.006103368,0.00605671,0.005969307,0.005881904,0.005794501,0.005707098,0.005619695,0.005532293,0.00544489,0.005357487,0.005270084,0.005182681
"ARM",0.015230834,0.014605418,0.013980002,0.013354585,0.012729169,0.012103753,0.011568125,0.011032497,0.010496869,0.009961241,0.009425614,0.009081352,0.008737091,0.00839283,0.008048569,0.007704307,0.007500932,0.007297557,0.007094181,0.006890806,0.00668743,0.006745815,0.006804199,0.006862583,0.006920967,0.006979351,0.006978676,0.006978,0.006977325,0.006976649,0.006975974,0.007695774,0.008415574,0.009135375,0.009855175,0.010574975,0.010276888,0.009978801,0.009680714,0.009382627,0.00908454,0.008798846,0.008513153,0.008227459,0.007941765,0.007656072,0.007296108,0.006936143,0.006576179,0.006216215,0.005856251,0.005735018,0.005613784,0.005492551,0.005371318,0.005250084,0.00510196,0.004953836,0.004805712,0.004657588,0.004509464,0.00436134,0.004213216,0.004065092,0.003916967,0.003768843
"ATG",0.03233045,0.031641304,0.030952158,0.030263012,0.029573866,0.02888472,0.028243706,0.027602692,0.026961678,0.026320664,0.02567965,0.025085386,0.024491122,0.023896858,0.023302594,0.02270833,0.022182488,0.021656646,0.021130804,0.020604962,0.02007912,0.019614316,0.019149512,0.018684708,0.018219904,0.0177551,0.01734367,0.01693224,0.01652081,0.01610938,0.01569795,0.015334882,0.014971814,0.014608746,0.014245678,0.01388261,0.013561234,0.013239858,0.012918482,0.012597106,0.01227573,0.011991044,0.011706358,0.011421672,0.011136986,0.0108523,0.010601956,0.010351612,0.010101268,0.009850924,0.00960058,0.009376888,0.009153196,0.008929504,0.008705812,0.00848212,0.008373318,0.008264517,0.008155715,0.008046914,0.007938112,0.007829311,0.007720509,0.007611708,0.007502906,0.007394104
"AUS",0.009260401,0.008983583,0.008706765,0.008429946,0.008153128,0.00787631,0.007818658,0.007761006,0.007703354,0.007645702,0.00758805,0.007556393,0.007524736,0.007493079,0.007461422,0.007429765,0.007260864,0.007091964,0.006923063,0.006754162,0.006585262,0.006355488,0.006125715,0.005895942,0.005666168,0.005436395,0.005222358,0.005008321,0.004794283,0.004580246,0.004366209,0.004278539,0.004190868,0.004103197,0.004015527,0.003927856,0.003898923,0.003869991,0.003841058,0.003812125,0.003783192,0.003768246,0.0037533,0.003738354,0.003723408,0.003708462,0.003646695,0.003584929,0.003523163,0.003461397,0.003399631,0.003346796,0.003293962,0.003241127,0.003188292,0.003135457,0.003122535,0.003109612,0.003096689,0.003083766,0.003070843,0.00305792,0.003044998,0.003032075,0.003019152,0.003006229
"AUT",0.010646232,0.010293389,0.009940546,0.009587704,0.009234861,0.008882018,0.008675959,0.008469901,0.008263842,0.008057784,0.007851725,0.007698666,0.007545607,0.007392548,0.007239489,0.00708643,0.006923578,0.006760725,0.006597873,0.00643502,0.006272168,0.006211361,0.006150554,0.006089747,0.00602894,0.005968133,0.005994979,0.006021826,0.006048672,0.006075519,0.006102365,0.005895532,0.005688698,0.005481865,0.005275031,0.005068198,0.004909927,0.004751655,0.004593384,0.004435112,0.004276841,0.004179135,0.004081428,0.003983722,0.003886015,0.003788309,0.003658734,0.003529159,0.003399583,0.003270008,0.003140433,0.003023736,0.002907039,0.002790341,0.002673644,0.002556947,0.002525022,0.002493097,0.002461172,0.002429247,0.002397321,0.002365396,0.002333471,0.002301546,0.002269621,0.002237696
"AZE",0.005947028,0.005765059,0.00558309,0.00540112,0.005219151,0.005037182,0.005110275,0.005183368,0.005256461,0.005329554,0.005402646,0.005475712,0.005548778,0.005621843,0.005694909,0.005767974,0.005841014,0.005914054,0.005987095,0.006060135,0.006133175,0.006206184,0.006279193,0.006352203,0.006425212,0.006498222,0.006571206,0.006644191,0.006717175,0.006790159,0.006863144,0.006936108,0.007009073,0.007082037,0.007155002,0.007227967,0.007176323,0.007124679,0.007073035,0.007021391,0.006969747,0.007018818,0.007067889,0.00711696,0.007166031,0.007215102,0.007505707,0.007796312,0.008086917,0.008377521,0.008668126,0.007963861,0.007259596,0.006555331,0.005851066,0.005146801,0.005077554,0.005008307,0.00493906,0.004869813,0.004800566,0.004731319,0.004662072,0.004592825,0.004523578,0.004454331
