"male_70.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.28729285,0.2840175,0.28074215,0.2774668,0.27419145,0.2709161,0.269373572,0.267831044,0.266288516,0.264745988,0.26320346,0.261543714,0.259883968,0.258224222,0.256564476,0.25490473,0.25366221,0.25241969,0.25117717,0.24993465,0.24869213,0.247068844,0.245445558,0.243822272,0.242198986,0.2405757,0.238173482,0.235771264,0.233369046,0.230966828,0.22856461,0.228079582,0.227594554,0.227109526,0.226624498,0.22613947,0.225647242,0.225155014,0.224662786,0.224170558,0.22367833,0.2235128,0.22334727,0.22318174,0.22301621,0.22285068,0.222324052,0.221797424,0.221270796,0.220744168,0.22021754,0.219078594,0.217939648,0.216800702,0.215661756,0.21452281,0.21312847,0.21173413,0.21033979,0.20894545,0.20755111,0.20615677,0.20476243,0.20336809,0.20197375,0.20057941
"AFG",0.45701242,0.453018306,0.449024192,0.445030078,0.441035964,0.43704185,0.433704134,0.430366418,0.427028702,0.423690986,0.42035327,0.417332306,0.414311342,0.411290378,0.408269414,0.40524845,0.40236016,0.39947187,0.39658358,0.39369529,0.390807,0.387722026,0.384637052,0.381552078,0.378467104,0.37538213,0.371826436,0.368270742,0.364715048,0.361159354,0.35760366,0.353611918,0.349620176,0.345628434,0.341636692,0.33764495,0.334455124,0.331265298,0.328075472,0.324885646,0.32169582,0.319795954,0.317896088,0.315996222,0.314096356,0.31219649,0.309973654,0.307750818,0.305527982,0.303305146,0.30108231,0.298498268,0.295914226,0.293330184,0.290746142,0.2881621,0.28633422,0.28450634,0.28267846,0.28085058,0.2790227,0.27719482,0.27536694,0.27353906,0.27171118,0.2698833
"AGO",0.4444829,0.442240388,0.439997876,0.437755364,0.435512852,0.43327034,0.430285558,0.427300776,0.424315994,0.421331212,0.41834643,0.414804646,0.411262862,0.407721078,0.404179294,0.40063751,0.397116956,0.393596402,0.390075848,0.386555294,0.38303474,0.379868006,0.376701272,0.373534538,0.370367804,0.36720107,0.366237098,0.365273126,0.364309154,0.363345182,0.36238121,0.36158233,0.36078345,0.35998457,0.35918569,0.35838681,0.357591962,0.356797114,0.356002266,0.355207418,0.35441257,0.350665902,0.346919234,0.343172566,0.339425898,0.33567923,0.329448724,0.323218218,0.316987712,0.310757206,0.3045267,0.298803304,0.293079908,0.287356512,0.281633116,0.27590972,0.271248034,0.266586348,0.261924662,0.257262976,0.25260129,0.247939604,0.243277918,0.238616232,0.233954546,0.22929286
"ALB",0.23660962,0.23192562,0.22724162,0.22255762,0.21787362,0.21318962,0.20819499,0.20320036,0.19820573,0.1932111,0.18821647,0.19241699,0.19661751,0.20081803,0.20501855,0.20921907,0.213897572,0.218576074,0.223254576,0.227933078,0.23261158,0.231304286,0.229996992,0.228689698,0.227382404,0.22607511,0.227387812,0.228700514,0.230013216,0.231325918,0.23263862,0.231108778,0.229578936,0.228049094,0.226519252,0.22498941,0.228785278,0.232581146,0.236377014,0.240172882,0.24396875,0.240965374,0.237961998,0.234958622,0.231955246,0.22895187,0.22366745,0.21838303,0.21309861,0.20781419,0.20252977,0.202712872,0.202895974,0.203079076,0.203262178,0.20344528,0.19524114,0.187037,0.17883286,0.17062872,0.16242458,0.15422044,0.1460163,0.13781216,0.12960802,0.12140388
"ARE",0.361919,0.3578872,0.3538554,0.3498236,0.3457918,0.34176,0.3378422,0.3339244,0.3300066,0.3260888,0.322171,0.3183798,0.3145886,0.3107974,0.3070062,0.303215,0.299561,0.295907,0.292253,0.288599,0.284945,0.2814378,0.2779306,0.2744234,0.2709162,0.267409,0.2640542,0.2606994,0.2573446,0.2539898,0.250635,0.2474386,0.2442422,0.2410458,0.2378494,0.234653,0.2316166,0.2285802,0.2255438,0.2225074,0.219471,0.2165988,0.2137266,0.2108544,0.2079822,0.20511,0.2024018,0.1996936,0.1969854,0.1942772,0.191569,0.1890164,0.1864638,0.1839112,0.1813586,0.178806,0.17726241,0.17571882,0.17417523,0.17263164,0.17108805,0.16954446,0.16800087,0.16645728,0.16491369,0.1633701
"ARG",0.27804,0.274386,0.270732,0.267078,0.263424,0.25977,0.26272,0.26567,0.26862,0.27157,0.27452,0.271674,0.268828,0.265982,0.263136,0.26029,0.260112,0.259934,0.259756,0.259578,0.2594,0.259226,0.259052,0.258878,0.258704,0.25853,0.257052,0.255574,0.254096,0.252618,0.25114,0.250116,0.249092,0.248068,0.247044,0.24602,0.243616,0.241212,0.238808,0.236404,0.234,0.231172,0.228344,0.225516,0.222688,0.21986,0.21866,0.21746,0.21626,0.21506,0.21386,0.212963148,0.212066296,0.211169444,0.210272592,0.20937574,0.207124552,0.204873364,0.202622176,0.200370988,0.1981198,0.195868612,0.193617424,0.191366236,0.189115048,0.18686386
"ARM",0.28318196,0.279491216,0.275800472,0.272109728,0.268418984,0.26472824,0.261033404,0.257338568,0.253643732,0.249948896,0.24625406,0.24167408,0.2370941,0.23251412,0.22793414,0.22335416,0.220434406,0.217514652,0.214594898,0.211675144,0.20875539,0.210649362,0.212543334,0.214437306,0.216331278,0.21822525,0.218430734,0.218636218,0.218841702,0.219047186,0.21925267,0.225059676,0.230866682,0.236673688,0.242480694,0.2482877,0.251813382,0.255339064,0.258864746,0.262390428,0.26591611,0.263199088,0.260482066,0.257765044,0.255048022,0.252331,0.249020156,0.245709312,0.242398468,0.239087624,0.23577678,0.235103736,0.234430692,0.233757648,0.233084604,0.23241156,0.231723478,0.231035396,0.230347314,0.229659232,0.22897115,0.228283068,0.227594986,0.226906904,0.226218822,0.22553074
"ATG",0.36435966,0.361219328,0.358078996,0.354938664,0.351798332,0.348658,0.344648908,0.340639816,0.336630724,0.332621632,0.32861254,0.32383014,0.31904774,0.31426534,0.30948294,0.30470054,0.300168008,0.295635476,0.291102944,0.286570412,0.28203788,0.27777622,0.27351456,0.2692529,0.26499124,0.26072958,0.256740994,0.252752408,0.248763822,0.244775236,0.24078665,0.23705686,0.23332707,0.22959728,0.22586749,0.2221377,0.218733604,0.215329508,0.211925412,0.208521316,0.20511722,0.201903666,0.198690112,0.195476558,0.192263004,0.18904945,0.186136364,0.183223278,0.180310192,0.177397106,0.17448402,0.171806116,0.169128212,0.166450308,0.163772404,0.1610945,0.15954617,0.15799784,0.15644951,0.15490118,0.15335285,0.15180452,0.15025619,0.14870786,0.14715953,0.1456112
"AUS",0.28153409,0.280813948,0.280093806,0.279373664,0.278653522,0.27793338,0.27809124,0.2782491,0.27840696,0.27856482,0.27872268,0.280433384,0.282144088,0.283854792,0.285565496,0.2872762,0.284258558,0.281240916,0.278223274,0.275205632,0.27218799,0.26644869,0.26070939,0.25497009,0.24923079,0.24349149,0.239716024,0.235940558,0.232165092,0.228389626,0.22461416,0.22037453,0.2161349,0.21189527,0.20765564,0.20341601,0.19847119,0.19352637,0.18858155,0.18363673,0.17869191,0.174715128,0.170738346,0.166761564,0.162784782,0.158808,0.153385602,0.147963204,0.142540806,0.137118408,0.13169601,0.127436914,0.123177818,0.118918722,0.114659626,0.11040053,0.108375272,0.106350014,0.104324756,0.102299498,0.10027424,0.098248982,0.096223724,0.094198466,0.092173208,0.09014795
"AUT",0.28055109,0.280452102,0.280353114,0.280254126,0.280155138,0.28005615,0.280490572,0.280924994,0.281359416,0.281793838,0.28222826,0.284685606,0.287142952,0.289600298,0.292057644,0.29451499,0.293437728,0.292360466,0.291283204,0.290205942,0.28912868,0.285062534,0.280996388,0.276930242,0.272864096,0.26879795,0.264118806,0.259439662,0.254760518,0.250081374,0.24540223,0.238998228,0.232594226,0.226190224,0.219786222,0.21338222,0.210010564,0.206638908,0.203267252,0.199895596,0.19652394,0.19330928,0.19009462,0.18687996,0.1836653,0.18045064,0.175574004,0.170697368,0.165820732,0.160944096,0.15606746,0.151243496,0.146419532,0.141595568,0.136771604,0.13194764,0.129699712,0.127451784,0.125203856,0.122955928,0.120708,0.118460072,0.116212144,0.113964216,0.111716288,0.10946836
