"female_30.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.019747574,0.018692767,0.01763796,0.016583153,0.015528346,0.014473539,0.013803814,0.013134089,0.012464365,0.01179464,0.011124915,0.010720732,0.01031655,0.009912367,0.009508185,0.009104002,0.008583489,0.008062976,0.007542463,0.007021949,0.006501436,0.006256042,0.006010647,0.005765253,0.005519858,0.005274464,0.005160982,0.0050475,0.004934018,0.004820537,0.004707055,0.004646721,0.004586386,0.004526052,0.004465717,0.004405383,0.004385863,0.004366343,0.004346824,0.004327304,0.004307784,0.004288563,0.004269342,0.004250121,0.004230901,0.00421168,0.004193631,0.004175583,0.004157534,0.004139486,0.004121438,0.004057039,0.003992641,0.003928242,0.003863844,0.003799445,0.003745251,0.003691056,0.003636862,0.003582667,0.003528473,0.003474278,0.003420084,0.003365889,0.003311695,0.0032575
"AFG",0.082187144,0.080762954,0.079338763,0.077914573,0.076490382,0.075066192,0.073879053,0.072691914,0.071504776,0.070317637,0.069130498,0.068075534,0.06702057,0.065965607,0.064910643,0.063855679,0.062827417,0.061799154,0.060770892,0.059742629,0.058714367,0.057615959,0.056517551,0.055419142,0.054320734,0.053222326,0.051963908,0.050705489,0.049447071,0.048188652,0.046930234,0.045391432,0.043852631,0.042313829,0.040775028,0.039236226,0.037996861,0.036757495,0.03551813,0.034278764,0.033039399,0.032222645,0.031405891,0.030589137,0.029772383,0.028955629,0.028106116,0.027256604,0.026407091,0.025557579,0.024708066,0.023800011,0.022891957,0.021983902,0.021075848,0.020167793,0.019558244,0.018948695,0.018339146,0.017729597,0.017120048,0.016510499,0.01590095,0.015291401,0.014681852,0.014072303
"AGO",0.066453905,0.065908925,0.065363944,0.064818964,0.064273983,0.063729003,0.063034123,0.062339244,0.061644364,0.060949485,0.060254605,0.059432011,0.058609417,0.057786822,0.056964228,0.056141634,0.055364607,0.05458758,0.053810552,0.053033525,0.052256498,0.051521165,0.050785832,0.050050498,0.049315165,0.048579832,0.048157539,0.047735246,0.047312952,0.046890659,0.046468366,0.046227942,0.045987519,0.045747095,0.045506672,0.045266248,0.044930525,0.044594801,0.044259078,0.043923354,0.043587631,0.042784816,0.041982001,0.041179186,0.040376371,0.039573556,0.038026921,0.036480287,0.034933652,0.033387018,0.031840383,0.030327771,0.028815159,0.027302547,0.025789935,0.024277323,0.023117133,0.021956942,0.020796752,0.019636561,0.018476371,0.017316181,0.01615599,0.0149958,0.013835609,0.012675419
"ALB",0.021077381,0.020108938,0.019140495,0.018172053,0.01720361,0.016235167,0.01499,0.013744834,0.012499667,0.011254501,0.010009334,0.010030771,0.010052207,0.010073644,0.01009508,0.010116517,0.009856833,0.009597149,0.009337466,0.009077782,0.008818098,0.008522589,0.008227081,0.007931572,0.007636063,0.007340555,0.007017979,0.006695403,0.006372827,0.006050251,0.005727675,0.005427051,0.005126426,0.004825802,0.004525178,0.004224554,0.004311761,0.004398969,0.004486176,0.004573384,0.004660591,0.004545687,0.004430783,0.004315878,0.004200974,0.00408607,0.003947734,0.003809398,0.003671063,0.003532727,0.003394391,0.003374456,0.003354521,0.003334586,0.003314651,0.003294715,0.003175068,0.003055421,0.002935774,0.002816126,0.002696479,0.002576832,0.002457184,0.002337537,0.00221789,0.002098243
"ARE",0.032642,0.0309072,0.0291724,0.0274376,0.0257028,0.023968,0.0226958,0.0214236,0.0201514,0.0188792,0.017607,0.016683,0.015759,0.014835,0.013911,0.012987,0.0123196,0.0116522,0.0109848,0.0103174,0.00965,0.0091698,0.0086896,0.0082094,0.0077292,0.007249,0.0069042,0.0065594,0.0062146,0.0058698,0.005525,0.0052762,0.0050274,0.0047786,0.0045298,0.004281,0.0041006,0.0039202,0.0037398,0.0035594,0.003379,0.0032386,0.0030982,0.0029578,0.0028174,0.002677,0.002563167,0.002449335,0.002335502,0.00222167,0.002107837,0.002016005,0.001924173,0.001832342,0.00174051,0.001648678,0.00162241,0.001596143,0.001569875,0.001543608,0.001517341,0.001491073,0.001464806,0.001438538,0.001412271,0.001386003
"ARG",0.01347,0.012928,0.012386,0.011844,0.011302,0.01076,0.01055,0.01034,0.01013,0.00992,0.00971,0.00955,0.00939,0.00923,0.00907,0.00891,0.008726,0.008542,0.008358,0.008174,0.00799,0.007812,0.007634,0.007456,0.007278,0.0071,0.006908,0.006716,0.006524,0.006332,0.00614,0.006066,0.005992,0.005918,0.005844,0.00577,0.005634,0.005498,0.005362,0.005226,0.00509,0.005,0.00491,0.00482,0.00473,0.00464,0.004594,0.004548,0.004502,0.004456,0.00441,0.004407385,0.00440477,0.004402155,0.00439954,0.004396925,0.004333635,0.004270345,0.004207054,0.004143764,0.004080474,0.004017184,0.003953894,0.003890604,0.003827314,0.003764024
"ARM",0.011330815,0.010832546,0.010334277,0.009836009,0.00933774,0.008839471,0.00842109,0.008002709,0.007584329,0.007165948,0.006747567,0.006487304,0.00622704,0.005966777,0.005706514,0.00544625,0.005293254,0.005140257,0.004987261,0.004834265,0.004681268,0.00472277,0.004764272,0.004805773,0.004847275,0.004888777,0.00488624,0.004883704,0.004881167,0.00487863,0.004876094,0.005425164,0.005974233,0.006523303,0.007072373,0.007621443,0.007407959,0.007194476,0.006980992,0.006767509,0.006554026,0.006326973,0.006099921,0.005872868,0.005645816,0.005418763,0.005146853,0.004874942,0.004603032,0.004331122,0.004059211,0.003896776,0.00373434,0.003571904,0.003409469,0.003247033,0.003153164,0.003059294,0.002965424,0.002871555,0.002777685,0.002683815,0.002589946,0.002496076,0.002402206,0.002308337
"ATG",0.02447294,0.023881104,0.023289268,0.022697432,0.022105596,0.02151376,0.020970744,0.020427728,0.019884712,0.019341696,0.01879868,0.018304348,0.017810016,0.017315684,0.016821352,0.01632702,0.01589774,0.01546846,0.01503918,0.0146099,0.01418062,0.013805026,0.013429432,0.013053838,0.012678244,0.01230265,0.011977124,0.011651598,0.011326072,0.011000546,0.01067502,0.010392884,0.010110748,0.009828612,0.009546476,0.00926434,0.009018908,0.008773476,0.008528044,0.008282612,0.00803718,0.00782174,0.0076063,0.00739086,0.00717542,0.00695998,0.00677509,0.0065902,0.00640531,0.00622042,0.00603553,0.00587486,0.00571419,0.00555352,0.00539285,0.00523218,0.005164966,0.005097752,0.005030537,0.004963323,0.004896109,0.004828895,0.004761681,0.004694467,0.004627252,0.004560038
"AUS",0.006321428,0.0060926,0.005863773,0.005634945,0.005406118,0.00517729,0.005102697,0.005028103,0.004953509,0.004878916,0.004804322,0.004765489,0.004726655,0.004687822,0.004648989,0.004610156,0.004519478,0.004428801,0.004338124,0.004247447,0.004156769,0.004031261,0.003905753,0.003780245,0.003654737,0.003529229,0.003395598,0.003261967,0.003128337,0.002994706,0.002861075,0.002854097,0.002847119,0.00284014,0.002833162,0.002826183,0.00279226,0.002758337,0.002724414,0.00269049,0.002656567,0.002675533,0.002694499,0.002713466,0.002732432,0.002751398,0.002676579,0.002601761,0.002526942,0.002452123,0.002377305,0.002321418,0.002265531,0.002209645,0.002153758,0.002097871,0.002070246,0.00204262,0.002014994,0.001987368,0.001959743,0.001932117,0.001904491,0.001876866,0.00184924,0.001821614
"AUT",0.007983849,0.007687109,0.007390369,0.007093629,0.006796889,0.006500149,0.006263452,0.006026755,0.005790058,0.005553361,0.005316664,0.005182328,0.005047992,0.004913657,0.004779321,0.004644985,0.004569257,0.004493529,0.0044178,0.004342072,0.004266344,0.004253447,0.00424055,0.004227653,0.004214756,0.004201859,0.004098266,0.003994674,0.003891081,0.003787489,0.003683896,0.003556258,0.00342862,0.003300982,0.003173344,0.003045706,0.003016763,0.00298782,0.002958878,0.002929935,0.002900992,0.002782299,0.002663607,0.002544914,0.002426222,0.002307529,0.002244664,0.0021818,0.002118935,0.002056071,0.001993206,0.0019313,0.001869394,0.001807489,0.001745583,0.001683677,0.001690661,0.001697645,0.001704629,0.001711613,0.001718597,0.001725581,0.001732564,0.001739548,0.001746532,0.001753516
"AZE",0.00505963,0.004894343,0.004729056,0.004563769,0.004398482,0.004233195,0.004264204,0.004295214,0.004326223,0.004357233,0.004388242,0.004419246,0.00445025,0.004481254,0.004512258,0.004543262,0.004574261,0.00460526,0.004636259,0.004667258,0.004698257,0.004729249,0.00476024,0.004791232,0.004822223,0.004853215,0.004884202,0.004915189,0.004946177,0.004977164,0.005008151,0.005039136,0.005070121,0.005101107,0.005132092,0.005163077,0.005314862,0.005466647,0.005618432,0.005770217,0.005922001,0.005811928,0.005701855,0.005591782,0.005481708,0.005371635,0.005533487,0.00569534,0.005857192,0.006019045,0.006180897,0.005638149,0.005095401,0.004552653,0.004009906,0.003467158,0.00341396,0.003360762,0.003307564,0.003254366,0.003201168,0.003147969,0.003094771,0.003041573,0.002988375,0.002935177
"BDI",0.050411734,0.049871302,0.04933087,0.048790437,0.048250005,0.047709573,0.047183531,0.046657489,0.046131448,0.045605406,0.045079364,0.044577238,0.044075112,0.043572987,0.043070861,0.042568735,0.042339065,0.042109395,0.041879725,0.041650055,0.041420385,0.040745879,0.040071373,0.039396868,0.038722362,0.038047856,0.037575068,0.03710228,0.036629492,0.036156704,0.035683916,0.035375345,0.035066774,0.034758202,0.034449631,0.03414106,0.034784014,0.035426968,0.036069921,0.036712875,0.037355829,0.037412926,0.037470023,0.037527121,0.037584218,0.037641315,0.038916215,0.040191115,0.041466016,0.042740916,0.044015816,0.043488271,0.042960726,0.04243318,0.041905635,0.04137809,0.039093342,0.036808594,0.034523847,0.032239099,0.029954351,0.027669603,0.025384855,0.023100108,0.02081536,0.018530612
"BEL",0.007140789,0.006769024,0.006397258,0.006025493,0.005653727,0.005281961,0.005163519,0.005045077,0.004926635,0.004808193,0.004689751,0.004617059,0.004544368,0.004471677,0.004398985,0.004326294,0.004257494,0.004188694,0.004119894,0.004051094,0.003982294,0.004015203,0.004048112,0.004081021,0.004113931,0.00414684,0.004079094,0.004011348,0.003943602,0.003875857,0.003808111,0.003736396,0.003664682,0.003592968,0.003521253,0.003449539,0.0033857,0.00332186,0.003258021,0.003194182,0.003130343,0.00306356,0.002996778,0.002929996,0.002863213,0.002796431,0.00272658,0.002656729,0.002586877,0.002517026,0.002447175,0.002402264,0.002357353,0.002312442,0.002267531,0.00222262,0.002167741,0.002112862,0.002057982,0.002003103,0.001948224,0.001893344,0.001838465,0.001783585,0.001728706,0.001673827
