"female_75.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.36625234,0.362600438,0.358948536,0.355296634,0.351644732,0.34799283,0.345376772,0.342760714,0.340144656,0.337528598,0.33491254,0.333040224,0.331167908,0.329295592,0.327423276,0.32555096,0.321068526,0.316586092,0.312103658,0.307621224,0.30313879,0.298484266,0.293829742,0.289175218,0.284520694,0.27986617,0.277235066,0.274603962,0.271972858,0.269341754,0.26671065,0.26469268,0.26267471,0.26065674,0.25863877,0.2566208,0.255952932,0.255285064,0.254617196,0.253949328,0.25328146,0.252616298,0.251951136,0.251285974,0.250620812,0.24995565,0.249324072,0.248692494,0.248060916,0.247429338,0.24679776,0.244486034,0.242174308,0.239862582,0.237550856,0.23523913,0.233021444,0.230803758,0.228586072,0.226368386,0.2241507,0.221933014,0.219715328,0.217497642,0.215279956,0.21306227
"AFG",0.56201009,0.557436068,0.552862046,0.548288024,0.543714002,0.53913998,0.535334314,0.531528648,0.527722982,0.523917316,0.52011165,0.516726282,0.513340914,0.509955546,0.506570178,0.50318481,0.499875624,0.496566438,0.493257252,0.489948066,0.48663888,0.4831052,0.47957152,0.47603784,0.47250416,0.46897048,0.4649198,0.46086912,0.45681844,0.45276776,0.44871708,0.443778064,0.438839048,0.433900032,0.428961016,0.424022,0.42009318,0.41616436,0.41223554,0.40830672,0.4043779,0.402262424,0.400146948,0.398031472,0.395915996,0.39380052,0.391396228,0.388991936,0.386587644,0.384183352,0.38177906,0.378952502,0.376125944,0.373299386,0.370472828,0.36764627,0.36559832,0.36355037,0.36150242,0.35945447,0.35740652,0.35535857,0.35331062,0.35126267,0.34921472,0.34716677
"AGO",0.54168643,0.539119848,0.536553266,0.533986684,0.531420102,0.52885352,0.525541836,0.522230152,0.518918468,0.515606784,0.5122951,0.508364328,0.504433556,0.500502784,0.496572012,0.49264124,0.48895279,0.48526434,0.48157589,0.47788744,0.47419899,0.470716916,0.467234842,0.463752768,0.460270694,0.45678862,0.454764916,0.452741212,0.450717508,0.448693804,0.4466701,0.445542138,0.444414176,0.443286214,0.442158252,0.44103029,0.43942091,0.43781153,0.43620215,0.43459277,0.43298339,0.429016724,0.425050058,0.421083392,0.417116726,0.41315006,0.406778008,0.400405956,0.394033904,0.387661852,0.3812898,0.375138988,0.368988176,0.362837364,0.356686552,0.35053574,0.345120846,0.339705952,0.334291058,0.328876164,0.32346127,0.318046376,0.312631482,0.307216588,0.301801694,0.2963868
"ALB",0.32326625,0.318520212,0.313774174,0.309028136,0.304282098,0.29953606,0.291611446,0.283686832,0.275762218,0.267837604,0.25991299,0.265112054,0.270311118,0.275510182,0.280709246,0.28590831,0.28783034,0.28975237,0.2916744,0.29359643,0.29551846,0.293572378,0.291626296,0.289680214,0.287734132,0.28578805,0.28210092,0.27841379,0.27472666,0.27103953,0.2673524,0.26359548,0.25983856,0.25608164,0.25232472,0.2485678,0.252112364,0.255656928,0.259201492,0.262746056,0.26629062,0.262116006,0.257941392,0.253766778,0.249592164,0.24541755,0.240174066,0.234930582,0.229687098,0.224443614,0.21920013,0.218305018,0.217409906,0.216514794,0.215619682,0.21472457,0.209439,0.20415343,0.19886786,0.19358229,0.18829672,0.18301115,0.17772558,0.17244001,0.16715444,0.16186887
"ARE",0.446005,0.4420266,0.4380482,0.4340698,0.4300914,0.426113,0.4221994,0.4182858,0.4143722,0.4104586,0.406545,0.4027302,0.3989154,0.3951006,0.3912858,0.387471,0.383784,0.380097,0.37641,0.372723,0.369036,0.3655048,0.3619736,0.3584424,0.3549112,0.35138,0.3480274,0.3446748,0.3413222,0.3379696,0.334617,0.331463,0.328309,0.325155,0.322001,0.318847,0.315907,0.312967,0.310027,0.307087,0.304147,0.3014328,0.2987186,0.2960044,0.2932902,0.290576,0.288077524,0.285579048,0.283080572,0.280582096,0.27808362,0.275743808,0.273403996,0.271064184,0.268724372,0.26638456,0.261135624,0.255886688,0.250637752,0.245388816,0.24013988,0.234890944,0.229642008,0.224393072,0.219144136,0.2138952
"ARG",0.3069,0.302876,0.298852,0.294828,0.290804,0.28678,0.283648,0.280516,0.277384,0.274252,0.27112,0.271068,0.271016,0.270964,0.270912,0.27086,0.268648,0.266436,0.264224,0.262012,0.2598,0.257652,0.255504,0.253356,0.251208,0.24906,0.246438,0.243816,0.241194,0.238572,0.23595,0.234776,0.233602,0.232428,0.231254,0.23008,0.227412,0.224744,0.222076,0.219408,0.21674,0.213048,0.209356,0.205664,0.201972,0.19828,0.196614,0.194948,0.193282,0.191616,0.18995,0.188008774,0.186067548,0.184126322,0.182185096,0.18024387,0.178061396,0.175878922,0.173696448,0.171513974,0.1693315,0.167149026,0.164966552,0.162784078,0.160601604,0.15841913
"ARM",0.31375466,0.308762802,0.303770944,0.298779086,0.293787228,0.28879537,0.283709294,0.278623218,0.273537142,0.268451066,0.26336499,0.257572636,0.251780282,0.245987928,0.240195574,0.23440322,0.23088307,0.22736292,0.22384277,0.22032262,0.21680247,0.218351158,0.219899846,0.221448534,0.222997222,0.22454591,0.22499804,0.22545017,0.2259023,0.22635443,0.22680656,0.237814938,0.248823316,0.259831694,0.270840072,0.28184845,0.282002622,0.282156794,0.282310966,0.282465138,0.28261931,0.279023738,0.275428166,0.271832594,0.268237022,0.26464145,0.264708674,0.264775898,0.264843122,0.264910346,0.26497757,0.265008354,0.265039138,0.265069922,0.265100706,0.26513149,0.26380334,0.26247519,0.26114704,0.25981889,0.25849074,0.25716259,0.25583444,0.25450629,0.25317814,0.25184999
"ATG",0.32911377,0.32663245,0.32415113,0.32166981,0.31918849,0.31670717,0.31419414,0.31168111,0.30916808,0.30665505,0.30414202,0.301522996,0.298903972,0.296284948,0.293665924,0.2910469,0.288507456,0.285968012,0.283428568,0.280889124,0.27834968,0.275887248,0.273424816,0.270962384,0.268499952,0.26603752,0.263676818,0.261316116,0.258955414,0.256594712,0.25423401,0.251944462,0.249654914,0.247365366,0.245075818,0.24278627,0.240582648,0.238379026,0.236175404,0.233971782,0.23176816,0.229649126,0.227530092,0.225411058,0.223292024,0.22117299,0.219154668,0.217136346,0.215118024,0.213099702,0.21108138,0.209136654,0.207191928,0.205247202,0.203302476,0.20135775,0.198923552,0.196489354,0.194055156,0.191620958,0.18918676,0.186752562,0.184318364,0.181884166,0.179449968,0.17701577
"AUS",0.30901943,0.304719868,0.300420306,0.296120744,0.291821182,0.28752162,0.285469828,0.283418036,0.281366244,0.279314452,0.27726266,0.276999598,0.276736536,0.276473474,0.276210412,0.27594735,0.272222796,0.268498242,0.264773688,0.261049134,0.25732458,0.249988376,0.242652172,0.235315968,0.227979764,0.22064356,0.216332026,0.212020492,0.207708958,0.203397424,0.19908589,0.197051304,0.195016718,0.192982132,0.190947546,0.18891296,0.185392378,0.181871796,0.178351214,0.174830632,0.17131005,0.16742792,0.16354579,0.15966366,0.15578153,0.1518994,0.148052502,0.144205604,0.140358706,0.136511808,0.13266491,0.129747992,0.126831074,0.123914156,0.120997238,0.11808032,0.115836676,0.113593032,0.111349388,0.109105744,0.1068621,0.104618456,0.102374812,0.100131168,0.097887524,0.09564388
"AUT",0.349966,0.34582168,0.34167736,0.33753304,0.33338872,0.3292444,0.325041628,0.320838856,0.316636084,0.312433312,0.30823054,0.307754626,0.307278712,0.306802798,0.306326884,0.30585097,0.303132348,0.300413726,0.297695104,0.294976482,0.29225786,0.288517002,0.284776144,0.281035286,0.277294428,0.27355357,0.26904474,0.26453591,0.26002708,0.25551825,0.25100942,0.2448555,0.23870158,0.23254766,0.22639374,0.22023982,0.21481958,0.20939934,0.2039791,0.19855886,0.19313862,0.188977138,0.184815656,0.180654174,0.176492692,0.17233121,0.167996334,0.163661458,0.159326582,0.154991706,0.15065683,0.146884578,0.143112326,0.139340074,0.135567822,0.13179557,0.12855342,0.12531127,0.12206912,0.11882697,0.11558482,0.11234267,0.10910052,0.10585837,0.10261622,0.09937407
