"male_20.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.016764836,0.015956275,0.015147715,0.014339154,0.013530594,0.012722033,0.012367171,0.012012309,0.011657446,0.011302584,0.010947722,0.01063016,0.010312598,0.009995036,0.009677474,0.009359913,0.009149351,0.008938789,0.008728227,0.008517665,0.008307103,0.008075441,0.007843779,0.007612117,0.007380456,0.007148794,0.006868097,0.0065874,0.006306703,0.006026007,0.00574531,0.005699764,0.005654218,0.005608672,0.005563126,0.00551758,0.005472794,0.005428007,0.005383221,0.005338434,0.005293647,0.005278905,0.005264163,0.005249421,0.005234679,0.005219938,0.005174085,0.005128232,0.005082379,0.005036526,0.004990673,0.004896806,0.004802938,0.004709071,0.004615204,0.004521337,0.004437779,0.004354221,0.004270664,0.004187106,0.004103549,0.004019991,0.003936433,0.003852876,0.003769318,0.003685761
"AFG",0.064595707,0.063495182,0.062394657,0.061294133,0.060193608,0.059093083,0.058175756,0.05725843,0.056341103,0.055423777,0.05450645,0.053675302,0.052844154,0.052013006,0.051181858,0.05035071,0.049551618,0.048752526,0.047953434,0.047154342,0.04635525,0.045505653,0.044656056,0.04380646,0.042956863,0.042107266,0.041128443,0.04014962,0.039170798,0.038191975,0.037213152,0.036103314,0.034993477,0.033883639,0.032773802,0.031663964,0.030644816,0.029625668,0.028606521,0.027587373,0.026568225,0.025985469,0.025402714,0.024819958,0.024237203,0.023654447,0.023014873,0.022375298,0.021735724,0.021096149,0.020456575,0.019762798,0.01906902,0.018375243,0.017681465,0.016987688,0.016524936,0.016062184,0.015599433,0.015136681,0.014673929,0.014211177,0.013748425,0.013285674,0.012822922,0.01236017
"AGO",0.061205497,0.060768975,0.060332454,0.059895932,0.059459411,0.059022889,0.058452873,0.057882857,0.05731284,0.056742824,0.056172808,0.055488966,0.054805124,0.054121281,0.053437439,0.052753597,0.052075086,0.051396574,0.050718063,0.050039551,0.04936104,0.048752375,0.04814371,0.047535044,0.046926379,0.046317714,0.046132255,0.045946796,0.045761337,0.045575878,0.045390419,0.045238131,0.045085843,0.044933556,0.044781268,0.04462898,0.044478719,0.044328458,0.044178198,0.044027937,0.043877676,0.043156403,0.042435129,0.041713856,0.040992582,0.040271309,0.039048319,0.037825329,0.036602339,0.035379349,0.034156359,0.032859286,0.031562213,0.030265141,0.028968068,0.027670995,0.026703702,0.025736409,0.024769116,0.023801823,0.02283453,0.021867237,0.020899944,0.019932651,0.018965358,0.017998065
"ALB",0.014865308,0.014181435,0.013497562,0.012813688,0.012129815,0.011445942,0.010746962,0.010047981,0.009349001,0.00865002,0.00795104,0.00802395,0.00809686,0.008169769,0.008242679,0.008315589,0.008439081,0.008562573,0.008686065,0.008809557,0.008933049,0.008643073,0.008353096,0.008063119,0.007773143,0.007483166,0.007419563,0.007355959,0.007292355,0.007228752,0.007165148,0.00713914,0.007113132,0.007087123,0.007061115,0.007035107,0.007227092,0.007419077,0.007611062,0.007803048,0.007995033,0.007808337,0.007621641,0.007434945,0.007248249,0.007061553,0.006929376,0.006797198,0.006665021,0.006532844,0.006400666,0.006048639,0.005696613,0.005344586,0.004992559,0.004640532,0.004381939,0.004123345,0.003864752,0.003606159,0.003347565,0.003088972,0.002830379,0.002571785,0.002313192,0.002054599
"ARE",0.037924,0.0359114,0.0338988,0.0318862,0.0298736,0.027861,0.026397,0.024933,0.023469,0.022005,0.020541,0.0194954,0.0184498,0.0174042,0.0163586,0.015313,0.0145758,0.0138386,0.0131014,0.0123642,0.011627,0.0111134,0.0105998,0.0100862,0.0095726,0.009059,0.0087048,0.0083506,0.0079964,0.0076422,0.007288,0.0070506,0.0068132,0.0065758,0.0063384,0.006101,0.0059478,0.0057946,0.0056414,0.0054882,0.005335,0.0052326,0.0051302,0.0050278,0.0049254,0.004823,0.0047552,0.0046874,0.0046196,0.0045518,0.004484,0.0044344,0.0043848,0.0043352,0.0042856,0.004236,0.004157253,0.004078506,0.003999759,0.003921013,0.003842266,0.003763519,0.003684772,0.003606025,0.003527278,0.003448532
"ARG",0.01253,0.012162,0.011794,0.011426,0.011058,0.01069,0.010524,0.010358,0.010192,0.010026,0.00986,0.00977,0.00968,0.00959,0.0095,0.00941,0.009258,0.009106,0.008954,0.008802,0.00865,0.008502,0.008354,0.008206,0.008058,0.00791,0.007804,0.007698,0.007592,0.007486,0.00738,0.007366,0.007352,0.007338,0.007324,0.00731,0.007288,0.007266,0.007244,0.007222,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.007136,0.007072,0.007008,0.006944,0.00688,0.006824658,0.006769316,0.006713973,0.006658631,0.006603289,0.006519667,0.006436046,0.006352424,0.006268802,0.00618518,0.006101559,0.006017937,0.005934315,0.005850693,0.005767072
"ARM",0.009833736,0.009448978,0.00906422,0.008679462,0.008294703,0.007909945,0.007583404,0.007256863,0.006930322,0.006603782,0.006277241,0.006042953,0.005808666,0.005574378,0.005340091,0.005105804,0.004961069,0.004816334,0.004671599,0.004526864,0.00438213,0.00444071,0.00449929,0.00455787,0.00461645,0.00467503,0.004658774,0.004642518,0.004626261,0.004610005,0.004593749,0.004866758,0.005139767,0.005412777,0.005685786,0.005958795,0.006216793,0.00647479,0.006732787,0.006990785,0.007248782,0.006975661,0.006702539,0.006429417,0.006156295,0.005883174,0.005614177,0.005345181,0.005076185,0.004807189,0.004538193,0.004393781,0.004249368,0.004104956,0.003960544,0.003816132,0.003912618,0.004009105,0.004105591,0.004202078,0.004298564,0.004395051,0.004491538,0.004588024,0.004684511,0.004780997
"ATG",0.00996981,0.009846818,0.009723826,0.009600834,0.009477842,0.00935485,0.009271372,0.009187894,0.009104416,0.009020938,0.00893746,0.008888178,0.008838896,0.008789614,0.008740332,0.00869105,0.008642094,0.008593138,0.008544182,0.008495226,0.00844627,0.00840017,0.00835407,0.00830797,0.00826187,0.00821577,0.008168632,0.008121494,0.008074356,0.008027218,0.00798008,0.00793578,0.00789148,0.00784718,0.00780288,0.00775858,0.007715956,0.007673332,0.007630708,0.007588084,0.00754546,0.00750216,0.00745886,0.00741556,0.00737226,0.00732896,0.007288496,0.007248032,0.007207568,0.007167104,0.00712664,0.007085656,0.007044672,0.007003688,0.006962704,0.00692172,0.0068358,0.00674988,0.00666396,0.00657804,0.00649212,0.0064062,0.00632028,0.00623436,0.00614844,0.00606252
"AUS",0.00981604,0.009623604,0.009431167,0.009238731,0.009046295,0.008853858,0.008733077,0.008612295,0.008491513,0.008370731,0.00824995,0.008326001,0.008402053,0.008478105,0.008554157,0.008630209,0.008656913,0.008683618,0.008710323,0.008737028,0.008763732,0.008732124,0.008700515,0.008668906,0.008637298,0.008605689,0.00843235,0.008259012,0.008085673,0.007912335,0.007738996,0.007658717,0.007578438,0.007498159,0.00741788,0.007337601,0.007075487,0.006813373,0.006551259,0.006289145,0.006027031,0.006061782,0.006096533,0.006131283,0.006166034,0.006200785,0.005887508,0.005574231,0.005260954,0.004947677,0.0046344,0.004436213,0.004238026,0.004039839,0.003841652,0.003643465,0.00351915,0.003394836,0.003270521,0.003146206,0.003021892,0.002897577,0.002773262,0.002648948,0.002524633,0.002400318
"AUT",0.010439539,0.010817216,0.011194893,0.01157257,0.011950247,0.012327924,0.011622417,0.010916909,0.010211402,0.009505894,0.008800387,0.008821106,0.008841825,0.008862544,0.008883263,0.008903982,0.00904649,0.009188998,0.009331505,0.009474013,0.009616521,0.009539276,0.00946203,0.009384785,0.009307539,0.009230294,0.009126345,0.009022396,0.008918448,0.008814499,0.00871055,0.008358487,0.008006425,0.007654362,0.0073023,0.006950237,0.006928326,0.006906415,0.006884505,0.006862594,0.006840683,0.006645017,0.00644935,0.006253684,0.006058017,0.005862351,0.005663476,0.005464601,0.005265725,0.00506685,0.004867975,0.004739525,0.004611075,0.004482626,0.004354176,0.004225726,0.004015981,0.003806236,0.00359649,0.003386745,0.003177,0.002967255,0.00275751,0.002547764,0.002338019,0.002128274
