"male_75.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.41143453,0.407805998,0.404177466,0.400548934,0.396920402,0.39329187,0.391581464,0.389871058,0.388160652,0.386450246,0.38473984,0.382885256,0.381030672,0.379176088,0.377321504,0.37546692,0.374067174,0.372667428,0.371267682,0.369867936,0.36846819,0.36661478,0.36476137,0.36290796,0.36105455,0.35920114,0.356399164,0.353597188,0.350795212,0.347993236,0.34519126,0.344610084,0.344028908,0.343447732,0.342866556,0.34228538,0.341693866,0.341102352,0.340510838,0.339919324,0.33932781,0.339128502,0.338929194,0.338729886,0.338530578,0.33833127,0.33769586,0.33706045,0.33642504,0.33578963,0.33515422,0.333773068,0.332391916,0.331010764,0.329629612,0.32824846,0.32648942,0.32473038,0.32297134,0.3212123,0.31945326,0.31769422,0.31593518,0.31417614,0.3124171,0.31065806
"AFG",0.59769793,0.59330487,0.58891181,0.58451875,0.58012569,0.57573263,0.572052618,0.568372606,0.564692594,0.561012582,0.55733257,0.554017684,0.550702798,0.547387912,0.544073026,0.54075814,0.537581694,0.534405248,0.531228802,0.528052356,0.52487591,0.521482938,0.518089966,0.514696994,0.511304022,0.50791105,0.50399421,0.50007737,0.49616053,0.49224369,0.48832685,0.483954112,0.479581374,0.475208636,0.470835898,0.46646316,0.462995592,0.459528024,0.456060456,0.452592888,0.44912532,0.447054442,0.444983564,0.442912686,0.440841808,0.43877093,0.436337948,0.433904966,0.431471984,0.429039002,0.42660602,0.423763664,0.420921308,0.418078952,0.415236596,0.41239424,0.410372658,0.408351076,0.406329494,0.404307912,0.40228633,0.400264748,0.398243166,0.396221584,0.394200002,0.39217842
"AGO",0.59193355,0.589346894,0.586760238,0.584173582,0.581586926,0.57900027,0.575526516,0.572052762,0.568579008,0.565105254,0.5616315,0.557525776,0.553420052,0.549314328,0.545208604,0.54110288,0.537023714,0.532944548,0.528865382,0.524786216,0.52070705,0.517035048,0.513363046,0.509691044,0.506019042,0.50234704,0.501229796,0.500112552,0.498995308,0.497878064,0.49676082,0.495831716,0.494902612,0.493973508,0.493044404,0.4921153,0.491187992,0.490260684,0.489333376,0.488406068,0.48747876,0.483125182,0.478771604,0.474418026,0.470064448,0.46571087,0.458545224,0.451379578,0.444213932,0.437048286,0.42988264,0.423322264,0.416761888,0.410201512,0.403641136,0.39708076,0.391677266,0.386273772,0.380870278,0.375466784,0.37006329,0.364659796,0.359256302,0.353852808,0.348449314,0.34304582
"ALB",0.34311024,0.337556308,0.332002376,0.326448444,0.320894512,0.31534058,0.309482326,0.303624072,0.297765818,0.291907564,0.28604931,0.292641534,0.299233758,0.305825982,0.312418206,0.31901043,0.3261408,0.33327117,0.34040154,0.34753191,0.35466228,0.353378946,0.352095612,0.350812278,0.349528944,0.34824561,0.35009707,0.35194853,0.35379999,0.35565145,0.35750291,0.355822452,0.354141994,0.352461536,0.350781078,0.34910062,0.354468014,0.359835408,0.365202802,0.370570196,0.37593759,0.373218146,0.370498702,0.367779258,0.365059814,0.36234037,0.355059634,0.347778898,0.340498162,0.333217426,0.32593669,0.32677516,0.32761363,0.3284521,0.32929057,0.33012904,0.3183409,0.30655276,0.29476462,0.28297648,0.27118834,0.2594002,0.24761206,0.23582392,0.22403578,0.21224764
"ARE",0.509796,0.5053782,0.5009604,0.4965426,0.4921248,0.487707,0.4833074,0.4789078,0.4745082,0.4701086,0.465709,0.4613554,0.4570018,0.4526482,0.4482946,0.443941,0.4396604,0.4353798,0.4310992,0.4268186,0.422538,0.4183542,0.4141704,0.4099866,0.4058028,0.401619,0.3975554,0.3934918,0.3894282,0.3853646,0.381301,0.3773776,0.3734542,0.3695308,0.3656074,0.361684,0.3579166,0.3541492,0.3503818,0.3466144,0.342847,0.3392486,0.3356502,0.3320518,0.3284534,0.324855,0.3214194,0.3179838,0.3145482,0.3111126,0.307677,0.3043852,0.3010934,0.2978016,0.2945098,0.291218,0.286684332,0.282150664,0.277616996,0.273083328,0.26854966,0.264015992,0.259482324,0.254948656,0.250414988,0.24588132
"ARG",0.39973,0.396268,0.392806,0.389344,0.385882,0.38242,0.379596,0.376772,0.373948,0.371124,0.3683,0.367618,0.366936,0.366254,0.365572,0.36489,0.36385,0.36281,0.36177,0.36073,0.35969,0.358674,0.357658,0.356642,0.355626,0.35461,0.353216,0.351822,0.350428,0.349034,0.34764,0.34705,0.34646,0.34587,0.34528,0.34469,0.343066,0.341442,0.339818,0.338194,0.33657,0.33405,0.33153,0.32901,0.32649,0.32397,0.322298,0.320626,0.318954,0.317282,0.31561,0.313455194,0.311300388,0.309145582,0.306990776,0.30483597,0.301802114,0.298768258,0.295734402,0.292700546,0.28966669,0.286632834,0.283598978,0.280565122,0.277531266,0.27449741
"ARM",0.38433249,0.379917878,0.375503266,0.371088654,0.366674042,0.36225943,0.35777981,0.35330019,0.34882057,0.34434095,0.33986133,0.333905256,0.327949182,0.321993108,0.316037034,0.31008096,0.306243212,0.302405464,0.298567716,0.294729968,0.29089222,0.29338567,0.29587912,0.29837257,0.30086602,0.30335947,0.30362947,0.30389947,0.30416947,0.30443947,0.30470947,0.312265632,0.319821794,0.327377956,0.334934118,0.34249028,0.346283134,0.350075988,0.353868842,0.357661696,0.36145455,0.358747232,0.356039914,0.353332596,0.350625278,0.34791796,0.344511314,0.341104668,0.337698022,0.334291376,0.33088473,0.336678898,0.342473066,0.348267234,0.354061402,0.35985557,0.355627466,0.351399362,0.347171258,0.342943154,0.33871505,0.334486946,0.330258842,0.326030738,0.321802634,0.31757453
"ATG",0.51314898,0.510210914,0.507272848,0.504334782,0.501396716,0.49845865,0.494561976,0.490665302,0.486768628,0.482871954,0.47897528,0.474072924,0.469170568,0.464268212,0.459365856,0.4544635,0.449546392,0.444629284,0.439712176,0.434795068,0.42987796,0.42502756,0.42017716,0.41532676,0.41047636,0.40562596,0.40089727,0.39616858,0.39143989,0.3867112,0.38198251,0.377374038,0.372765566,0.368157094,0.363548622,0.35894015,0.354434242,0.349928334,0.345422426,0.340916518,0.33641061,0.332048818,0.327687026,0.323325234,0.318963442,0.31460165,0.310424144,0.306246638,0.302069132,0.297891626,0.29371412,0.289737622,0.285761124,0.281784626,0.277808128,0.27383163,0.271534368,0.269237106,0.266939844,0.264642582,0.26234532,0.260048058,0.257750796,0.255453534,0.253156272,0.25085901
"AUS",0.39917798,0.397935266,0.396692552,0.395449838,0.394207124,0.39296441,0.392481116,0.391997822,0.391514528,0.391031234,0.39054794,0.393394498,0.396241056,0.399087614,0.401934172,0.40478073,0.40189491,0.39900909,0.39612327,0.39323745,0.39035163,0.38313132,0.37591101,0.3686907,0.36147039,0.35425008,0.349775514,0.345300948,0.340826382,0.336351816,0.33187725,0.327137896,0.322398542,0.317659188,0.312919834,0.30818048,0.302266098,0.296351716,0.290437334,0.284522952,0.27860857,0.272131716,0.265654862,0.259178008,0.252701154,0.2462243,0.239944782,0.233665264,0.227385746,0.221106228,0.21482671,0.209386196,0.203945682,0.198505168,0.193064654,0.18762414,0.18380713,0.17999012,0.17617311,0.1723561,0.16853909,0.16472208,0.16090507,0.15708806,0.15327105,0.14945404
"AUT",0.40979136,0.408418604,0.407045848,0.405673092,0.404300336,0.40292758,0.40227615,0.40162472,0.40097329,0.40032186,0.39967043,0.401435508,0.403200586,0.404965664,0.406730742,0.40849582,0.407807734,0.407119648,0.406431562,0.405743476,0.40505539,0.403763362,0.402471334,0.401179306,0.399887278,0.39859525,0.39326202,0.38792879,0.38259556,0.37726233,0.3719291,0.36330414,0.35467918,0.34605422,0.33742926,0.3288043,0.32341865,0.318033,0.31264735,0.3072617,0.30187605,0.296929636,0.291983222,0.287036808,0.282090394,0.27714398,0.27047184,0.2637997,0.25712756,0.25045542,0.24378328,0.238350266,0.232917252,0.227484238,0.222051224,0.21661821,0.211427168,0.206236126,0.201045084,0.195854042,0.190663,0.185471958,0.180280916,0.175089874,0.169898832,0.16470779
"AZE",0.42625385,0.422559466,0.418865082,0.415170698,0.411476314,0.40778193,0.406845244,0.405908558,0.404971872,0.404035186,0.4030985,0.402160968,0.401223436,0.400285904,0.399348372,0.39841084,0.397427536,0.396444232,0.395460928,0.394477624,0.39349432,0.392369468,0.391244616,0.390119764,0.388994912,0.38787006,0.386769072,0.385668084,0.384567096,0.383466108,0.38236512,0.38133388,0.38030264,0.3792714,0.37824016,0.37720892,0.378640972,0.380073024,0.381505076,0.382937128,0.38436918,0.385933584,0.387497988,0.389062392,0.390626796,0.3921912,0.393253882,0.394316564,0.395379246,0.396441928,0.39750461,0.395720282,0.393935954,0.392151626,0.390367298,0.38858297,0.383835962,0.379088954,0.374341946,0.369594938,0.36484793,0.360100922,0.355353914,0.350606906,0.345859898,0.34111289
"BDI",0.51114799,0.508362842,0.505577694,0.502792546,0.500007398,0.49722225,0.494504844,0.491787438,0.489070032,0.486352626,0.48363522,0.481059074,0.478482928,0.475906782,0.473330636,0.47075449,0.469542796,0.468331102,0.467119408,0.465907714,0.46469602,0.46097833,0.45726064,0.45354295,0.44982526,0.44610757,0.44432221,0.44253685,0.44075149,0.43896613,0.43718077,0.43549437,0.43380797,0.43212157,0.43043517,0.42874877,0.431110942,0.433473114,0.435835286,0.438197458,0.44055963,0.435557182,0.430554734,0.425552286,0.420549838,0.41554739,0.413368284,0.411189178,0.409010072,0.406830966,0.40465186,0.402533488,0.400415116,0.398296744,0.396178372,0.39406,0.39209713,0.39013426,0.38817139,0.38620852,0.38424565,0.38228278,0.38031991,0.37835704,0.37639417,0.3744313
"BEL",0.39459611,0.392526992,0.390457874,0.388388756,0.386319638,0.38425052,0.384163362,0.384076204,0.383989046,0.383901888,0.38381473,0.385724698,0.387634666,0.389544634,0.391454602,0.39336457,0.39272786,0.39209115,0.39145444,0.39081773,0.39018102,0.389115108,0.388049196,0.386983284,0.385917372,0.38485146,0.381929796,0.379008132,0.376086468,0.373164804,0.37024314,0.364671368,0.359099596,0.353527824,0.347956052,0.34238428,0.336475016,0.330565752,0.324656488,0.318747224,0.31283796,0.307865406,0.302892852,0.297920298,0.292947744,0.28797519,0.282636906,0.277298622,0.271960338,0.266622054,0.26128377,0.254525794,0.247767818,0.241009842,0.234251866,0.22749389,0.222086674,0.216679458,0.211272242,0.205865026,0.20045781,0.195050594,0.189643378,0.184236162,0.178828946,0.17342173
"BEN",0.59028717,0.586828758,0.583370346,0.579911934,0.576453522,0.57299511,0.569948796,0.566902482,0.563856168,0.560809854,0.55776354,0.540200918,0.522638296,0.505075674,0.487513052,0.46995043,0.467636968,0.465323506,0.463010044,0.460696582,0.45838312,0.456242884,0.454102648,0.451962412,0.449822176,0.44768194,0.445961808,0.444241676,0.442521544,0.440801412,0.43908128,0.43189598,0.42471068,0.41752538,0.41034008,0.40315478,0.396993696,0.390832612,0.384671528,0.378510444,0.37234936,0.375501634,0.378653908,0.381806182,0.384958456,0.38811073,0.387258866,0.386407002,0.385555138,0.384703274,0.38385141,0.380599838,0.377348266,0.374096694,0.370845122,0.36759355,0.366321978,0.365050406,0.363778834,0.362507262,0.36123569,0.359964118,0.358692546,0.357420974,0.356149402,0.35487783
"BFA",0.66437381,0.65853219,0.65269057,0.64684895,0.64100733,0.63516571,0.62987414,0.62458257,0.619291,0.61399943,0.60870786,0.603995328,0.599282796,0.594570264,0.589857732,0.5851452,0.580376188,0.575607176,0.570838164,0.566069152,0.56130014,0.55498305,0.54866596,0.54234887,0.53603178,0.52971469,0.520112836,0.510510982,0.500909128,0.491307274,0.48170542,0.481377262,0.481049104,0.480720946,0.480392788,0.48006463,0.482048532,0.484032434,0.486016336,0.488000238,0.48998414,0.491487006,0.492989872,0.494492738,0.495995604,0.49749847,0.494522496,0.491546522,0.488570548,0.485594574,0.4826186,0.478021252,0.473423904,0.468826556,0.464229208,0.45963186,0.45678119,0.45393052,0.45107985,0.44822918,0.44537851,0.44252784,0.43967717,0.4368265,0.43397583,0.43112516
"BGD",0.587395,0.583723852,0.580052704,0.576381556,0.572710408,0.56903926,0.564622932,0.560206604,0.555790276,0.551373948,0.54695762,0.543265764,0.539573908,0.535882052,0.532190196,0.52849834,0.525060184,0.521622028,0.518183872,0.514745716,0.51130756,0.50906954,0.50683152,0.5045935,0.50235548,0.50011746,0.497926874,0.495736288,0.493545702,0.491355116,0.48916453,0.484183516,0.479202502,0.474221488,0.469240474,0.46425946,0.458220798,0.452182136,0.446143474,0.440104812,0.43406615,0.40959449,0.38512283,0.36065117,0.33617951,0.31170785,0.307591278,0.303474706,0.299358134,0.295241562,0.29112499,0.288723934,0.286322878,0.283921822,0.281520766,0.27911971,0.276792168,0.274464626,0.272137084,0.269809542,0.267482,0.265154458,0.262826916,0.260499374,0.258171832,0.25584429
