"male_45.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.044688861,0.043098951,0.041509041,0.03991913,0.03832922,0.03673931,0.036030698,0.035322087,0.034613475,0.033904864,0.033196252,0.032558731,0.03192121,0.03128369,0.030646169,0.030008648,0.029566929,0.02912521,0.028683492,0.028241773,0.027800054,0.027248321,0.026696588,0.026144854,0.025593121,0.025041388,0.024325195,0.023609003,0.02289281,0.022176618,0.021460425,0.021335779,0.021211132,0.021086486,0.020961839,0.020837193,0.020713231,0.020589269,0.020465308,0.020341346,0.020217384,0.020176266,0.020135148,0.02009403,0.020052912,0.020011794,0.019882863,0.019753933,0.019625002,0.019496072,0.019367141,0.019097969,0.018828797,0.018559625,0.018290453,0.018021281,0.017759298,0.017497315,0.017235333,0.01697335,0.016711367,0.016449384,0.016187401,0.015925419,0.015663436,0.015401453
"AFG",0.13488351,0.132783886,0.130684262,0.128584638,0.126485014,0.12438539,0.122632606,0.120879822,0.119127038,0.117374254,0.11562147,0.114035536,0.112449602,0.110863668,0.109277734,0.1076918,0.106169618,0.104647436,0.103125254,0.101603072,0.10008089,0.098458239,0.096835588,0.095212937,0.093590286,0.091967635,0.090100279,0.088232923,0.086365568,0.084498212,0.082630856,0.080514401,0.078397946,0.07628149,0.074165035,0.07204858,0.070232065,0.06841555,0.066599036,0.064782521,0.062966006,0.061909711,0.060853416,0.059797122,0.058740827,0.057684532,0.056495981,0.05530743,0.05411888,0.052930329,0.051741778,0.050417703,0.049093627,0.047769552,0.046445476,0.045121401,0.044218508,0.043315615,0.042412722,0.041509829,0.040606936,0.039704043,0.03880115,0.037898257,0.036995364,0.036092471
"AGO",0.11201383,0.11121465,0.11041547,0.10961629,0.10881711,0.10801793,0.10697317,0.10592841,0.10488365,0.10383889,0.10279413,0.101540368,0.100286606,0.099032844,0.097779082,0.09652532,0.095282301,0.094039282,0.092796263,0.091553244,0.090310225,0.089194864,0.088079502,0.086964141,0.085848779,0.084733418,0.084393432,0.084053446,0.083713461,0.083373475,0.083033489,0.082754213,0.082474937,0.082195661,0.081916385,0.081637109,0.081361464,0.081085819,0.080810175,0.08053453,0.080258885,0.078937744,0.077616603,0.076295463,0.074974322,0.073653181,0.07138089,0.0691086,0.066836309,0.064564019,0.062291728,0.060130061,0.057968394,0.055806726,0.053645059,0.051483392,0.049824263,0.048165134,0.046506006,0.044846877,0.043187748,0.041528619,0.03986949,0.038210362,0.036551233,0.034892104
"ALB",0.034481623,0.032979807,0.031477991,0.029976175,0.028474359,0.026972543,0.025380802,0.023789061,0.022197321,0.02060558,0.019013839,0.019199325,0.019384811,0.019570297,0.019755783,0.019941269,0.020236872,0.020532475,0.020828077,0.02112368,0.021419283,0.020882835,0.020346386,0.019809938,0.019273489,0.018737041,0.018595979,0.018454917,0.018313855,0.018172793,0.018031731,0.017797709,0.017563688,0.017329666,0.017095645,0.016861623,0.017239946,0.017618268,0.017996591,0.018374913,0.018753236,0.018515428,0.018277621,0.018039813,0.017802006,0.017564198,0.017030432,0.016496667,0.015962901,0.015429136,0.01489537,0.014574965,0.014254561,0.013934156,0.013613752,0.013293347,0.012725459,0.012157571,0.011589684,0.011021796,0.010453908,0.00988602,0.009318132,0.008750245,0.008182357,0.007614469
"ARE",0.066292,0.0643302,0.0623684,0.0604066,0.0584448,0.056483,0.0548032,0.0531234,0.0514436,0.0497638,0.048084,0.0466522,0.0452204,0.0437886,0.0423568,0.040925,0.0397104,0.0384958,0.0372812,0.0360666,0.034852,0.0338262,0.0328004,0.0317746,0.0307488,0.029723,0.0288598,0.0279966,0.0271334,0.0262702,0.025407,0.0246812,0.0239554,0.0232296,0.0225038,0.021778,0.0211664,0.0205548,0.0199432,0.0193316,0.01872,0.0181924,0.0176648,0.0171372,0.0166096,0.016082,0.015639,0.015196,0.014753,0.01431,0.013867,0.0134726,0.0130782,0.0126838,0.0122894,0.011895,0.011695153,0.011495306,0.01129546,0.011095613,0.010895766,0.010695919,0.010496072,0.010296226,0.010096379,0.009896532
"ARG",0.04864,0.047666,0.046692,0.045718,0.044744,0.04377,0.042802,0.041834,0.040866,0.039898,0.03893,0.039192,0.039454,0.039716,0.039978,0.04024,0.04008,0.03992,0.03976,0.0396,0.03944,0.039286,0.039132,0.038978,0.038824,0.03867,0.038146,0.037622,0.037098,0.036574,0.03605,0.03573,0.03541,0.03509,0.03477,0.03445,0.033754,0.033058,0.032362,0.031666,0.03097,0.030296,0.029622,0.028948,0.028274,0.0276,0.027428,0.027256,0.027084,0.026912,0.02674,0.026424196,0.026108393,0.025792589,0.025476786,0.025160982,0.024846343,0.024531704,0.024217064,0.023902425,0.023587786,0.023273147,0.022958508,0.022643868,0.022329229,0.02201459
"ARM",0.043295604,0.042142198,0.040988793,0.039835387,0.038681982,0.037528576,0.036469755,0.035410934,0.034352112,0.033293291,0.03223447,0.031362131,0.030489792,0.029617454,0.028745115,0.027872776,0.027322323,0.02677187,0.026221417,0.025670964,0.025120511,0.025403612,0.025686713,0.025969813,0.026252914,0.026536015,0.026518251,0.026500487,0.026482723,0.026464959,0.026447195,0.02751652,0.028585845,0.029655169,0.030724494,0.031793819,0.033274137,0.034754455,0.036234773,0.037715091,0.039195409,0.038091084,0.036986759,0.035882435,0.03477811,0.033673785,0.032517087,0.031360389,0.03020369,0.029046992,0.027890294,0.028708557,0.029526821,0.030345084,0.031163348,0.031981611,0.03157899,0.031176369,0.030773749,0.030371128,0.029968507,0.029565886,0.029163265,0.028760645,0.028358024,0.027955403
"ATG",0.04301903,0.042488496,0.041957962,0.041427428,0.040896894,0.04036636,0.03997164,0.03957692,0.0391822,0.03878748,0.03839276,0.03812129,0.03784982,0.03757835,0.03730688,0.03703541,0.036771596,0.036507782,0.036243968,0.035980154,0.03571634,0.03546213,0.03520792,0.03495371,0.0346995,0.03444529,0.034199656,0.033954022,0.033708388,0.033462754,0.03321712,0.032978316,0.032739512,0.032500708,0.032261904,0.0320231,0.031793928,0.031564756,0.031335584,0.031106412,0.03087724,0.030655338,0.030433436,0.030211534,0.029989632,0.02976773,0.029553892,0.029340054,0.029126216,0.028912378,0.02869854,0.02849255,0.02828656,0.02808057,0.02787458,0.02766859,0.02732532,0.02698205,0.02663878,0.02629551,0.02595224,0.02560897,0.0252657,0.02492243,0.02457916,0.02423589
"AUS",0.031225567,0.030869729,0.03051389,0.030158052,0.029802213,0.029446375,0.029620807,0.029795239,0.02996967,0.030144102,0.030318534,0.030436648,0.030554762,0.030672877,0.030790991,0.030909105,0.030655035,0.030400965,0.030146896,0.029892826,0.029638756,0.02891038,0.028182004,0.027453627,0.026725251,0.025996875,0.024954339,0.023911803,0.022869266,0.02182673,0.020784194,0.020032465,0.019280736,0.018529007,0.017777278,0.017025549,0.016575012,0.016124474,0.015673937,0.015223399,0.014772862,0.014400438,0.014028013,0.013655589,0.013283164,0.01291074,0.012840662,0.012770583,0.012700505,0.012630426,0.012560348,0.012440665,0.012320982,0.0122013,0.012081617,0.011961934,0.011796316,0.011630698,0.01146508,0.011299462,0.011133844,0.010968226,0.010802608,0.01063699,0.010471372,0.010305754
"AUT",0.032835866,0.032380702,0.031925538,0.031470373,0.031015209,0.030560045,0.030101697,0.029643349,0.029185002,0.028726654,0.028268306,0.028624369,0.028980432,0.029336494,0.029692557,0.03004862,0.030160023,0.030271427,0.03038283,0.030494234,0.030605637,0.030925792,0.031245947,0.031566103,0.031886258,0.032206413,0.031633064,0.031059715,0.030486367,0.029913018,0.029339669,0.028302131,0.027264592,0.026227054,0.025189515,0.024151977,0.023934698,0.023717418,0.023500139,0.023282859,0.02306558,0.022541172,0.022016763,0.021492355,0.020967946,0.020443538,0.019809047,0.019174555,0.018540064,0.017905572,0.017271081,0.016739177,0.016207272,0.015675368,0.015143463,0.014611559,0.014228047,0.013844535,0.013461024,0.013077512,0.012694,0.012310488,0.011926976,0.011543465,0.011159953,0.010776441
