"","country","uncertainty","growth"
"146","RUS",0.114644315313719,-10470500
"147","RWA",0.248697176925029,12411985
"148","SAU",0.109758950302981,17576836
"149","SEN",0.859401158870732,19137100
"150","SGP",0.047546324283171,-189038
"151","SLB",0.883863675823259,434261
"152","SLE",0.486162200628021,6181678
"153","SLV",0.0863735287473477,909257
"154","SOM",1.47617174100125,10258901
"155","SRB",0.0638347500057432,280965
"156","STP",0.924102417247498,164224
"157","SUR",0.277443565530506,125685
"158","SVK",0.0101342213698475,-707315
"159","SVN",0.0202991862007404,-237342
"160","SWE",0.0722828406359467,1226867
"161","SWZ",0.255998623210875,612506
"162","SYC",0.146265748937582,15406
"163","SYR",0.327015492458041,9637386
"164","TCD",0.655920844078192,20034740
"165","TGO",0.36169969213146,7579620
"166","THA",0.0367013557129873,-6293829
"167","TJK",0.537823102147929,7922284
"168","TKM",0.364329115998393,701546
"169","TLS",1.15646865332718,1133583
"170","TON",0.814476702643752,44694
"171","TTO",0.132366781070692,-17991
"172","TUN",0.117025161569077,2855738
"173","TUR",0.166402019371758,6895962
"174","TZA",0.427522946983792,72313837
"175","UGA",1.03062037565447,61627638
"176","UKR",0.180519505800911,-4639000
"177","URY",0.0978839895184453,319523
"178","USA",0.0445297058256937,32274754
"179","UZB",0.421134640514523,5500894
"180","VCT",0.133927184687771,10830
"181","VEN",0.278318077527768,8135031
"182","VNM",0.145401779240306,4118263
"183","VUT",0.857609324157322,43016
"184","WSM",0.744574445574141,100485
"185","YEM",1.02728601396177,8088569
"186","ZAF",0.17251323389458,14698475.32
"187","ZMB",1.2537129236344,17463457
"188","ZWE",0.334569063152216,12414005
