"female_5.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.0095824,0.00893852,0.00829464,0.00765076,0.00700688,0.006363,0.005983693,0.005604386,0.005225079,0.004845772,0.004466465,0.004263661,0.004060858,0.003858054,0.003655251,0.003452448,0.003216998,0.002981548,0.002746098,0.002510648,0.002275199,0.002179672,0.002084145,0.001988618,0.001893091,0.001797564,0.001755156,0.001712748,0.00167034,0.001627933,0.001585525,0.001565143,0.001544761,0.001524379,0.001503997,0.001483615,0.001477022,0.001470429,0.001463837,0.001457244,0.001450651,0.00144416,0.001437668,0.001431177,0.001424686,0.001418195,0.0014121,0.001406005,0.00139991,0.001393816,0.001387721,0.001365979,0.001344236,0.001322494,0.001300752,0.00127901,0.001261415,0.00124382,0.001226225,0.00120863,0.001191036,0.001173441,0.001155846,0.001138251,0.001120656,0.001103061
"AFG",0.051006739,0.050069318,0.049131896,0.048194475,0.047257053,0.046319632,0.045538249,0.044756866,0.043975483,0.0431941,0.042412717,0.041717892,0.041023067,0.040328243,0.039633418,0.038938593,0.038261139,0.037583685,0.036906232,0.036228778,0.035551324,0.034827888,0.034104451,0.033381015,0.032657578,0.031934142,0.031105294,0.030276446,0.029447598,0.02861875,0.027789902,0.026775154,0.025760406,0.024745659,0.023730911,0.022716163,0.021784581,0.020853,0.019921418,0.018989837,0.018058255,0.017523958,0.016989662,0.016455365,0.015921069,0.015386772,0.014844053,0.014301333,0.013758614,0.013215894,0.012673175,0.012106632,0.011540089,0.010973546,0.010407004,0.009840461,0.009465388,0.009090316,0.008715243,0.008340171,0.007965098,0.007590026,0.007214953,0.006839881,0.006464809,0.006089736
"AGO",0.078415803,0.077706477,0.076997151,0.076287824,0.075578498,0.074869172,0.073965567,0.073061961,0.072158356,0.07125475,0.070351145,0.069281355,0.068211565,0.067141775,0.066071985,0.065002195,0.063989126,0.062976057,0.061962987,0.060949918,0.059936849,0.058978578,0.058020308,0.057062037,0.056103767,0.055145496,0.054596103,0.054046711,0.053497318,0.052947926,0.052398533,0.052083642,0.051768752,0.051453861,0.051138971,0.05082408,0.050386487,0.049948894,0.049511302,0.049073709,0.048636116,0.047588826,0.046541537,0.045494247,0.044446958,0.043399668,0.041072692,0.038745716,0.03641874,0.034091764,0.031764788,0.029736133,0.027707478,0.025678824,0.023650169,0.021621514,0.020214921,0.018808328,0.017401736,0.015995143,0.01458855,0.013181957,0.011775364,0.010368772,0.008962179,0.007555586
"ALB",0.016803733,0.015927178,0.015050623,0.014174069,0.013297514,0.012420959,0.011365092,0.010309225,0.009253358,0.008197491,0.007141625,0.00699486,0.006848096,0.006701332,0.006554568,0.006407804,0.006149633,0.005891461,0.00563329,0.005375118,0.005116947,0.004932579,0.00474821,0.004563842,0.004379473,0.004195105,0.00402909,0.003863075,0.00369706,0.003531045,0.00336503,0.00321144,0.00305785,0.002904261,0.002750671,0.002597081,0.002634776,0.00267247,0.002710164,0.002747858,0.002785552,0.002644066,0.00250258,0.002361094,0.002219607,0.002078121,0.002092035,0.002105949,0.002119863,0.002133777,0.002147691,0.001938032,0.001728373,0.001518714,0.001309054,0.001099395,0.001119372,0.001139349,0.001159326,0.001179303,0.00119928,0.001219257,0.001239234,0.001259211,0.001279188,0.001299166
"ARE",0.027001,0.0252414,0.0234818,0.0217222,0.0199626,0.018203,0.0170222,0.0158414,0.0146606,0.0134798,0.012299,0.0115142,0.0107294,0.0099446,0.0091598,0.008375,0.0078576,0.0073402,0.0068228,0.0063054,0.005788,0.0054458,0.0051036,0.0047614,0.0044192,0.004077,0.0038508,0.0036246,0.0033984,0.0031722,0.002946,0.0027964,0.0026468,0.0024972,0.0023476,0.002198,0.0020972,0.0019964,0.0018956,0.0017948,0.001694,0.001625,0.001556,0.001487,0.001418,0.001349,0.00129808,0.00124716,0.00119624,0.001145321,0.001094401,0.001056439,0.001018477,0.000980515,0.000942553,0.000904591,0.000877773,0.000850956,0.000824138,0.000797321,0.000770503,0.000743686,0.000716868,0.00069005,0.000663233,0.000636415
"ARG",0.00527,0.005088,0.004906,0.004724,0.004542,0.00436,0.004196,0.004032,0.003868,0.003704,0.00354,0.003452,0.003364,0.003276,0.003188,0.0031,0.00301,0.00292,0.00283,0.00274,0.00265,0.002562,0.002474,0.002386,0.002298,0.00221,0.002124,0.002038,0.001952,0.001866,0.00178,0.00175,0.00172,0.00169,0.00166,0.00163,0.001582,0.001534,0.001486,0.001438,0.00139,0.001372,0.001354,0.001336,0.001318,0.0013,0.001288,0.001276,0.001264,0.001252,0.00124,0.001216911,0.001193821,0.001170732,0.001147642,0.001124553,0.001108907,0.001093261,0.001077615,0.001061969,0.001046324,0.001030678,0.001015032,0.000999386,0.000983741,0.000968095
"ARM",0.002524654,0.002398742,0.00227283,0.002146918,0.002021006,0.001895094,0.001793636,0.001692178,0.001590721,0.001489263,0.001387805,0.001311222,0.001234639,0.001158055,0.001081472,0.001004889,0.000962622,0.000920355,0.000878088,0.000835822,0.000793555,0.000801483,0.000809411,0.000817339,0.000825267,0.000833196,0.000829722,0.000826249,0.000822775,0.000819302,0.000815829,0.000984815,0.001153802,0.001322789,0.001491776,0.001660763,0.001693144,0.001725525,0.001757906,0.001790287,0.001822668,0.00182016,0.001817652,0.001815144,0.001812636,0.001810128,0.001762877,0.001715627,0.001668376,0.001621126,0.001573875,0.001458001,0.001342127,0.001226253,0.001110379,0.000994505,0.000965032,0.00093556,0.000906087,0.000876614,0.000847141,0.000817668,0.000788195,0.000758722,0.00072925,0.000699777
"ATG",0.01132854,0.010846482,0.010364424,0.009882366,0.009400308,0.00891825,0.008533022,0.008147794,0.007762566,0.007377338,0.00699211,0.006689668,0.006387226,0.006084784,0.005782342,0.0054799,0.005249264,0.005018628,0.004787992,0.004557356,0.00432672,0.004150174,0.003973628,0.003797082,0.003620536,0.00344399,0.00330725,0.00317051,0.00303377,0.00289703,0.00276029,0.002654726,0.002549162,0.002443598,0.002338034,0.00223247,0.002149208,0.002065946,0.001982684,0.001899422,0.00181616,0.001751744,0.001687328,0.001622912,0.001558496,0.00149408,0.001441794,0.001389508,0.001337222,0.001284936,0.00123265,0.001189112,0.001145574,0.001102036,0.001058498,0.00101496,0.000990494,0.000966027,0.000941561,0.000917094,0.000892628,0.000868162,0.000843695,0.000819229,0.000794763,0.000770296
"AUS",0.002626156,0.002493505,0.002360854,0.002228204,0.002095553,0.001962903,0.001939938,0.001916974,0.00189401,0.001871046,0.001848082,0.001825143,0.001802204,0.001779265,0.001756325,0.001733386,0.001698442,0.001663497,0.001628552,0.001593607,0.001558663,0.00149477,0.001430876,0.001366983,0.00130309,0.001239197,0.001177266,0.001115335,0.001053405,0.000991474,0.000929543,0.000917555,0.000905567,0.000893578,0.00088159,0.000869602,0.000837629,0.000805657,0.000773684,0.000741712,0.00070974,0.000689751,0.000669763,0.000649775,0.000629787,0.000609798,0.000584814,0.000559829,0.000534844,0.00050986,0.000484875,0.000480878,0.00047688,0.000472882,0.000468885,0.000464887,0.000456951,0.000449015,0.00044108,0.000433144,0.000425208,0.000417272,0.000409336,0.000401401,0.000393465,0.000385529
"AUT",0.003029836,0.002932146,0.002834457,0.002736767,0.002639078,0.002541388,0.002439654,0.00233792,0.002236186,0.002134452,0.002032718,0.002006787,0.001980857,0.001954926,0.001928996,0.001903065,0.001853155,0.001803244,0.001753334,0.001703423,0.001653513,0.001582619,0.001511726,0.001440832,0.001369939,0.001299045,0.001258104,0.001217163,0.001176223,0.001135282,0.001094341,0.001044402,0.000994463,0.000944523,0.000894584,0.000844645,0.000811668,0.000778691,0.000745714,0.000712737,0.00067976,0.000670766,0.000661773,0.000652779,0.000643786,0.000634792,0.000599812,0.000564831,0.000529851,0.00049487,0.00045989,0.000452895,0.000445899,0.000438904,0.000431908,0.000424913,0.000418915,0.000412917,0.000406918,0.00040092,0.000394922,0.000388924,0.000382926,0.000376927,0.000370929,0.000364931
