"female_60.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.1047571,0.102330453,0.099903806,0.097477159,0.095050512,0.092623865,0.090964837,0.08930581,0.087646782,0.085987755,0.084328727,0.083212602,0.082096478,0.080980353,0.079864229,0.078748104,0.076595335,0.074442566,0.072289797,0.070137028,0.067984259,0.066295512,0.064606766,0.062918019,0.061229273,0.059540526,0.058655882,0.057771238,0.056886593,0.056001949,0.055117305,0.054507624,0.053897944,0.053288263,0.052678583,0.052068902,0.051870234,0.051671566,0.051472897,0.051274229,0.051075561,0.050879233,0.050682904,0.050486576,0.050290247,0.050093919,0.049908917,0.049723916,0.049538914,0.049353913,0.049168911,0.048503484,0.047838057,0.047172629,0.046507202,0.045841775,0.045232782,0.044623789,0.044014797,0.043405804,0.042796811,0.042187818,0.041578825,0.040969833,0.04036084,0.039751847
"AFG",0.23997476,0.236831414,0.233688068,0.230544722,0.227401376,0.22425803,0.221639666,0.219021302,0.216402938,0.213784574,0.21116621,0.208838988,0.206511766,0.204184544,0.201857322,0.1995301,0.197260062,0.194990024,0.192719986,0.190449948,0.18817991,0.185755374,0.183330838,0.180906302,0.178481766,0.17605723,0.17327736,0.17049749,0.16771762,0.16493775,0.16215788,0.158766302,0.155374724,0.151983146,0.148591568,0.14519999,0.14244313,0.13968627,0.13692941,0.13417255,0.13141569,0.12990016,0.12838463,0.1268691,0.12535357,0.12383804,0.122148772,0.120459504,0.118770236,0.117080968,0.1153917,0.113452698,0.111513696,0.109574694,0.107635692,0.10569669,0.104322246,0.102947802,0.101573357,0.100198913,0.098824469,0.097450025,0.096075581,0.094701136,0.093326692,0.091952248
"AGO",0.19852997,0.19722347,0.19591697,0.19461047,0.19330397,0.19199747,0.19032414,0.18865081,0.18697748,0.18530415,0.18363082,0.181646658,0.179662496,0.177678334,0.175694172,0.17371001,0.17184264,0.16997527,0.1681079,0.16624053,0.16437316,0.162606376,0.160839592,0.159072808,0.157306024,0.15553924,0.15451951,0.15349978,0.15248005,0.15146032,0.15044059,0.149865766,0.149290942,0.148716118,0.148141294,0.14756647,0.146756032,0.145945594,0.145135156,0.144324718,0.14351428,0.14156134,0.1396084,0.13765546,0.13570252,0.13374958,0.130326214,0.126902848,0.123479482,0.120056116,0.11663275,0.113410718,0.110188686,0.106966654,0.103744622,0.10052259,0.097791316,0.095060043,0.092328769,0.089597496,0.086866222,0.084134948,0.081403675,0.078672401,0.075941128,0.073209854
"ALB",0.085372969,0.082934386,0.080495802,0.078057219,0.075618635,0.073180052,0.069575307,0.065970562,0.062365817,0.058761072,0.055156327,0.055964142,0.056771958,0.057579773,0.058387589,0.059195404,0.05894437,0.058693337,0.058442303,0.05819127,0.057940236,0.056851604,0.055762972,0.054674339,0.053585707,0.052497075,0.051000742,0.049504409,0.048008077,0.046511744,0.045015411,0.043460912,0.041906414,0.040351915,0.038797417,0.037242918,0.037863972,0.038485026,0.039106081,0.039727135,0.040348189,0.040011402,0.039674615,0.039337829,0.039001042,0.038664255,0.037502504,0.036340753,0.035179002,0.034017251,0.0328555,0.03282632,0.032797141,0.032767961,0.032738782,0.032709602,0.032369297,0.032028991,0.031688686,0.03134838,0.031008075,0.03066777,0.030327464,0.029987159,0.029646853,0.029306548
"ARE",0.125808,0.1248566,0.1239052,0.1229538,0.1220024,0.121051,0.1201334,0.1192158,0.1182982,0.1173806,0.116463,0.115585,0.114707,0.113829,0.112951,0.112073,0.1112346,0.1103962,0.1095578,0.1087194,0.107881,0.1070854,0.1062898,0.1054942,0.1046986,0.103903,0.1031518,0.1024006,0.1016494,0.1008982,0.100147,0.0994408,0.0987346,0.0980284,0.0973222,0.096616,0.095956,0.095296,0.094636,0.093976,0.093316,0.0927018,0.0920876,0.0914734,0.0908592,0.090245,0.087818965,0.08539293,0.082966894,0.080540859,0.078114824,0.077549571,0.076984317,0.076419064,0.07585381,0.075288557,0.073988077,0.072687596,0.071387116,0.070086635,0.068786155,0.067485675,0.066185194,0.064884714,0.063584233,0.062283753
"ARG",0.09272,0.09059,0.08846,0.08633,0.0842,0.08207,0.080736,0.079402,0.078068,0.076734,0.0754,0.07428,0.07316,0.07204,0.07092,0.0698,0.068902,0.068004,0.067106,0.066208,0.06531,0.064436,0.063562,0.062688,0.061814,0.06094,0.059958,0.058976,0.057994,0.057012,0.05603,0.055624,0.055218,0.054812,0.054406,0.054,0.053332,0.052664,0.051996,0.051328,0.05066,0.050414,0.050168,0.049922,0.049676,0.04943,0.04907,0.04871,0.04835,0.04799,0.04763,0.047032281,0.046434563,0.045836844,0.045239126,0.044641407,0.044023327,0.043405246,0.042787166,0.042169085,0.041551005,0.040932925,0.040314844,0.039696764,0.039078683,0.038460603
"ARM",0.095226756,0.093131644,0.091036531,0.088941419,0.086846306,0.084751194,0.08271763,0.080684065,0.078650501,0.076616936,0.074583372,0.072689068,0.070794764,0.068900461,0.067006157,0.065111853,0.063981062,0.062850271,0.06171948,0.060588689,0.059457898,0.059927019,0.060396141,0.060865262,0.061334384,0.061803505,0.061925343,0.062047181,0.062169018,0.062290856,0.062412694,0.066082616,0.069752537,0.073422459,0.07709238,0.080762302,0.080013123,0.079263944,0.078514765,0.077765586,0.077016407,0.07556357,0.074110734,0.072657897,0.071205061,0.069752224,0.067383607,0.065014989,0.062646372,0.060277754,0.057909137,0.057604208,0.057299279,0.056994351,0.056689422,0.056384493,0.056054575,0.055724658,0.05539474,0.055064823,0.054734905,0.054404987,0.05407507,0.053745152,0.053415235,0.053085317
"ATG",0.12292008,0.121114648,0.119309216,0.117503784,0.115698352,0.11389292,0.112134308,0.110375696,0.108617084,0.106858472,0.10509986,0.103400356,0.101700852,0.100001348,0.098301844,0.09660234,0.095028612,0.093454884,0.091881156,0.090307428,0.0887337,0.087279906,0.085826112,0.084372318,0.082918524,0.08146473,0.080121494,0.078778258,0.077435022,0.076091786,0.07474855,0.073510878,0.072273206,0.071035534,0.069797862,0.06856019,0.067418248,0.066276306,0.065134364,0.063992422,0.06285048,0.06179687,0.06074326,0.05968965,0.05863604,0.05758243,0.056613112,0.055643794,0.054674476,0.053705158,0.05273584,0.051844566,0.050953292,0.050062018,0.049170744,0.04827947,0.047603034,0.046926597,0.046250161,0.045573724,0.044897288,0.044220852,0.043544415,0.042867979,0.042191542,0.041515106
"AUS",0.073847364,0.072517983,0.071188603,0.069859222,0.068529842,0.067200461,0.066991259,0.066782056,0.066572854,0.066363651,0.066154449,0.066115582,0.066076715,0.066037848,0.065998981,0.065960114,0.064920556,0.063880998,0.062841441,0.061801883,0.060762325,0.059290252,0.057818179,0.056346105,0.054874032,0.053401959,0.052248837,0.051095715,0.049942593,0.048789471,0.047636349,0.046629103,0.045621858,0.044614612,0.043607367,0.042600121,0.041543513,0.040486904,0.039430296,0.038373687,0.037317079,0.036393911,0.035470744,0.034547576,0.033624409,0.032701241,0.031869995,0.031038748,0.030207502,0.029376255,0.028545009,0.027939588,0.027334168,0.026728747,0.026123327,0.025517906,0.025057593,0.024597279,0.024136966,0.023676652,0.023216339,0.022756026,0.022295712,0.021835399,0.021375085,0.020914772
"AUT",0.076665802,0.075358865,0.074051927,0.07274499,0.071438052,0.070131115,0.069148677,0.068166239,0.067183802,0.066201364,0.065218926,0.065033238,0.064847551,0.064661863,0.064476176,0.064290488,0.063265061,0.062239634,0.061214208,0.060188781,0.059163354,0.058008414,0.056853473,0.055698533,0.054543592,0.053388652,0.052809096,0.05222954,0.051649985,0.051070429,0.050490873,0.049030599,0.047570326,0.046110052,0.044649779,0.043189505,0.042281135,0.041372765,0.040464396,0.039556026,0.038647656,0.037803763,0.03695987,0.036115977,0.035272084,0.034428191,0.033660352,0.032892513,0.032124674,0.031356835,0.030588996,0.030355546,0.030122096,0.029888647,0.029655197,0.029421747,0.029455957,0.029490166,0.029524376,0.029558585,0.029592795,0.029627005,0.029661214,0.029695424,0.029729633,0.029763843
