"male_35.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.024693373,0.023472682,0.022251991,0.021031301,0.01981061,0.018589919,0.018058583,0.017527247,0.016995911,0.016464575,0.015933239,0.015479998,0.015026756,0.014573515,0.014120273,0.013667032,0.013367349,0.013067665,0.012767982,0.012468298,0.012168615,0.011826628,0.011484641,0.011142654,0.010800667,0.01045868,0.01004442,0.009630159,0.009215899,0.008801639,0.008387379,0.008320068,0.008252758,0.008185447,0.008118137,0.008050827,0.007984669,0.007918511,0.007852354,0.007786196,0.007720038,0.007698269,0.007676499,0.00765473,0.00763296,0.007611191,0.007543502,0.007475814,0.007408125,0.007340437,0.007272748,0.007134295,0.006995841,0.006857388,0.006718935,0.006580481,0.006457135,0.006333789,0.006210443,0.006087097,0.00596375,0.005840404,0.005717058,0.005593712,0.005470366,0.00534702
"AFG",0.09712226,0.095451812,0.093781364,0.092110915,0.090440467,0.088770019,0.087376135,0.085982252,0.084588368,0.083194485,0.081800601,0.080539164,0.079277727,0.07801629,0.076754853,0.075493416,0.074280983,0.07306855,0.071856116,0.070643683,0.06943125,0.068140205,0.066849161,0.065558116,0.064267072,0.062976027,0.061489702,0.060003377,0.058517053,0.057030728,0.055544403,0.053879458,0.052214512,0.050549567,0.048884621,0.047219676,0.045681708,0.04414374,0.042605773,0.041067805,0.039529837,0.038646748,0.037763659,0.03688057,0.035997481,0.035114392,0.034145773,0.033177155,0.032208536,0.031239918,0.030271299,0.029223008,0.028174717,0.027126427,0.026078136,0.025029845,0.02433047,0.023631095,0.022931721,0.022232346,0.021532971,0.020833596,0.020134221,0.019434847,0.018735472,0.018036097
"AGO",0.078701306,0.078127134,0.077552962,0.076978789,0.076404617,0.075830445,0.075081041,0.074331637,0.073582232,0.072832828,0.072083424,0.071183922,0.07028442,0.069384919,0.068485417,0.067585915,0.066693972,0.065802029,0.064910087,0.064018144,0.063126201,0.062325951,0.061525701,0.060725451,0.059925201,0.059124951,0.058881,0.058637049,0.058393098,0.058149147,0.057905196,0.057704964,0.057504732,0.0573045,0.057104268,0.056904036,0.056706547,0.056509059,0.05631157,0.056114082,0.055916593,0.054967936,0.05401928,0.053070623,0.052121967,0.05117331,0.04955952,0.04794573,0.04633194,0.04471815,0.04310436,0.041456297,0.039808233,0.03816017,0.036512106,0.034864043,0.033629994,0.032395945,0.031161896,0.029927847,0.028693798,0.027459749,0.0262257,0.024991651,0.023757602,0.022523553
"ALB",0.02228946,0.021208016,0.020126572,0.019045127,0.017963683,0.016882239,0.015769681,0.014657122,0.013544564,0.012432005,0.011319447,0.011390158,0.011460869,0.011531581,0.011602292,0.011673003,0.011832567,0.011992131,0.012151694,0.012311258,0.012470822,0.012081412,0.011692002,0.011302591,0.010913181,0.010523771,0.010326931,0.010130091,0.009933251,0.009736411,0.00953957,0.009538585,0.0095376,0.009536614,0.009535629,0.009534644,0.009789315,0.010043986,0.010298657,0.010553329,0.010808,0.010541151,0.010274301,0.010007452,0.009740602,0.009473753,0.009272016,0.009070278,0.008868541,0.008666804,0.008465067,0.008021864,0.007578661,0.007135458,0.006692255,0.006249053,0.00604305,0.005837047,0.005631044,0.005425042,0.005219039,0.005013036,0.004807033,0.004601031,0.004395028,0.004189025
"ARE",0.044378,0.0422838,0.0401896,0.0380954,0.0360012,0.033907,0.03231,0.030713,0.029116,0.027519,0.025922,0.0247192,0.0235164,0.0223136,0.0211108,0.019908,0.0190096,0.0181112,0.0172128,0.0163144,0.015416,0.0147498,0.0140836,0.0134174,0.0127512,0.012085,0.0115912,0.0110974,0.0106036,0.0101098,0.009616,0.009254,0.008892,0.00853,0.008168,0.007806,0.0075388,0.0072716,0.0070044,0.0067372,0.00647,0.0062692,0.0060684,0.0058676,0.0056668,0.005466,0.0053286,0.0051912,0.0050538,0.0049164,0.004779,0.0046884,0.0045978,0.0045072,0.0044166,0.004326,0.004249329,0.004172659,0.004095988,0.004019318,0.003942647,0.003865977,0.003789306,0.003712636,0.003635965,0.003559295
"ARG",0.02156,0.02092,0.02028,0.01964,0.019,0.01836,0.01814,0.01792,0.0177,0.01748,0.01726,0.017574,0.017888,0.018202,0.018516,0.01883,0.018518,0.018206,0.017894,0.017582,0.01727,0.016966,0.016662,0.016358,0.016054,0.01575,0.01541,0.01507,0.01473,0.01439,0.01405,0.013932,0.013814,0.013696,0.013578,0.01346,0.013294,0.013128,0.012962,0.012796,0.01263,0.012722,0.012814,0.012906,0.012998,0.01309,0.013,0.01291,0.01282,0.01273,0.01264,0.012415843,0.012191686,0.01196753,0.011743373,0.011519216,0.011372396,0.011225576,0.011078756,0.010931936,0.010785116,0.010638296,0.010491476,0.010344656,0.010197836,0.010051016
"ARM",0.023969868,0.023163799,0.02235773,0.021551662,0.020745593,0.019939524,0.019230751,0.018521978,0.017813204,0.017104431,0.016395658,0.015878189,0.015360719,0.01484325,0.01432578,0.013808311,0.013483814,0.013159317,0.012834819,0.012510322,0.012185825,0.012334296,0.012482767,0.012631237,0.012779708,0.012928179,0.012903975,0.012879772,0.012855568,0.012831365,0.012807161,0.013427623,0.014048085,0.014668547,0.015289009,0.015909471,0.016797708,0.017685946,0.018574183,0.019462421,0.020350658,0.019588403,0.018826148,0.018063893,0.017301638,0.016539383,0.015793242,0.0150471,0.014300959,0.013554817,0.012808676,0.012799755,0.012790835,0.012781914,0.012772994,0.012764073,0.012505059,0.012246046,0.011987032,0.011728019,0.011469005,0.011209991,0.010950978,0.010691964,0.010432951,0.010173937
"ATG",0.02575334,0.025197608,0.024641876,0.024086144,0.023530412,0.02297468,0.022622062,0.022269444,0.021916826,0.021564208,0.02121159,0.021024452,0.020837314,0.020650176,0.020463038,0.0202759,0.020097156,0.019918412,0.019739668,0.019560924,0.01938218,0.019211844,0.019041508,0.018871172,0.018700836,0.0185305,0.018367196,0.018203892,0.018040588,0.017877284,0.01771398,0.017557084,0.017400188,0.017243292,0.017086396,0.0169295,0.01677983,0.01663016,0.01648049,0.01633082,0.01618115,0.016038686,0.015896222,0.015753758,0.015611294,0.01546883,0.015332578,0.015196326,0.015060074,0.014923822,0.01478757,0.01465753,0.01452749,0.01439745,0.01426741,0.01413737,0.013961034,0.013784698,0.013608362,0.013432026,0.01325569,0.013079354,0.012903018,0.012726682,0.012550346,0.01237401
"AUS",0.012471435,0.012302405,0.012133375,0.011964345,0.011795315,0.011626285,0.011630399,0.011634513,0.011638626,0.01164274,0.011646854,0.011682313,0.011717772,0.01175323,0.011788689,0.011824148,0.011607595,0.011391042,0.011174489,0.010957936,0.010741383,0.010465888,0.010190393,0.009914898,0.009639403,0.009363908,0.009015735,0.008667563,0.008319391,0.007971219,0.007623046,0.00760689,0.007590733,0.007574576,0.00755842,0.007542263,0.007571014,0.007599764,0.007628515,0.007657265,0.007686015,0.007647279,0.007608544,0.007569808,0.007531072,0.007492336,0.007296756,0.007101177,0.006905597,0.006710017,0.006514438,0.006434903,0.006355368,0.006275832,0.006196297,0.006116762,0.006025059,0.005933355,0.005841652,0.005749949,0.005658245,0.005566542,0.005474839,0.005383135,0.005291432,0.005199728
"AUT",0.014109079,0.0140075,0.013905921,0.013804341,0.013702762,0.013601183,0.013545808,0.013490432,0.013435057,0.013379681,0.013324306,0.013500149,0.013675993,0.013851836,0.01402768,0.014203523,0.01414086,0.014078197,0.014015535,0.013952872,0.013890209,0.013551215,0.013212221,0.012873226,0.012534232,0.012195238,0.012159568,0.012123899,0.012088229,0.01205256,0.01201689,0.01162899,0.01124109,0.010853191,0.010465291,0.010077391,0.009912741,0.009748091,0.009583442,0.009418792,0.009254142,0.00900435,0.008754557,0.008504765,0.008254972,0.00800518,0.007686315,0.007367451,0.007048586,0.006729722,0.006410857,0.006220001,0.006029144,0.005838288,0.005647431,0.005456575,0.00530446,0.005152345,0.00500023,0.004848115,0.004696,0.004543885,0.00439177,0.004239655,0.00408754,0.003935425
