"female_25.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.017098256,0.016151914,0.015205572,0.01425923,0.013312888,0.012366546,0.011766969,0.011167391,0.010567814,0.009968237,0.00936866,0.009007569,0.008646478,0.008285388,0.007924297,0.007563207,0.007102254,0.006641301,0.006180348,0.005719395,0.005258442,0.005054151,0.00484986,0.004645569,0.004441279,0.004236988,0.004143684,0.004050379,0.003957075,0.003863771,0.003770466,0.003722488,0.00367451,0.003626533,0.003578555,0.003530577,0.00351505,0.003499523,0.003483996,0.003468469,0.003452942,0.00343765,0.003422358,0.003407066,0.003391775,0.003376483,0.003362122,0.00334776,0.003333399,0.003319038,0.003304677,0.003253416,0.003202155,0.003150894,0.003099633,0.003048372,0.003005488,0.002962603,0.002919719,0.002876835,0.00283395,0.002791066,0.002748181,0.002705297,0.002662413,0.002619528
"AFG",0.072847343,0.071578529,0.070309715,0.069040902,0.067772088,0.066503274,0.065446257,0.064389239,0.063332222,0.062275204,0.061218187,0.060278704,0.059339221,0.058399738,0.057460255,0.056520772,0.055604699,0.054688627,0.053772554,0.052856482,0.051940409,0.050961638,0.049982867,0.049004095,0.048025324,0.047046553,0.045925946,0.044805339,0.043684733,0.042564126,0.041443519,0.040073272,0.038703025,0.037332779,0.035962532,0.034592285,0.033517376,0.032442466,0.031367557,0.030292647,0.029217738,0.028470031,0.027722324,0.026974618,0.026226911,0.025479204,0.024702039,0.023924873,0.023147708,0.022370542,0.021593377,0.020770116,0.019946856,0.019123595,0.018300335,0.017477074,0.016928883,0.016380691,0.0158325,0.015284308,0.014736117,0.014187926,0.013639734,0.013091543,0.012543351,0.01199516
"AGO",0.057097997,0.05663835,0.056178704,0.055719057,0.055259411,0.054799764,0.05421351,0.053627255,0.053041001,0.052454746,0.051868492,0.051174281,0.05048007,0.04978586,0.049091649,0.048397438,0.047741742,0.047086046,0.046430351,0.045774655,0.045118959,0.044498724,0.043878489,0.043258255,0.04263802,0.042017785,0.041661389,0.041304993,0.040948597,0.040592201,0.040235805,0.040032858,0.039829911,0.039626964,0.039424017,0.03922107,0.03893748,0.038653891,0.038370301,0.038086712,0.037803122,0.037126513,0.036449905,0.035773296,0.035096688,0.034420079,0.033102588,0.031785098,0.030467607,0.029150117,0.027832626,0.026542373,0.025252119,0.023961866,0.022671612,0.021381359,0.020390355,0.01939935,0.018408346,0.017417341,0.016426337,0.015435333,0.014444328,0.013453324,0.012462319,0.011471315
"ALB",0.018946675,0.018065814,0.017184952,0.016304091,0.015423229,0.014542368,0.013423664,0.012304959,0.011186255,0.010067551,0.008948846,0.008969517,0.008990187,0.009010857,0.009031527,0.009052197,0.00881839,0.008584584,0.008350778,0.008116971,0.007883165,0.007613998,0.007344831,0.007075664,0.006806497,0.006537331,0.006252607,0.005967883,0.00568316,0.005398436,0.005113713,0.004862326,0.004610939,0.004359553,0.004108166,0.003856779,0.003937527,0.004018275,0.004099023,0.004179772,0.00426052,0.00415829,0.00405606,0.003953831,0.003851601,0.003749371,0.00360859,0.003467809,0.003327027,0.003186246,0.003045465,0.003025524,0.003005583,0.002985642,0.002965701,0.002945761,0.002826073,0.002706385,0.002586697,0.002467009,0.002347322,0.002227634,0.002107946,0.001988258,0.00186857,0.001748883
"ARE",0.031258,0.0295254,0.0277928,0.0260602,0.0243276,0.022595,0.0213446,0.0200942,0.0188438,0.0175934,0.016343,0.0154506,0.0145582,0.0136658,0.0127734,0.011881,0.0112464,0.0106118,0.0099772,0.0093426,0.008708,0.0082584,0.0078088,0.0073592,0.0069096,0.00646,0.0061426,0.0058252,0.0055078,0.0051904,0.004873,0.004647,0.004421,0.004195,0.003969,0.003743,0.0035816,0.0034202,0.0032588,0.0030974,0.002936,0.0028112,0.0026864,0.0025616,0.0024368,0.002312,0.002211278,0.002110556,0.002009834,0.001909112,0.00180839,0.001731511,0.001654633,0.001577754,0.001500875,0.001423996,0.00140048,0.001376964,0.001353448,0.001329932,0.001306416,0.0012829,0.001259384,0.001235868,0.001212352,0.001188836
"ARG",0.01272,0.012206,0.011692,0.011178,0.010664,0.01015,0.009654,0.009158,0.008662,0.008166,0.00767,0.007592,0.007514,0.007436,0.007358,0.00728,0.007108,0.006936,0.006764,0.006592,0.00642,0.006252,0.006084,0.005916,0.005748,0.00558,0.005412,0.005244,0.005076,0.004908,0.00474,0.004678,0.004616,0.004554,0.004492,0.00443,0.004318,0.004206,0.004094,0.003982,0.00387,0.003788,0.003706,0.003624,0.003542,0.00346,0.003422,0.003384,0.003346,0.003308,0.00327,0.003254126,0.003238253,0.003222379,0.003206506,0.003190632,0.003144851,0.003099069,0.003053288,0.003007507,0.002961725,0.002915944,0.002870163,0.002824381,0.0027786,0.002732819
"ARM",0.008311106,0.007929042,0.007546979,0.007164915,0.006782852,0.006400788,0.006084375,0.005767962,0.005451548,0.005135135,0.004818722,0.004623688,0.004428653,0.004233619,0.004038585,0.003843551,0.003729505,0.00361546,0.003501415,0.003387369,0.003273324,0.003302755,0.003332187,0.003361618,0.003391049,0.003420481,0.003417346,0.00341421,0.003411075,0.00340794,0.003404805,0.003819308,0.004233811,0.004648314,0.005062817,0.00547732,0.005325108,0.005172895,0.005020682,0.004868469,0.004716257,0.004546762,0.004377268,0.004207774,0.004038279,0.003868785,0.003670942,0.003473099,0.003275256,0.003077414,0.002879571,0.002722247,0.002564923,0.002407599,0.002250274,0.00209295,0.001994865,0.001896779,0.001798694,0.001700608,0.001602522,0.001504437,0.001406351,0.001308266,0.00121018,0.001112095
"ATG",0.01500534,0.014688232,0.014371124,0.014054016,0.013736908,0.0134198,0.01312381,0.01282782,0.01253183,0.01223584,0.01193985,0.011667494,0.011395138,0.011122782,0.010850426,0.01057807,0.010337834,0.010097598,0.009857362,0.009617126,0.00937689,0.00916414,0.00895139,0.00873864,0.00852589,0.00831314,0.008124864,0.007936588,0.007748312,0.007560036,0.00737176,0.007204774,0.007037788,0.006870802,0.006703816,0.00653683,0.006389498,0.006242166,0.006094834,0.005947502,0.00580017,0.005669868,0.005539566,0.005409264,0.005278962,0.00514866,0.005034004,0.004919348,0.004804692,0.004690036,0.00457538,0.004473552,0.004371724,0.004269896,0.004168068,0.00406624,0.00401208,0.003957921,0.003903761,0.003849601,0.003795442,0.003741282,0.003687123,0.003632963,0.003578803,0.003524644
"AUS",0.004724214,0.004512074,0.004299934,0.004087794,0.003875654,0.003663514,0.003645601,0.003627688,0.003609775,0.003591861,0.003573948,0.003543044,0.00351214,0.003481236,0.003450332,0.003419428,0.003337664,0.003255901,0.003174137,0.003092374,0.00301061,0.002917853,0.002825096,0.002732339,0.002639581,0.002546824,0.002542827,0.002538829,0.002534832,0.002530834,0.002526837,0.002498912,0.002470987,0.002443062,0.002415137,0.002387212,0.002338315,0.002289417,0.002240519,0.002191622,0.002142724,0.002144719,0.002146715,0.00214871,0.002150706,0.002152701,0.00209482,0.002036939,0.001979058,0.001921177,0.001863296,0.001826367,0.001789438,0.001752509,0.00171558,0.001678651,0.001649758,0.001620865,0.001591972,0.001563078,0.001534185,0.001505292,0.001476399,0.001447505,0.001418612,0.001389719
"AUT",0.006131207,0.005921487,0.005711767,0.005502046,0.005292326,0.005082606,0.004810769,0.004538932,0.004267094,0.003995257,0.00372342,0.003628748,0.003534075,0.003439403,0.00334473,0.003250058,0.003229079,0.0032081,0.003187121,0.003166142,0.003145163,0.003078381,0.003011598,0.002944816,0.002878033,0.002811251,0.002768355,0.00272546,0.002682564,0.002639669,0.002596773,0.00249401,0.002391247,0.002288483,0.00218572,0.002082957,0.002062007,0.002041056,0.002020106,0.001999155,0.001978205,0.001907308,0.001836411,0.001765513,0.001694616,0.001623719,0.001589768,0.001555817,0.001521865,0.001487914,0.001453963,0.001427996,0.001402029,0.001376061,0.001350094,0.001324127,0.001320138,0.001316148,0.001312159,0.001308169,0.00130418,0.00130019,0.001296201,0.001292212,0.001288222,0.001284233
