"male_80.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.56243647,0.559297182,0.556157894,0.553018606,0.549879318,0.54674003,0.54526003,0.54378003,0.54230003,0.54082003,0.53934003,0.53769766,0.53605529,0.53441292,0.53277055,0.53112818,0.529874692,0.528621204,0.527367716,0.526114228,0.52486074,0.523182124,0.521503508,0.519824892,0.518146276,0.51646766,0.513847558,0.511227456,0.508607354,0.505987252,0.50336715,0.502799206,0.502231262,0.501663318,0.501095374,0.50052743,0.499947334,0.499367238,0.498787142,0.498207046,0.49762695,0.49743102,0.49723509,0.49703916,0.49684323,0.4966473,0.49602106,0.49539482,0.49476858,0.49414234,0.4935161,0.49214639,0.49077668,0.48940697,0.48803726,0.48666755,0.484792068,0.482916586,0.481041104,0.479165622,0.47729014,0.475414658,0.473539176,0.471663694,0.469788212,0.46791273
"AFG",0.72760036,0.72369422,0.71978808,0.71588194,0.7119758,0.70806966,0.704786318,0.701502976,0.698219634,0.694936292,0.69165295,0.688674816,0.685696682,0.682718548,0.679740414,0.67676228,0.673913026,0.671063772,0.668214518,0.665365264,0.66251601,0.65945096,0.65638591,0.65332086,0.65025581,0.64719076,0.643686014,0.640181268,0.636676522,0.633171776,0.62966703,0.625788866,0.621910702,0.618032538,0.614154374,0.61027621,0.607264724,0.604253238,0.601241752,0.598230266,0.59521878,0.593418604,0.591618428,0.589818252,0.588018076,0.5862179,0.584094626,0.581971352,0.579848078,0.577724804,0.57560153,0.573135156,0.570668782,0.568202408,0.565736034,0.56326966,0.561519568,0.559769476,0.558019384,0.556269292,0.5545192,0.552769108,0.551019016,0.549268924,0.547518832,0.54576874
"AGO",0.74465262,0.742225244,0.739797868,0.737370492,0.734943116,0.73251574,0.729204914,0.725894088,0.722583262,0.719272436,0.71596161,0.711984446,0.708007282,0.704030118,0.700052954,0.69607579,0.6920563,0.68803681,0.68401732,0.67999783,0.67597834,0.672302446,0.668626552,0.664950658,0.661274764,0.65759887,0.65647008,0.65534129,0.6542125,0.65308371,0.65195492,0.651011844,0.650068768,0.649125692,0.648182616,0.64723954,0.646294314,0.645349088,0.644403862,0.643458636,0.64251341,0.638068024,0.633622638,0.629177252,0.624731866,0.62028648,0.61289651,0.60550654,0.59811657,0.5907266,0.58333663,0.576527568,0.569718506,0.562909444,0.556100382,0.54929132,0.54359484,0.53789836,0.53220188,0.5265054,0.52080892,0.51511244,0.50941596,0.50371948,0.498023,0.49232652
"ALB",0.47407532,0.468221706,0.462368092,0.456514478,0.450660864,0.44480725,0.438766428,0.432725606,0.426684784,0.420643962,0.41460314,0.423699592,0.432796044,0.441892496,0.450988948,0.4600854,0.46947456,0.47886372,0.48825288,0.49764204,0.5070312,0.506091626,0.505152052,0.504212478,0.503272904,0.50233333,0.504579362,0.506825394,0.509071426,0.511317458,0.51356349,0.51206168,0.51055987,0.50905806,0.50755625,0.50605444,0.512516532,0.518978624,0.525440716,0.531902808,0.5383649,0.536788774,0.535212648,0.533636522,0.532060396,0.53048427,0.522019696,0.513555122,0.505090548,0.496625974,0.4881614,0.48985407,0.49154674,0.49323941,0.49493208,0.49662475,0.482083202,0.467541654,0.453000106,0.438458558,0.42391701,0.409375462,0.394833914,0.380292366,0.365750818,0.35120927
"ARE",0.660983,0.656802,0.652621,0.64844,0.644259,0.640078,0.6357938,0.6315096,0.6272254,0.6229412,0.618657,0.6142908,0.6099246,0.6055584,0.6011922,0.596826,0.5924034,0.5879808,0.5835582,0.5791356,0.574713,0.5702626,0.5658122,0.5613618,0.5569114,0.552461,0.548013,0.543565,0.539117,0.534669,0.530221,0.5258086,0.5213962,0.5169838,0.5125714,0.508159,0.5038146,0.4994702,0.4951258,0.4907814,0.486437,0.482178,0.477919,0.47366,0.469401,0.465142,0.4609884,0.4568348,0.4526812,0.4485276,0.444374,0.4403462,0.4363184,0.4322906,0.4282628,0.424235,0.419680196,0.415125392,0.410570588,0.406015784,0.40146098,0.396906176,0.392351372,0.387796568,0.383241764,0.37868696
"ARG",0.54366118,0.540253184,0.536845188,0.533437192,0.530029196,0.5266212,0.53602961,0.54543802,0.55484643,0.56425484,0.57366325,0.572700418,0.571737586,0.570774754,0.569811922,0.56884909,0.56734132,0.56583355,0.56432578,0.56281801,0.56131024,0.559863038,0.558415836,0.556968634,0.555521432,0.55407423,0.549979738,0.545885246,0.541790754,0.537696262,0.53360177,0.529652544,0.525703318,0.521754092,0.517804866,0.51385564,0.508989796,0.504123952,0.499258108,0.494392264,0.48952642,0.485450884,0.481375348,0.477299812,0.473224276,0.46914874,0.465757666,0.462366592,0.458975518,0.455584444,0.45219337,0.447345236,0.442497102,0.437648968,0.432800834,0.4279527,0.424151122,0.420349544,0.416547966,0.412746388,0.40894481,0.405143232,0.401341654,0.397540076,0.393738498,0.38993692
"ARM",0.50026271,0.495281126,0.490299542,0.485317958,0.480336374,0.47535479,0.470220774,0.465086758,0.459952742,0.454818726,0.44968471,0.442380288,0.435075866,0.427771444,0.420467022,0.4131626,0.40838485,0.4036071,0.39882935,0.3940516,0.38927385,0.39235754,0.39544123,0.39852492,0.40160861,0.4046923,0.405017746,0.405343192,0.405668638,0.405994084,0.40631953,0.415656552,0.424993574,0.434330596,0.443667618,0.45300464,0.45723591,0.46146718,0.46569845,0.46992972,0.47416099,0.471763146,0.469365302,0.466967458,0.464569614,0.46217177,0.459065682,0.455959594,0.452853506,0.449747418,0.44664133,0.444596542,0.442551754,0.440506966,0.438462178,0.43641739,0.43640412,0.43639085,0.43637758,0.43636431,0.43635104,0.43633777,0.4363245,0.43631123,0.43629796,0.43628469
"ATG",0.66872288,0.666571114,0.664419348,0.662267582,0.660115816,0.65796405,0.654984732,0.652005414,0.649026096,0.646046778,0.64306746,0.639079066,0.635090672,0.631102278,0.627113884,0.62312549,0.618853542,0.614581594,0.610309646,0.606037698,0.60176575,0.597314818,0.592863886,0.588412954,0.583962022,0.57951109,0.574965144,0.570419198,0.565873252,0.561327306,0.55678136,0.552130988,0.547480616,0.542830244,0.538179872,0.5335295,0.528588594,0.523647688,0.518706782,0.513765876,0.50882497,0.503884106,0.498943242,0.494002378,0.489061514,0.48412065,0.47906195,0.47400325,0.46894455,0.46388585,0.45882715,0.45379004,0.44875293,0.44371582,0.43867871,0.4336416,0.430714986,0.427788372,0.424861758,0.421935144,0.41900853,0.416081916,0.413155302,0.410228688,0.407302074,0.40437546
"AUS",0.52346013,0.521732528,0.520004926,0.518277324,0.516549722,0.51482212,0.514147678,0.513473236,0.512798794,0.512124352,0.51144991,0.513266628,0.515083346,0.516900064,0.518716782,0.5205335,0.519148994,0.517764488,0.516379982,0.514995476,0.51361097,0.507664752,0.501718534,0.495772316,0.489826098,0.48387988,0.479981538,0.476083196,0.472184854,0.468286512,0.46438817,0.46035048,0.45631279,0.4522751,0.44823741,0.44419972,0.438291066,0.432382412,0.426473758,0.420565104,0.41465645,0.408668984,0.402681518,0.396694052,0.390706586,0.38471912,0.376087122,0.367455124,0.358823126,0.350191128,0.34155913,0.33561706,0.32967499,0.32373292,0.31779085,0.31184878,0.306944034,0.302039288,0.297134542,0.292229796,0.28732505,0.282420304,0.277515558,0.272610812,0.267706066,0.26280132
"AUT",0.57383466,0.571627538,0.569420416,0.567213294,0.565006172,0.56279905,0.561098314,0.559397578,0.557696842,0.555996106,0.55429537,0.555283592,0.556271814,0.557260036,0.558248258,0.55923648,0.557740456,0.556244432,0.554748408,0.553252384,0.55175636,0.550856402,0.549956444,0.549056486,0.548156528,0.54725657,0.54448841,0.54172025,0.53895209,0.53618393,0.53341577,0.524456696,0.515497622,0.506538548,0.497579474,0.4886204,0.481210184,0.473799968,0.466389752,0.458979536,0.45156932,0.445263744,0.438958168,0.432652592,0.426347016,0.42004144,0.412220658,0.404399876,0.396579094,0.388758312,0.38093753,0.374820622,0.368703714,0.362586806,0.356469898,0.35035299,0.344580392,0.338807794,0.333035196,0.327262598,0.32149,0.315717402,0.309944804,0.304172206,0.298399608,0.29262701
