"male_25.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.017658072,0.016748285,0.015838499,0.014928712,0.014018926,0.013109139,0.012714892,0.012320645,0.011926398,0.011532151,0.011137904,0.010807307,0.01047671,0.010146113,0.009815516,0.009484919,0.009268016,0.009051112,0.008834209,0.008617306,0.008400403,0.008154035,0.007907668,0.007661301,0.007414933,0.007168566,0.00687318,0.006577795,0.006282409,0.005987023,0.005691638,0.005644108,0.005596579,0.00554905,0.005501521,0.005453992,0.005407359,0.005360726,0.005314094,0.005267461,0.005220828,0.005205501,0.005190175,0.005174849,0.005159522,0.005144196,0.005096601,0.005049006,0.005001411,0.004953816,0.004906221,0.004809165,0.004712108,0.004615052,0.004517995,0.004420939,0.00433548,0.004250021,0.004164562,0.004079103,0.003993644,0.003908185,0.003822726,0.003737267,0.003651808,0.003566349
"AFG",0.071964879,0.070713354,0.069461828,0.068210303,0.066958777,0.065707252,0.064662664,0.063618076,0.062573488,0.0615289,0.060484312,0.059539154,0.058593996,0.057648837,0.056703679,0.055758521,0.054849875,0.053941229,0.053032582,0.052123936,0.05121529,0.050248337,0.049281385,0.048314432,0.04734748,0.046380527,0.045267423,0.044154319,0.043041214,0.04192811,0.040815006,0.039574039,0.038333073,0.037092106,0.03585114,0.034610173,0.033448977,0.032287781,0.031126585,0.029965389,0.028804193,0.028137851,0.027471509,0.026805168,0.026138826,0.025472484,0.024744466,0.024016447,0.023288429,0.02256041,0.021832392,0.021047704,0.020263015,0.019478327,0.018693638,0.01790895,0.017387205,0.01686546,0.016343716,0.015821971,0.015300226,0.014778481,0.014256736,0.013734992,0.013213247,0.012691502
"AGO",0.064883285,0.064418114,0.063952943,0.063487771,0.0630226,0.062557429,0.061950001,0.061342573,0.060735146,0.060127718,0.05952029,0.058790569,0.058060847,0.057331126,0.056601404,0.055871683,0.055148481,0.05442528,0.053702078,0.052978877,0.052255675,0.051606887,0.050958098,0.05030931,0.049660521,0.049011733,0.048813953,0.048616172,0.048418392,0.048220611,0.048022831,0.047860443,0.047698054,0.047535666,0.047373277,0.047210889,0.047050678,0.046890467,0.046730257,0.046570046,0.046409835,0.045641385,0.044872935,0.044104485,0.043336035,0.042567585,0.041244416,0.039921248,0.038598079,0.037274911,0.035951742,0.034565792,0.033179842,0.031793893,0.030407943,0.029021993,0.0279925,0.026963007,0.025933514,0.024904021,0.023874528,0.022845035,0.021815542,0.020786049,0.019756556,0.018727063
"ALB",0.017584584,0.016788261,0.015991938,0.015195616,0.014399293,0.01360297,0.012793737,0.011984503,0.01117527,0.010366036,0.009556803,0.009654418,0.009752033,0.009849649,0.009947264,0.010044879,0.010210989,0.0103771,0.01054321,0.010709321,0.010875431,0.010540828,0.010206225,0.009871621,0.009537018,0.009202415,0.009088447,0.008974479,0.008860512,0.008746544,0.008632576,0.008667156,0.008701736,0.008736316,0.008770897,0.008805477,0.009051423,0.009297369,0.009543315,0.009789262,0.010035208,0.009760017,0.009484827,0.009209636,0.008934446,0.008659255,0.008474569,0.008289883,0.008105197,0.007920511,0.007735825,0.007280912,0.006825998,0.006371084,0.00591617,0.005461257,0.005133922,0.004806588,0.004479254,0.004151919,0.003824585,0.003497251,0.003169916,0.002842582,0.002515248,0.002187913
"ARE",0.037602,0.035437,0.033272,0.031107,0.028942,0.026777,0.0252478,0.0237186,0.0221894,0.0206602,0.019131,0.0180688,0.0170066,0.0159444,0.0148822,0.01382,0.0130896,0.0123592,0.0116288,0.0108984,0.010168,0.0096696,0.0091712,0.0086728,0.0081744,0.007676,0.0073392,0.0070024,0.0066656,0.0063288,0.005992,0.0057662,0.0055404,0.0053146,0.0050888,0.004863,0.0047166,0.0045702,0.0044238,0.0042774,0.004131,0.0040384,0.0039458,0.0038532,0.0037606,0.003668,0.0036182,0.0035684,0.0035186,0.0034688,0.003419,0.003394,0.003369,0.003344,0.003319,0.003294,0.003234285,0.003174569,0.003114854,0.003055139,0.002995424,0.002935708,0.002875993,0.002816278,0.002756562,0.002696847
"ARG",0.01406,0.013666,0.013272,0.012878,0.012484,0.01209,0.01186,0.01163,0.0114,0.01117,0.01094,0.010892,0.010844,0.010796,0.010748,0.0107,0.010526,0.010352,0.010178,0.010004,0.00983,0.009658,0.009486,0.009314,0.009142,0.00897,0.008822,0.008674,0.008526,0.008378,0.00823,0.008194,0.008158,0.008122,0.008086,0.00805,0.00803,0.00801,0.00799,0.00797,0.00795,0.008096,0.008242,0.008388,0.008534,0.00868,0.008608,0.008536,0.008464,0.008392,0.00832,0.008289013,0.008258025,0.008227038,0.00819605,0.008165063,0.008060801,0.007956538,0.007852276,0.007748014,0.007643751,0.007539489,0.007435227,0.007330964,0.007226702,0.00712244
"ARM",0.012839632,0.012351682,0.011863732,0.011375783,0.010887833,0.010399883,0.009982708,0.009565533,0.009148358,0.008731184,0.008314009,0.008020859,0.007727709,0.007434558,0.007141408,0.006848258,0.006666067,0.006483876,0.006301685,0.006119493,0.005937302,0.006014144,0.006090986,0.006167827,0.006244669,0.006321511,0.006303224,0.006284936,0.006266649,0.006248362,0.006230075,0.006575204,0.006920332,0.00726546,0.007610589,0.007955717,0.00836489,0.008774063,0.009183236,0.009592409,0.010001582,0.009614519,0.009227457,0.008840394,0.008453332,0.008066269,0.007689163,0.007312057,0.006934951,0.006557845,0.006180739,0.006057261,0.005933783,0.005810306,0.005686828,0.00556335,0.005477895,0.00539244,0.005306985,0.00522153,0.005136075,0.005050619,0.004965164,0.004879709,0.004794254,0.004708799
"ATG",0.01598282,0.015649126,0.015315432,0.014981738,0.014648044,0.01431435,0.014105666,0.013896982,0.013688298,0.013479614,0.01327093,0.01316514,0.01305935,0.01295356,0.01284777,0.01274198,0.012640208,0.012538436,0.012436664,0.012334892,0.01223312,0.01213635,0.01203958,0.01194281,0.01184604,0.01174927,0.011655338,0.011561406,0.011467474,0.011373542,0.01127961,0.011189694,0.011099778,0.011009862,0.010919946,0.01083003,0.010743928,0.010657826,0.010571724,0.010485622,0.01039952,0.010317602,0.010235684,0.010153766,0.010071848,0.00998993,0.009910662,0.009831394,0.009752126,0.009672858,0.00959359,0.009517518,0.009441446,0.009365374,0.009289302,0.00921323,0.009098206,0.008983182,0.008868158,0.008753134,0.00863811,0.008523086,0.008408062,0.008293038,0.008178014,0.00806299
"AUS",0.008652226,0.008479653,0.00830708,0.008134507,0.007961934,0.007789361,0.007678254,0.007567147,0.007456039,0.007344932,0.007233825,0.007247762,0.0072617,0.007275637,0.007289574,0.007303511,0.007173357,0.007043204,0.00691305,0.006782897,0.006652743,0.006655638,0.006658532,0.006661427,0.006664322,0.006667216,0.006663263,0.00665931,0.006655356,0.006651403,0.006647449,0.006692201,0.006736953,0.006781704,0.006826456,0.006871207,0.00673318,0.006595152,0.006457124,0.006319096,0.006181069,0.006252537,0.006324004,0.006395472,0.00646694,0.006538408,0.006271066,0.006003724,0.005736381,0.005469039,0.005201697,0.004984706,0.004767716,0.004550725,0.004333734,0.004116744,0.004005079,0.003893414,0.00378175,0.003670085,0.003558421,0.003446756,0.003335091,0.003223427,0.003111762,0.003000098
"AUT",0.010188295,0.010430291,0.010672287,0.010914282,0.011156278,0.011398274,0.01094235,0.010486426,0.010030502,0.009574578,0.009118654,0.008977816,0.008836978,0.008696139,0.008555301,0.008414463,0.008450246,0.008486029,0.008521813,0.008557596,0.008593379,0.008450488,0.008307598,0.008164707,0.008021817,0.007878926,0.007847232,0.007815537,0.007783843,0.007752148,0.007720454,0.007468243,0.007216032,0.00696382,0.006711609,0.006459398,0.006366931,0.006274465,0.006181998,0.006089532,0.005997065,0.005769258,0.005541451,0.005313643,0.005085836,0.004858029,0.004785343,0.004712658,0.004639972,0.004567287,0.004494601,0.004298431,0.00410226,0.00390609,0.003709919,0.003513749,0.003456599,0.003399449,0.0033423,0.00328515,0.003228,0.00317085,0.0031137,0.003056551,0.002999401,0.002942251
"AZE",0.013908392,0.013514419,0.013120447,0.012726474,0.012332502,0.011938529,0.011777505,0.01161648,0.011455456,0.011294431,0.011133407,0.010972246,0.010811085,0.010649925,0.010488764,0.010327603,0.010166302,0.010005001,0.0098437,0.009682399,0.009521099,0.009359649,0.0091982,0.009036751,0.008875301,0.008713852,0.008552274,0.008390696,0.008229118,0.00806754,0.007905962,0.007744257,0.007582552,0.007420847,0.007259142,0.007097437,0.008563767,0.010030098,0.011496429,0.012962759,0.01442909,0.013196298,0.011963506,0.010730713,0.009497921,0.008265129,0.008443681,0.008622233,0.008800785,0.008979336,0.009157888,0.008635391,0.008112895,0.007590398,0.007067901,0.006545404,0.006411707,0.006278009,0.006144311,0.006010614,0.005876916,0.005743218,0.005609521,0.005475823,0.005342125,0.005208428
"BDI",0.050594018,0.050096163,0.049598308,0.049100452,0.048602597,0.048104742,0.047626966,0.047149189,0.046671413,0.046193636,0.04571586,0.045260239,0.044804618,0.044348998,0.043893377,0.043437756,0.043229263,0.04302077,0.042812277,0.042603784,0.042395291,0.041782247,0.041169203,0.040556159,0.039943115,0.039330071,0.038961201,0.038592332,0.038223462,0.037854593,0.037485723,0.037192262,0.036898801,0.036605341,0.03631188,0.036018419,0.036469702,0.036920984,0.037372267,0.037823549,0.038274832,0.037873636,0.03747244,0.037071244,0.036670048,0.036268852,0.036394915,0.036520978,0.03664704,0.036773103,0.036899166,0.036174777,0.035450388,0.034725998,0.034001609,0.03327722,0.032255144,0.031233068,0.030210992,0.029188916,0.02816684,0.027144764,0.026122688,0.025100612,0.024078536,0.02305646
"BEL",0.008444824,0.00829099,0.008137156,0.007983322,0.007829488,0.007675654,0.007606172,0.00753669,0.007467208,0.007397726,0.007328244,0.007292456,0.007256667,0.007220878,0.007185089,0.007149301,0.007013267,0.006877234,0.0067412,0.006605167,0.006469134,0.006456225,0.006443316,0.006430407,0.006417499,0.00640459,0.006397691,0.006390792,0.006383893,0.006376994,0.006370095,0.00625769,0.006145285,0.00603288,0.005920475,0.005808071,0.005859678,0.005911286,0.005962893,0.006014501,0.006066108,0.006003534,0.005940959,0.005878385,0.00581581,0.005753236,0.005682608,0.005611981,0.005541353,0.005470726,0.005400099,0.005190177,0.004980256,0.004770335,0.004560414,0.004350493,0.004238982,0.00412747,0.004015959,0.003904448,0.003792936,0.003681425,0.003569914,0.003458402,0.003346891,0.003235379
"BEN",0.05435282,0.053556157,0.052759493,0.05196283,0.051166166,0.050369503,0.049671118,0.048972733,0.048274348,0.047575963,0.046877578,0.046183413,0.045489247,0.044795082,0.044100916,0.043406751,0.043010789,0.042614827,0.042218864,0.041822902,0.04142694,0.041073242,0.040719544,0.040365846,0.040012148,0.03965845,0.039321114,0.038983778,0.038646441,0.038309105,0.037971769,0.036425663,0.034879557,0.033333452,0.031787346,0.03024124,0.029052935,0.027864629,0.026676324,0.025488018,0.024299713,0.024893919,0.025488126,0.026082332,0.026676539,0.027270745,0.027107865,0.026944984,0.026782104,0.026619223,0.026456343,0.025851536,0.025246729,0.024641923,0.024037116,0.023432309,0.023203009,0.02297371,0.02274441,0.022515111,0.022285811,0.022056511,0.021827212,0.021597912,0.021368613,0.021139313
