"male_55.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.092576823,0.090514477,0.088452131,0.086389784,0.084327438,0.082265092,0.081319018,0.080372945,0.079426871,0.078480798,0.077534724,0.076594362,0.075654,0.074713638,0.073773276,0.072832914,0.072153321,0.071473729,0.070794136,0.070114544,0.069434951,0.068564581,0.067694211,0.06682384,0.06595347,0.0650831,0.063876278,0.062669456,0.061462633,0.060255811,0.059048989,0.058823377,0.058597766,0.058372154,0.058146543,0.057920931,0.057694172,0.057467413,0.057240653,0.057013894,0.056787135,0.056711377,0.056635619,0.056559861,0.056484103,0.056408345,0.056168987,0.055929629,0.055690272,0.055450914,0.055211556,0.054702542,0.054193528,0.053684513,0.053175499,0.052666485,0.052114329,0.051562173,0.051010018,0.050457862,0.049905706,0.04935355,0.048801394,0.048249239,0.047697083,0.047144927
"AFG",0.2045419,0.2019227,0.1993035,0.1966843,0.1940651,0.1914459,0.189258004,0.187070108,0.184882212,0.182694316,0.18050642,0.178526822,0.176547224,0.174567626,0.172588028,0.17060843,0.16871026,0.16681209,0.16491392,0.16301575,0.16111758,0.159093266,0.157068952,0.155044638,0.153020324,0.15099601,0.148665674,0.146335338,0.144005002,0.141674666,0.13934433,0.136672634,0.134000938,0.131329242,0.128657546,0.12598585,0.123813516,0.121641182,0.119468848,0.117296514,0.11512418,0.113854042,0.112583904,0.111313766,0.110043628,0.10877349,0.107312078,0.105850666,0.104389254,0.102927842,0.10146643,0.099799235,0.098132041,0.096464846,0.094797652,0.093130457,0.091970156,0.090809855,0.089649554,0.088489253,0.087328952,0.086168651,0.08500835,0.083848049,0.082687748,0.081527447
"AGO",0.17363457,0.172521868,0.171409166,0.170296464,0.169183762,0.16807106,0.166609368,0.165147676,0.163685984,0.162224292,0.1607626,0.159013808,0.157265016,0.155516224,0.153767432,0.15201864,0.150284196,0.148549752,0.146815308,0.145080864,0.14334642,0.141789234,0.140232048,0.138674862,0.137117676,0.13556049,0.135086024,0.134611558,0.134137092,0.133662626,0.13318816,0.132797338,0.132406516,0.132015694,0.131624872,0.13123405,0.130847336,0.130460622,0.130073908,0.129687194,0.12930048,0.127454484,0.125608488,0.123762492,0.121916496,0.1200705,0.116891256,0.113712012,0.110532768,0.107353524,0.10417428,0.101282844,0.098391408,0.095499973,0.092608537,0.089717101,0.087432283,0.085147464,0.082862646,0.080577827,0.078293009,0.076008191,0.073723372,0.071438554,0.069153735,0.066868917
"ALB",0.066806753,0.064665878,0.062525003,0.060384129,0.058243254,0.056102379,0.053824388,0.051546398,0.049268407,0.046990417,0.044712426,0.045538293,0.046364159,0.047190026,0.048015892,0.048841759,0.049832667,0.050823575,0.051814482,0.05280539,0.053796298,0.053011865,0.052227432,0.051443,0.050658567,0.049874134,0.050018385,0.050162636,0.050306886,0.050451137,0.050595388,0.050032221,0.049469054,0.048905887,0.04834272,0.047779553,0.048738191,0.049696828,0.050655466,0.051614103,0.052572741,0.052288578,0.052004415,0.051720252,0.051436089,0.051151926,0.048310756,0.045469586,0.042628417,0.039787247,0.036946077,0.037729231,0.038512385,0.03929554,0.040078694,0.040861848,0.039201552,0.037541256,0.03588096,0.034220664,0.032560368,0.030900072,0.029239776,0.02757948,0.025919184,0.024258888
"ARE",0.11822,0.1162562,0.1142924,0.1123286,0.1103648,0.108401,0.1065672,0.1047334,0.1028996,0.1010658,0.099232,0.0975098,0.0957876,0.0940654,0.0923432,0.090621,0.0889974,0.0873738,0.0857502,0.0841266,0.082503,0.0809678,0.0794326,0.0778974,0.0763622,0.074827,0.0733712,0.0719154,0.0704596,0.0690038,0.067548,0.066168,0.064788,0.063408,0.062028,0.060648,0.0593292,0.0580104,0.0566916,0.0553728,0.054054,0.0527492,0.0514444,0.0501396,0.0488348,0.04753,0.0462798,0.0450296,0.0437794,0.0425292,0.041279,0.040164,0.039049,0.037934,0.036819,0.035704,0.035107501,0.034511002,0.033914502,0.033318003,0.032721504,0.032125005,0.031528506,0.030932006,0.030335507,0.029739008
"ARG",0.10396,0.10248,0.101,0.09952,0.09804,0.09656,0.096124,0.095688,0.095252,0.094816,0.09438,0.094718,0.095056,0.095394,0.095732,0.09607,0.095046,0.094022,0.092998,0.091974,0.09095,0.089952,0.088954,0.087956,0.086958,0.08596,0.085046,0.084132,0.083218,0.082304,0.08139,0.081152,0.080914,0.080676,0.080438,0.0802,0.079334,0.078468,0.077602,0.076736,0.07587,0.074078,0.072286,0.070494,0.068702,0.06691,0.066494,0.066078,0.065662,0.065246,0.06483,0.063877349,0.062924699,0.061972048,0.061019398,0.060066747,0.059340599,0.058614451,0.057888304,0.057162156,0.056436008,0.05570986,0.054983712,0.054257565,0.053531417,0.052805269
"ARM",0.10147332,0.099495821,0.097518321,0.095540822,0.093563322,0.091585823,0.089689452,0.087793082,0.085896711,0.084000341,0.08210397,0.080244235,0.0783845,0.076524765,0.07466503,0.072805295,0.071629813,0.070454332,0.06927885,0.068103369,0.066927887,0.067617725,0.068307564,0.068997402,0.069687241,0.070377079,0.070404355,0.07043163,0.070458906,0.070486181,0.070513457,0.072840681,0.075167906,0.07749513,0.079822355,0.082149579,0.084752634,0.087355689,0.089958745,0.0925618,0.095164855,0.093306299,0.091447743,0.089589186,0.08773063,0.085872074,0.083803996,0.081735918,0.079667841,0.077599763,0.075531685,0.076844262,0.078156839,0.079469415,0.080781992,0.082094569,0.079802122,0.077509674,0.075217227,0.072924779,0.070632332,0.068339885,0.066047437,0.06375499,0.061462542,0.059170095
"ATG",0.12327763,0.121637648,0.119997666,0.118357684,0.116717702,0.11507772,0.113402062,0.111726404,0.110050746,0.108375088,0.10669943,0.105013882,0.103328334,0.101642786,0.099957238,0.09827169,0.096715056,0.095158422,0.093601788,0.092045154,0.09048852,0.089048676,0.087608832,0.086168988,0.084729144,0.0832893,0.08196119,0.08063308,0.07930497,0.07797686,0.07664875,0.075423768,0.074198786,0.072973804,0.071748822,0.07052384,0.069391164,0.068258488,0.067125812,0.065993136,0.06486046,0.0638195,0.06277854,0.06173758,0.06069662,0.05965566,0.058693422,0.057731184,0.056768946,0.055806708,0.05484447,0.053959228,0.053073986,0.052188744,0.051303502,0.05041826,0.049804078,0.049189896,0.048575714,0.047961532,0.04734735,0.046733168,0.046118986,0.045504804,0.044890622,0.04427644
"AUS",0.084148898,0.083652036,0.083155175,0.082658313,0.082161452,0.08166459,0.08154535,0.08142611,0.081306869,0.081187629,0.081068389,0.081467905,0.081867422,0.082266938,0.082666455,0.083065971,0.081956159,0.080846347,0.079736534,0.078626722,0.07751691,0.075684714,0.073852517,0.072020321,0.070188124,0.068355928,0.066739738,0.065123548,0.063507358,0.061891168,0.060274978,0.058315352,0.056355726,0.054396099,0.052436473,0.050476847,0.048691353,0.046905858,0.045120364,0.043334869,0.041549375,0.040118427,0.038687478,0.03725653,0.035825581,0.034394633,0.033406477,0.03241832,0.031430164,0.030442007,0.029453851,0.028862791,0.028271731,0.027680672,0.027089612,0.026498552,0.026205899,0.025913246,0.025620593,0.02532794,0.025035287,0.024742634,0.024449981,0.024157328,0.023864675,0.023572022
"AUT",0.086233134,0.086260908,0.086288682,0.086316456,0.08634423,0.086372004,0.085314461,0.084256918,0.083199376,0.082141833,0.08108429,0.080195503,0.079306715,0.078417928,0.07752914,0.076640353,0.075728335,0.074816318,0.0739043,0.072992283,0.072080265,0.072117978,0.072155691,0.072193404,0.072231117,0.07226883,0.071871948,0.071475066,0.071078184,0.070681302,0.07028442,0.068809035,0.067333649,0.065858264,0.064382878,0.062907493,0.061283626,0.059659759,0.058035891,0.056412024,0.054788157,0.053293252,0.051798348,0.050303443,0.048808539,0.047313634,0.046653747,0.04599386,0.045333973,0.044674086,0.044014199,0.043254689,0.042495178,0.041735668,0.040976157,0.040216647,0.039295118,0.038373588,0.037452059,0.036530529,0.035609,0.034687471,0.033765941,0.032844412,0.031922882,0.031001353
