"male_15.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.011777009,0.011209347,0.010641686,0.010074024,0.009506363,0.008938701,0.008690795,0.008442889,0.008194983,0.007947077,0.007699171,0.00748653,0.007273888,0.007061246,0.006848605,0.006635963,0.006494808,0.006353654,0.006212499,0.006071345,0.00593019,0.005768245,0.005606299,0.005444353,0.005282408,0.005120462,0.004923188,0.004725914,0.00452864,0.004331365,0.004134091,0.004101877,0.004069663,0.00403745,0.004005236,0.003973022,0.003941324,0.003909625,0.003877927,0.003846229,0.00381453,0.003804092,0.003793653,0.003783214,0.003772775,0.003762337,0.003729853,0.003697369,0.003664885,0.003632401,0.003599917,0.003533338,0.00346676,0.003400181,0.003333602,0.003267024,0.003207335,0.003147646,0.003087957,0.003028269,0.00296858,0.002908891,0.002849203,0.002789514,0.002729825,0.002670136
"AFG",0.045469784,0.044692395,0.043915007,0.043137618,0.04236023,0.041582841,0.040934152,0.040285463,0.039636775,0.038988086,0.038339397,0.037752475,0.037165553,0.03657863,0.035991708,0.035404786,0.034840839,0.034276891,0.033712944,0.033148996,0.032585049,0.031984115,0.031383181,0.030782246,0.030181312,0.029580378,0.028889552,0.028198725,0.027507899,0.026817072,0.026126246,0.025340578,0.02455491,0.023769243,0.022983575,0.022197907,0.02148614,0.020774373,0.020062606,0.019350839,0.018639072,0.018231616,0.01782416,0.017416703,0.017009247,0.016601791,0.016154353,0.015706915,0.015259478,0.01481204,0.014364602,0.013878359,0.013392116,0.012905872,0.012419629,0.011933386,0.011608377,0.011283369,0.01095836,0.010633352,0.010308343,0.009983334,0.009658326,0.009333317,0.009008309,0.0086833
"AGO",0.043668406,0.043353851,0.043039296,0.04272474,0.042410185,0.04209563,0.041685135,0.04127464,0.040864144,0.040453649,0.040043154,0.039550076,0.039056999,0.038563921,0.038070844,0.037577766,0.037088393,0.036599021,0.036109648,0.035620276,0.035130903,0.03469194,0.034252977,0.033814013,0.03337505,0.032936087,0.032802345,0.032668603,0.03253486,0.032401118,0.032267376,0.032157597,0.032047817,0.031938038,0.031828258,0.031718479,0.031610198,0.031501917,0.031393635,0.031285354,0.031177073,0.030657667,0.03013826,0.029618854,0.029099447,0.028580041,0.027680837,0.026781632,0.025882428,0.024983223,0.024084019,0.023158103,0.022232187,0.02130627,0.020380354,0.019454438,0.018764671,0.018074904,0.017385137,0.01669537,0.016005603,0.015315836,0.014626069,0.013936302,0.013246535,0.012556768
"ALB",0.010107315,0.009631932,0.009156548,0.008681165,0.008205781,0.007730398,0.007237429,0.00674446,0.006251491,0.005758522,0.005265554,0.005295441,0.005325329,0.005355217,0.005385104,0.005414992,0.005480722,0.005546451,0.005612181,0.005677911,0.00574364,0.005544022,0.005344404,0.005144786,0.004945168,0.00474555,0.004708587,0.004671625,0.004634662,0.004597699,0.004560736,0.004521389,0.004482042,0.004442696,0.004403349,0.004364003,0.004477661,0.00459132,0.004704978,0.004818637,0.004932295,0.004820848,0.0047094,0.004597953,0.004486505,0.004375058,0.004301422,0.004227786,0.00415415,0.004080514,0.004006877,0.00379466,0.003582442,0.003370224,0.003158006,0.002945788,0.002739485,0.002533183,0.00232688,0.002120578,0.001914275,0.001707972,0.00150167,0.001295367,0.001089065,0.000882762
"ARE",0.02477,0.023603,0.022436,0.021269,0.020102,0.018935,0.0180638,0.0171926,0.0163214,0.0154502,0.014579,0.0139438,0.0133086,0.0126734,0.0120382,0.011403,0.0109514,0.0104998,0.0100482,0.0095966,0.009145,0.0088324,0.0085198,0.0082072,0.0078946,0.007582,0.0073774,0.0071728,0.0069682,0.0067636,0.006559,0.0064428,0.0063266,0.0062104,0.0060942,0.005978,0.0059342,0.0058904,0.0058466,0.0058028,0.005759,0.005764,0.005769,0.005774,0.005779,0.005784,0.005808,0.005832,0.005856,0.00588,0.005904,0.0058742,0.0058444,0.0058146,0.0057848,0.005755,0.005631618,0.005508236,0.005384854,0.005261472,0.00513809,0.005014708,0.004891326,0.004767944,0.004644563,0.004521181
"ARG",0.00953,0.009212,0.008894,0.008576,0.008258,0.00794,0.007708,0.007476,0.007244,0.007012,0.00678,0.00675,0.00672,0.00669,0.00666,0.00663,0.006502,0.006374,0.006246,0.006118,0.00599,0.005864,0.005738,0.005612,0.005486,0.00536,0.005288,0.005216,0.005144,0.005072,0.005,0.005002,0.005004,0.005006,0.005008,0.00501,0.004978,0.004946,0.004914,0.004882,0.00485,0.004718,0.004586,0.004454,0.004322,0.00419,0.004154,0.004118,0.004082,0.004046,0.00401,0.003929849,0.003849698,0.003769547,0.003689396,0.003609246,0.003564114,0.003518982,0.00347385,0.003428719,0.003383587,0.003338455,0.003293324,0.003248192,0.00320306,0.003157928
"ARM",0.007181757,0.006895019,0.00660828,0.006321542,0.006034803,0.005748065,0.005506007,0.005263949,0.005021892,0.004779834,0.004537776,0.004355048,0.004172319,0.003989591,0.003806863,0.003624134,0.003512351,0.003400568,0.003288785,0.003177001,0.003065218,0.003108082,0.003150947,0.003193811,0.003236676,0.00327954,0.003265359,0.003251179,0.003236998,0.003222818,0.003208637,0.003418449,0.003628261,0.003838073,0.004047885,0.004257697,0.004385653,0.004513609,0.004641566,0.004769522,0.004897478,0.004710501,0.004523523,0.004336545,0.004149568,0.00396259,0.00377895,0.003595309,0.003411669,0.003228029,0.003044388,0.003054045,0.003063702,0.003073359,0.003083016,0.003092674,0.003121178,0.003149682,0.003178187,0.003206691,0.003235195,0.0032637,0.003292204,0.003320709,0.003349213,0.003377717
"ATG",0.00611234,0.006047428,0.005982516,0.005917604,0.005852692,0.00578778,0.005734598,0.005681416,0.005628234,0.005575052,0.00552187,0.005478538,0.005435206,0.005391874,0.005348542,0.00530521,0.005264092,0.005222974,0.005181856,0.005140738,0.00509962,0.005060332,0.005021044,0.004981756,0.004942468,0.00490318,0.004867336,0.004831492,0.004795648,0.004759804,0.00472396,0.00469107,0.00465818,0.00462529,0.0045924,0.00455951,0.004528504,0.004497498,0.004466492,0.004435486,0.00440448,0.00437297,0.00434146,0.00430995,0.00427844,0.00424693,0.004219726,0.004192522,0.004165318,0.004138114,0.00411091,0.004083478,0.004056046,0.004028614,0.004001182,0.00397375,0.003924188,0.003874626,0.003825064,0.003775502,0.00372594,0.003676378,0.003626816,0.003577254,0.003527692,0.00347813
"AUS",0.007684417,0.007538413,0.007392408,0.007246403,0.007100399,0.006954394,0.006800348,0.006646303,0.006492257,0.006338211,0.006184165,0.006332507,0.006480849,0.006629191,0.006777533,0.006925875,0.007089936,0.007253996,0.007418057,0.007582117,0.007746178,0.007612019,0.007477859,0.0073437,0.007209541,0.007075382,0.006803732,0.006532082,0.006260432,0.005988782,0.005717132,0.005623548,0.005529963,0.005436379,0.005342794,0.00524921,0.005000091,0.004750973,0.004501854,0.004252735,0.004003617,0.004012573,0.004021529,0.004030485,0.004039441,0.004048397,0.003848989,0.003649581,0.003450173,0.003250765,0.003051357,0.002934593,0.002817829,0.002701065,0.002584302,0.002467538,0.002404333,0.002341129,0.002277924,0.00221472,0.002151516,0.002088311,0.002025107,0.001961902,0.001898698,0.001835493
"AUT",0.00701396,0.00712738,0.007240801,0.007354221,0.007467642,0.007581062,0.007339374,0.007097685,0.006855997,0.006614308,0.00637262,0.006508938,0.006645255,0.006781573,0.00691789,0.007054208,0.007310759,0.007567311,0.007823862,0.008080414,0.008336965,0.008291148,0.00824533,0.008199513,0.008153695,0.008107878,0.007890406,0.007672934,0.007455461,0.007237989,0.007020517,0.0067161,0.006411683,0.006107267,0.00580285,0.005498433,0.005424794,0.005351155,0.005277516,0.005203877,0.005130238,0.004956857,0.004783476,0.004610096,0.004436715,0.004263334,0.004152561,0.004041788,0.003931014,0.003820241,0.003709468,0.003596789,0.00348411,0.003371432,0.003258753,0.003146074,0.002948659,0.002751244,0.00255383,0.002356415,0.002159,0.001961585,0.00176417,0.001566756,0.001369341,0.001171926
"AZE",0.010577961,0.010263413,0.009948865,0.009634316,0.009319768,0.00900522,0.008821729,0.008638238,0.008454747,0.008271257,0.008087766,0.007904119,0.007720473,0.007536827,0.007353181,0.007169535,0.006985718,0.006801902,0.006618086,0.006434269,0.006250453,0.006066462,0.005882472,0.005698482,0.005514492,0.005330501,0.005146353,0.004962204,0.004778056,0.004593908,0.004409759,0.004225452,0.004041145,0.003856838,0.00367253,0.003488223,0.005015571,0.006542919,0.008070266,0.009597614,0.011124962,0.009951181,0.0087774,0.007603619,0.006429838,0.005256057,0.005112459,0.00496886,0.004825261,0.004681662,0.004538063,0.004325193,0.004112322,0.003899451,0.003686581,0.00347371,0.003396047,0.003318384,0.003240722,0.003163059,0.003085396,0.003007733,0.00293007,0.002852407,0.002774744,0.002697082
"BDI",0.034006352,0.033669614,0.033332876,0.032996139,0.032659401,0.032322663,0.031999665,0.031676667,0.031353669,0.031030671,0.030707673,0.030399694,0.030091716,0.029783737,0.029475759,0.02916778,0.02902688,0.02888598,0.028745081,0.028604181,0.028463281,0.028048654,0.027634026,0.027219399,0.026804771,0.026390144,0.0261384,0.025886656,0.025634913,0.025383169,0.025131425,0.024921408,0.02471139,0.024501373,0.024291355,0.024081338,0.024390634,0.02469993,0.025009225,0.025318521,0.025627817,0.024927321,0.024226825,0.023526328,0.022825832,0.022125336,0.021815481,0.021505627,0.021195772,0.020885918,0.020576063,0.020320754,0.020065444,0.019810135,0.019554825,0.019299516,0.019135613,0.01897171,0.018807806,0.018643903,0.01848,0.018316097,0.018152194,0.01798829,0.017824387,0.017660484
"BEL",0.004699985,0.004671072,0.004642158,0.004613245,0.004584331,0.004555417,0.004632215,0.004709012,0.004785809,0.004862606,0.004939403,0.004982281,0.005025159,0.005068037,0.005110915,0.005153793,0.005305108,0.005456424,0.005607739,0.005759054,0.005910369,0.005864634,0.005818899,0.005773164,0.00572743,0.005681695,0.005448738,0.005215781,0.004982824,0.004749867,0.00451691,0.004466174,0.004415437,0.004364701,0.004313965,0.004263228,0.004231282,0.004199336,0.004167389,0.004135443,0.004103497,0.003999773,0.003896049,0.003792325,0.003688602,0.003584878,0.003506101,0.003427324,0.003348547,0.00326977,0.003190993,0.003019376,0.002847758,0.002676141,0.002504523,0.002332906,0.002238028,0.002143149,0.002048271,0.001953392,0.001858514,0.001763636,0.001668757,0.001573879,0.001479001,0.001384122
"BEN",0.036126611,0.035593768,0.035060925,0.034528081,0.033995238,0.033462395,0.032995778,0.032529161,0.032062545,0.031595928,0.031129311,0.030734531,0.030339751,0.029944971,0.029550191,0.029155411,0.028887545,0.028619679,0.028351814,0.028083948,0.027816082,0.027576775,0.027337468,0.027098161,0.026858854,0.026619547,0.026389735,0.026159923,0.025930111,0.025700299,0.025470487,0.024431137,0.023391787,0.022352437,0.021313087,0.020273737,0.019477765,0.018681792,0.01788582,0.017089847,0.016293875,0.01669246,0.017091044,0.017489629,0.017888213,0.018286798,0.018177726,0.018068654,0.017959581,0.017850509,0.017741437,0.017335555,0.016929673,0.01652379,0.016117908,0.015712026,0.015558275,0.015404524,0.015250773,0.015097022,0.014943271,0.01478952,0.014635769,0.014482018,0.014328267,0.014174516
"BFA",0.047599929,0.04668863,0.045777331,0.044866031,0.043954732,0.043043433,0.042231328,0.041419224,0.040607119,0.039795015,0.03898291,0.038253653,0.037524395,0.036795138,0.03606588,0.035336623,0.03460637,0.033876118,0.033145865,0.032415613,0.03168536,0.030718016,0.029750672,0.028783329,0.027815985,0.026848641,0.025198611,0.023548581,0.021898552,0.020248522,0.018598492,0.018546121,0.01849375,0.018441378,0.018389007,0.018336636,0.018658176,0.018979716,0.019301255,0.019622795,0.019944335,0.020199722,0.020455109,0.020710495,0.020965882,0.021221269,0.020725861,0.020230453,0.019735045,0.019239637,0.018744229,0.018036081,0.017327934,0.016619786,0.015911639,0.015203491,0.014796024,0.014388556,0.013981089,0.013573621,0.013166154,0.012758687,0.012351219,0.011943752,0.011536284,0.011128817
