"male_1.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.027265617,0.025121382,0.022977148,0.020832913,0.018688679,0.016544444,0.01565503,0.014765617,0.013876203,0.01298679,0.012097376,0.011530778,0.01096418,0.010397582,0.009830984,0.009264386,0.008932433,0.008600479,0.008268526,0.007936573,0.007604619,0.00726777,0.006930921,0.006594071,0.006257222,0.005920373,0.005562033,0.005203694,0.004845355,0.004487016,0.004128677,0.004076769,0.004024861,0.003972953,0.003921045,0.003869138,0.003819342,0.003769546,0.00371975,0.003669954,0.003620158,0.003604041,0.003587924,0.003571807,0.00355569,0.003539574,0.003490323,0.003441073,0.003391823,0.003342572,0.003293322,0.003196737,0.003100152,0.003003566,0.002906981,0.002810396,0.002734186,0.002657977,0.002581767,0.002505558,0.002429348,0.002353139,0.002276929,0.00220072,0.00212451,0.002048301
"AFG",0.17294647,0.169747622,0.166548774,0.163349926,0.160151078,0.15695223,0.154617658,0.152283086,0.149948514,0.147613942,0.14527937,0.142767812,0.140256254,0.137744696,0.135233138,0.13272158,0.130300922,0.127880264,0.125459606,0.123038948,0.12061829,0.118009606,0.115400922,0.112792238,0.110183554,0.10757487,0.10455988,0.10154489,0.098529901,0.095514911,0.092499921,0.088723827,0.084947733,0.081171638,0.077395544,0.07361945,0.070136437,0.066653424,0.06317041,0.059687397,0.056204384,0.054360947,0.05251751,0.050674073,0.048830636,0.046987199,0.044194644,0.04140209,0.038609535,0.035816981,0.033024426,0.030869242,0.028714057,0.026558873,0.024403688,0.022248504,0.020564398,0.018880292,0.017196187,0.015512081,0.013827975,0.012143869,0.010459763,0.008775658,0.007091552,0.005407446
"AGO",0.18965077,0.188032176,0.186413582,0.184794988,0.183176394,0.1815578,0.179450692,0.177343584,0.175236476,0.173129368,0.17102226,0.16848854,0.16595482,0.1634211,0.16088738,0.15835366,0.155841436,0.153329212,0.150816988,0.148304764,0.14579254,0.14353977,0.141287,0.13903423,0.13678146,0.13452869,0.133841936,0.133155182,0.132468428,0.131781674,0.13109492,0.130532996,0.129971072,0.129409148,0.128847224,0.1282853,0.127732688,0.127180076,0.126627464,0.126074852,0.12552224,0.12285369,0.12018514,0.11751659,0.11484804,0.11217949,0.106871394,0.101563297,0.096255201,0.090947104,0.085639008,0.080471426,0.075303844,0.070136262,0.06496868,0.059801098,0.056448654,0.053096209,0.049743765,0.04639132,0.043038876,0.039686432,0.036333987,0.032981543,0.029629098,0.026276654
"ALB",0.059708357,0.05759646,0.055484563,0.053372665,0.051260768,0.049148871,0.046521121,0.043893371,0.041265621,0.038637871,0.036010121,0.033889457,0.031768792,0.029648128,0.027527463,0.025406799,0.023708461,0.022010123,0.020311784,0.018613446,0.016915108,0.015782572,0.014650035,0.013517499,0.012384962,0.011252426,0.010973149,0.010693873,0.010414596,0.010135319,0.009856043,0.009665088,0.009474134,0.009283179,0.009092225,0.00890127,0.008471122,0.008040975,0.007610827,0.007180679,0.006750531,0.006400639,0.006050747,0.005700854,0.005350962,0.00500107,0.005109529,0.005217988,0.005326447,0.005434906,0.005543365,0.004976335,0.004409305,0.003842275,0.003275245,0.002708215,0.002607007,0.002505799,0.00240459,0.002303382,0.002202174,0.002100966,0.001999758,0.00189855,0.001797341,0.001696133
"ARE",0.117936,0.1119156,0.1058952,0.0998748,0.0938544,0.087834,0.0827126,0.0775912,0.0724698,0.0673484,0.062227,0.057306,0.052385,0.047464,0.042543,0.037622,0.0345452,0.0314684,0.0283916,0.0253148,0.022238,0.0203168,0.0183956,0.0164744,0.0145532,0.012632,0.0115392,0.0104464,0.0093536,0.0082608,0.007168,0.0066026,0.0060372,0.0054718,0.0049064,0.004341,0.0040686,0.0037962,0.0035238,0.0032514,0.002979,0.0028002,0.0026214,0.0024426,0.0022638,0.002085,0.0019726,0.0018602,0.0017478,0.0016354,0.001523,0.001451,0.001379,0.001307,0.001235,0.001163,0.001130282,0.001097563,0.001064845,0.001032127,0.000999408,0.00096669,0.000933972,0.000901253,0.000868535,0.000835817
"ARG",0.01868,0.018154,0.017628,0.017102,0.016576,0.01605,0.01563,0.01521,0.01479,0.01437,0.01395,0.013678,0.013406,0.013134,0.012862,0.01259,0.012092,0.011594,0.011096,0.010598,0.0101,0.009612,0.009124,0.008636,0.008148,0.00766,0.00725,0.00684,0.00643,0.00602,0.00561,0.005522,0.005434,0.005346,0.005258,0.00517,0.00496,0.00475,0.00454,0.00433,0.00412,0.003874,0.003628,0.003382,0.003136,0.00289,0.002864,0.002838,0.002812,0.002786,0.00276,0.0027401,0.002720201,0.002700301,0.002680402,0.002660502,0.002627504,0.002594506,0.002561508,0.00252851,0.002495511,0.002462513,0.002429515,0.002396517,0.002363518,0.00233052
"ARM",0.019036192,0.018241178,0.017446164,0.01665115,0.015856136,0.015061122,0.014396772,0.013732422,0.013068072,0.012403722,0.011739372,0.011111299,0.010483225,0.009855152,0.009227079,0.008599006,0.008235624,0.007872242,0.00750886,0.007145478,0.006782096,0.006896777,0.007011457,0.007126138,0.007240819,0.007355499,0.007294111,0.007232723,0.007171335,0.007109947,0.007048558,0.007722736,0.008396913,0.009071091,0.009745268,0.010419446,0.010323659,0.010227871,0.010132084,0.010036297,0.00994051,0.009124721,0.008308932,0.007493143,0.006677354,0.005861566,0.005405749,0.004949933,0.004494117,0.004038301,0.003582485,0.003464051,0.003345618,0.003227184,0.003108751,0.002990317,0.003031031,0.003071746,0.00311246,0.003153175,0.003193889,0.003234604,0.003275318,0.003316033,0.003356747,0.003397461
"ATG",0.02657423,0.025467714,0.024361198,0.023254682,0.022148166,0.02104165,0.020209574,0.019377498,0.018545422,0.017713346,0.01688127,0.016247234,0.015613198,0.014979162,0.014345126,0.01371109,0.01320694,0.01270279,0.01219864,0.01169449,0.01119034,0.010787494,0.010384648,0.009981802,0.009578956,0.00917611,0.008851726,0.008527342,0.008202958,0.007878574,0.00755419,0.007291754,0.007029318,0.006766882,0.006504446,0.00624201,0.006028828,0.005815646,0.005602464,0.005389282,0.0051761,0.005005332,0.004834564,0.004663796,0.004493028,0.00432226,0.004180002,0.004037744,0.003895486,0.003753228,0.00361097,0.003491944,0.003372918,0.003253892,0.003134866,0.00301584,0.00297964,0.00294344,0.00290724,0.00287104,0.00283484,0.00279864,0.00276244,0.00272624,0.00269004,0.00265384
"AUS",0.006994045,0.006702655,0.006411265,0.006119875,0.005828485,0.005537096,0.005300996,0.005064896,0.004828796,0.004592696,0.004356597,0.004289724,0.004222851,0.004155978,0.004089106,0.004022233,0.003976884,0.003931535,0.003886186,0.003840838,0.003795489,0.003609826,0.003424163,0.0032385,0.003052837,0.002867175,0.002781855,0.002696535,0.002611215,0.002525895,0.002440575,0.00234481,0.002249045,0.00215328,0.002057515,0.00196175,0.001898676,0.001835602,0.001772529,0.001709455,0.001646381,0.001608053,0.001569725,0.001531397,0.001493069,0.001454741,0.00139723,0.00133972,0.001282209,0.001224699,0.001167189,0.001119247,0.001071306,0.001023365,0.000975424,0.000927483,0.000891425,0.000855367,0.00081931,0.000783252,0.000747194,0.000711136,0.000675078,0.000639021,0.000602963,0.000566905
"AUT",0.009159706,0.008777406,0.008395107,0.008012807,0.007630508,0.007248208,0.006923528,0.006598848,0.006274169,0.005949489,0.005624809,0.005424427,0.005224045,0.005023664,0.004823282,0.0046229,0.004500389,0.004377877,0.004255366,0.004132854,0.004010343,0.003851806,0.003693269,0.003534733,0.003376196,0.003217659,0.003071776,0.002925893,0.002780011,0.002634128,0.002488245,0.002373349,0.002258453,0.002143557,0.002028661,0.001913765,0.001841132,0.001768499,0.001695867,0.001623234,0.001550601,0.001502677,0.001454752,0.001406828,0.001358903,0.001310979,0.001235881,0.001160783,0.001085685,0.001010587,0.000935489,0.000918704,0.000901919,0.000885133,0.000868348,0.000851563,0.00083185,0.000812138,0.000792425,0.000772713,0.000753,0.000733287,0.000713575,0.000693862,0.00067415,0.000654437
