"male_50.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.064019289,0.062142557,0.060265824,0.058389092,0.056512359,0.054635627,0.053800742,0.052965858,0.052130973,0.051296089,0.050461204,0.049674863,0.048888523,0.048102182,0.047315842,0.046529501,0.045973089,0.045416676,0.044860264,0.044303851,0.043747439,0.043035643,0.042323847,0.041612051,0.040900255,0.040188459,0.039234543,0.038280626,0.03732671,0.036372793,0.035418877,0.035247075,0.035075273,0.034903472,0.03473167,0.034559868,0.034388136,0.034216404,0.034044671,0.033872939,0.033701207,0.033644046,0.033586885,0.033529725,0.033472564,0.033415403,0.033235511,0.033055619,0.032875727,0.032695835,0.032515943,0.032137027,0.031758111,0.031379195,0.031000279,0.030621363,0.03023411,0.029846856,0.029459603,0.029072349,0.028685096,0.028297843,0.027910589,0.027523336,0.027136082,0.026748829
"AFG",0.16900053,0.16654716,0.16409379,0.16164042,0.15918705,0.15673368,0.154686374,0.152639068,0.150591762,0.148544456,0.14649715,0.144644204,0.142791258,0.140938312,0.139085366,0.13723242,0.135453318,0.133674216,0.131895114,0.130116012,0.12833691,0.126441512,0.124546114,0.122650716,0.120755318,0.11885992,0.116678164,0.114496408,0.112314652,0.110132896,0.10795114,0.105452637,0.102954134,0.100455631,0.097957128,0.095458625,0.093389197,0.091319769,0.08925034,0.087180912,0.085111484,0.083908315,0.082705146,0.081501977,0.080298808,0.079095639,0.077725816,0.076355993,0.074986169,0.073616346,0.072246523,0.070702722,0.069158921,0.067615121,0.06607132,0.064527519,0.063464229,0.06240094,0.06133765,0.060274361,0.059211071,0.058147781,0.057084492,0.056021202,0.054957913,0.053894623
"AGO",0.13576339,0.134874992,0.133986594,0.133098196,0.132209798,0.1313214,0.130156102,0.128990804,0.127825506,0.126660208,0.12549491,0.124100566,0.122706222,0.121311878,0.119917534,0.11852319,0.117139612,0.115756034,0.114372456,0.112988878,0.1116053,0.110363138,0.109120976,0.107878814,0.106636652,0.10539449,0.105015978,0.104637466,0.104258954,0.103880442,0.10350193,0.10319036,0.10287879,0.10256722,0.10225565,0.10194408,0.101635974,0.101327868,0.101019762,0.100711656,0.10040355,0.09893199,0.09746043,0.095988871,0.094517311,0.093045751,0.090550304,0.088054858,0.085559411,0.083063965,0.080568518,0.078225274,0.07588203,0.073538785,0.071195541,0.068852297,0.067012017,0.065171738,0.063331458,0.061491179,0.059650899,0.057810619,0.05597034,0.05413006,0.052289781,0.050449501
"ALB",0.0469275,0.04515827,0.04338904,0.041619811,0.039850581,0.038081351,0.036198634,0.034315916,0.032433199,0.030550481,0.028667764,0.029087499,0.029507235,0.02992697,0.030346706,0.030766441,0.031316159,0.031865877,0.032415595,0.032965313,0.033515031,0.032862918,0.032210806,0.031558693,0.030906581,0.030254468,0.030192434,0.030130401,0.030068367,0.030006334,0.0299443,0.02959556,0.02924682,0.02889808,0.02854934,0.0282006,0.028795615,0.02939063,0.029985645,0.03058066,0.031175675,0.030938093,0.030700511,0.03046293,0.030225348,0.029987766,0.028524495,0.027061224,0.025597953,0.024134682,0.022671411,0.022786392,0.022901373,0.023016355,0.023131336,0.023246317,0.022207593,0.021168869,0.020130144,0.01909142,0.018052696,0.017013972,0.015975248,0.014936523,0.013897799,0.012859075
"ARE",0.087755,0.0862482,0.0847414,0.0832346,0.0817278,0.080221,0.0788052,0.0773894,0.0759736,0.0745578,0.073142,0.0717896,0.0704372,0.0690848,0.0677324,0.06638,0.065073,0.063766,0.062459,0.061152,0.059845,0.058573,0.057301,0.056029,0.054757,0.053485,0.0522456,0.0510062,0.0497668,0.0485274,0.047288,0.0460836,0.0448792,0.0436748,0.0424704,0.041266,0.0401038,0.0389416,0.0377794,0.0366172,0.035455,0.0343354,0.0332158,0.0320962,0.0309766,0.029857,0.0288116,0.0277662,0.0267208,0.0256754,0.02463,0.023719,0.022808,0.021897,0.020986,0.020075,0.019738927,0.019402853,0.01906678,0.018730706,0.018394633,0.01805856,0.017722486,0.017386413,0.017050339,0.016714266
"ARG",0.07079,0.069712,0.068634,0.067556,0.066478,0.0654,0.06492,0.06444,0.06396,0.06348,0.063,0.062868,0.062736,0.062604,0.062472,0.06234,0.061928,0.061516,0.061104,0.060692,0.06028,0.05988,0.05948,0.05908,0.05868,0.05828,0.057642,0.057004,0.056366,0.055728,0.05509,0.05479,0.05449,0.05419,0.05389,0.05359,0.052764,0.051938,0.051112,0.050286,0.04946,0.048166,0.046872,0.045578,0.044284,0.04299,0.042722,0.042454,0.042186,0.041918,0.04165,0.041096241,0.040542481,0.039988722,0.039434962,0.038881203,0.038401938,0.037922673,0.037443408,0.036964143,0.036484878,0.036005613,0.035526348,0.035047083,0.034567818,0.034088553
"ARM",0.064243877,0.06277211,0.061300342,0.059828575,0.058356807,0.05688504,0.055503036,0.054121032,0.052739027,0.051357023,0.049975019,0.048737465,0.047499912,0.046262358,0.045024805,0.043787251,0.043005454,0.042223658,0.041441861,0.040660065,0.039878268,0.040308483,0.040738698,0.041168914,0.041599129,0.042029344,0.042025531,0.042021717,0.042017904,0.04201409,0.042010277,0.043544152,0.045078027,0.046611902,0.048145777,0.049679652,0.051637612,0.053595572,0.055553532,0.057511492,0.059469452,0.05807815,0.056686848,0.055295545,0.053904243,0.052512941,0.051003838,0.049494735,0.047985632,0.046476529,0.044967426,0.045954197,0.046940968,0.047927739,0.04891451,0.049901281,0.048975268,0.048049254,0.047123241,0.046197227,0.045271214,0.044345201,0.043419187,0.042493174,0.04156716,0.040641147
"ATG",0.07379223,0.072912332,0.072032434,0.071152536,0.070272638,0.06939274,0.068552982,0.067713224,0.066873466,0.066033708,0.06519395,0.064400192,0.063606434,0.062812676,0.062018918,0.06122516,0.060480812,0.059736464,0.058992116,0.058247768,0.05750342,0.056804708,0.056105996,0.055407284,0.054708572,0.05400986,0.05335503,0.0527002,0.05204537,0.05139054,0.05073571,0.05012105,0.04950639,0.04889173,0.04827707,0.04766241,0.047086508,0.046510606,0.045934704,0.045358802,0.0447829,0.044243584,0.043704268,0.043164952,0.042625636,0.04208632,0.041578894,0.041071468,0.040564042,0.040056616,0.03954919,0.039075256,0.038601322,0.038127388,0.037653454,0.03717952,0.036716524,0.036253528,0.035790532,0.035327536,0.03486454,0.034401544,0.033938548,0.033475552,0.033012556,0.03254956
"AUS",0.052950159,0.052212586,0.051475013,0.050737439,0.049999866,0.049262293,0.049469218,0.049676144,0.049883069,0.050089995,0.05029692,0.050405438,0.050513956,0.050622473,0.050730991,0.050839509,0.050281867,0.049724226,0.049166584,0.048608943,0.048051301,0.046986792,0.045922284,0.044857775,0.043793267,0.042728758,0.041389752,0.040050746,0.038711741,0.037372735,0.036033729,0.034750386,0.033467042,0.032183699,0.030900355,0.029617012,0.028576705,0.027536398,0.026496091,0.025455784,0.024415477,0.023690836,0.022966196,0.022241555,0.021516915,0.020792274,0.020240336,0.019688397,0.019136459,0.01858452,0.018032582,0.017958509,0.017884436,0.017810364,0.017736291,0.017662218,0.017431,0.017199782,0.016968565,0.016737347,0.016506129,0.016274911,0.016043693,0.015812476,0.015581258,0.01535004
"AUT",0.056467976,0.055459517,0.054451057,0.053442598,0.052434138,0.051425679,0.050606345,0.04978701,0.048967676,0.048148341,0.047329007,0.047011445,0.046693884,0.046376322,0.046058761,0.045741199,0.04611482,0.046488441,0.046862061,0.047235682,0.047609303,0.047488752,0.047368201,0.04724765,0.047127099,0.047006548,0.047039587,0.047072625,0.047105664,0.047138702,0.047171741,0.045506058,0.043840376,0.042174693,0.040509011,0.038843328,0.038013684,0.03718404,0.036354395,0.035524751,0.034695107,0.034342754,0.0339904,0.033638047,0.033285693,0.03293334,0.03209922,0.0312651,0.03043098,0.02959686,0.02876274,0.027960751,0.027158762,0.026356773,0.025554784,0.024752795,0.024190036,0.023627277,0.023064518,0.022501759,0.021939,0.021376241,0.020813482,0.020250723,0.019687964,0.019125205
