"female_55.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.069387098,0.06761525,0.065843402,0.064071554,0.062299706,0.060527858,0.059317282,0.058106706,0.05689613,0.055685554,0.054474978,0.053660453,0.052845928,0.052031402,0.051216877,0.050402352,0.048906437,0.047410522,0.045914606,0.044418691,0.042922776,0.041812895,0.040703014,0.039593134,0.038483253,0.037373372,0.036798764,0.036224156,0.035649548,0.03507494,0.034500332,0.034113096,0.03372586,0.033338623,0.032951387,0.032564151,0.032438088,0.032312025,0.032185961,0.032059898,0.031933835,0.031809314,0.031684794,0.031560273,0.031435753,0.031311232,0.031193949,0.031076666,0.030959382,0.030842099,0.030724816,0.030303392,0.029881968,0.029460543,0.029039119,0.028617695,0.028234375,0.027851055,0.027467736,0.027084416,0.026701096,0.026317776,0.025934456,0.025551137,0.025167817,0.024784497
"AFG",0.16820597,0.165913526,0.163621082,0.161328638,0.159036194,0.15674375,0.154834178,0.152924606,0.151015034,0.149105462,0.14719589,0.145498734,0.143801578,0.142104422,0.140407266,0.13871011,0.137054766,0.135399422,0.133744078,0.132088734,0.13043339,0.128665428,0.126897466,0.125129504,0.123361542,0.12159358,0.11956645,0.11753932,0.11551219,0.11348506,0.11145793,0.108984551,0.106511173,0.104037794,0.101564416,0.099091037,0.097079328,0.095067618,0.093055909,0.091044199,0.08903249,0.087909405,0.08678632,0.085663236,0.084540151,0.083417066,0.082171121,0.080925176,0.07967923,0.078433285,0.07718734,0.075764695,0.07434205,0.072919406,0.071496761,0.070074116,0.069069419,0.068064722,0.067060026,0.066055329,0.065050632,0.064045935,0.063041238,0.062036542,0.061031845,0.060027148
"AGO",0.14127907,0.140296342,0.139313614,0.138330886,0.137348158,0.13636543,0.135108462,0.133851494,0.132594526,0.131337558,0.13008059,0.128590808,0.127101026,0.125611244,0.124121462,0.12263168,0.121228202,0.119824724,0.118421246,0.117017768,0.11561429,0.114286718,0.112959146,0.111631574,0.110304002,0.10897643,0.108211088,0.107445746,0.106680404,0.105915062,0.10514972,0.104717012,0.104284304,0.103851596,0.103418888,0.10298618,0.102377562,0.101768944,0.101160325,0.100551707,0.099943089,0.098492575,0.097042061,0.095591547,0.094141033,0.092690519,0.090071329,0.087452138,0.084832948,0.082213757,0.079594567,0.077148974,0.07470338,0.072257787,0.069812193,0.0673666,0.065317914,0.063269228,0.061220541,0.059171855,0.057123169,0.055074483,0.053025797,0.05097711,0.048928424,0.046879738
"ALB",0.056310391,0.054520431,0.052730471,0.05094051,0.04915055,0.04736059,0.044775255,0.04218992,0.039604584,0.037019249,0.034433914,0.034873441,0.035312968,0.035752496,0.036192023,0.03663155,0.036358462,0.036085374,0.035812287,0.035539199,0.035266111,0.034490456,0.033714801,0.032939146,0.032163491,0.031387836,0.030367833,0.029347829,0.028327826,0.027307822,0.026287819,0.025233682,0.024179546,0.023125409,0.022071273,0.021017136,0.021378288,0.021739441,0.022100593,0.022461746,0.022822898,0.022630598,0.022438298,0.022245997,0.022053697,0.021861397,0.021226547,0.020591697,0.019956848,0.019321998,0.018687148,0.018667512,0.018647876,0.018628241,0.018608605,0.018588969,0.01841206,0.018235152,0.018058243,0.017881335,0.017704426,0.017527517,0.017350609,0.0171737,0.016996792,0.016819883
"ARE",0.081705,0.0808198,0.0799346,0.0790494,0.0781642,0.077279,0.0764198,0.0755606,0.0747014,0.0738422,0.072983,0.072136,0.071289,0.070442,0.069595,0.068748,0.0679002,0.0670524,0.0662046,0.0653568,0.064509,0.0636522,0.0627954,0.0619386,0.0610818,0.060225,0.0593542,0.0584834,0.0576126,0.0567418,0.055871,0.054984,0.054097,0.05321,0.052323,0.051436,0.050524,0.049612,0.0487,0.047788,0.046876,0.0458656,0.0448552,0.0438448,0.0428344,0.041824,0.040680225,0.03953645,0.038392676,0.037248901,0.036105126,0.035007495,0.033909864,0.032812234,0.031714603,0.030616972,0.030090758,0.029564544,0.029038331,0.028512117,0.027985903,0.027459689,0.026933475,0.026407262,0.025881048,0.025354834
"ARG",0.06248,0.060806,0.059132,0.057458,0.055784,0.05411,0.052736,0.051362,0.049988,0.048614,0.04724,0.047096,0.046952,0.046808,0.046664,0.04652,0.045936,0.045352,0.044768,0.044184,0.0436,0.043032,0.042464,0.041896,0.041328,0.04076,0.040134,0.039508,0.038882,0.038256,0.03763,0.037378,0.037126,0.036874,0.036622,0.03637,0.035934,0.035498,0.035062,0.034626,0.03419,0.033956,0.033722,0.033488,0.033254,0.03302,0.032766,0.032512,0.032258,0.032004,0.03175,0.031079972,0.030409945,0.029739917,0.02906989,0.028399862,0.027999078,0.027598295,0.027197511,0.026796728,0.026395944,0.02599516,0.025594377,0.025193593,0.02479281,0.024392026
"ARM",0.063179582,0.06159453,0.060009478,0.058424426,0.056839374,0.055254322,0.053747107,0.052239891,0.050732676,0.04922546,0.047718245,0.046423855,0.045129466,0.043835076,0.042540687,0.041246297,0.040473917,0.039701537,0.038929158,0.038156778,0.037384398,0.037685858,0.037987319,0.038288779,0.03859024,0.0388917,0.038958218,0.039024736,0.039091253,0.039157771,0.039224289,0.041770485,0.044316681,0.046862876,0.049409072,0.051955268,0.051117497,0.050279726,0.049441955,0.048604184,0.047766413,0.04679656,0.045826707,0.044856853,0.043887,0.042917147,0.041390959,0.039864771,0.038338583,0.036812395,0.035286207,0.035780604,0.036275,0.036769397,0.037263793,0.03775819,0.036317608,0.034877026,0.033436445,0.031995863,0.030555281,0.029114699,0.027674117,0.026233536,0.024792954,0.023352372
"ATG",0.08792028,0.086744054,0.085567828,0.084391602,0.083215376,0.08203915,0.080891036,0.079742922,0.078594808,0.077446694,0.07629858,0.07518283,0.07406708,0.07295133,0.07183558,0.07071983,0.06968307,0.06864631,0.06760955,0.06657279,0.06553603,0.064574718,0.063613406,0.062652094,0.061690782,0.06072947,0.059835996,0.058942522,0.058049048,0.057155574,0.0562621,0.055433766,0.054605432,0.053777098,0.052948764,0.05212043,0.05135105,0.05058167,0.04981229,0.04904291,0.04827353,0.04755943,0.04684533,0.04613123,0.04541713,0.04470303,0.044042332,0.043381634,0.042720936,0.042060238,0.04139954,0.040786866,0.040174192,0.039561518,0.038948844,0.03833617,0.037806702,0.037277234,0.036747765,0.036218297,0.035688829,0.035159361,0.034629893,0.034100424,0.033570956,0.033041488
"AUS",0.047244838,0.046338533,0.045432227,0.044525922,0.043619616,0.042713311,0.04234026,0.041967209,0.041594157,0.041221106,0.040848055,0.041222359,0.041596663,0.041970966,0.04234527,0.042719574,0.042171209,0.041622844,0.04107448,0.040526115,0.03997775,0.038840627,0.037703504,0.036566382,0.035429259,0.034292136,0.033432309,0.032572481,0.031712654,0.030852826,0.029992999,0.029384354,0.02877571,0.028167065,0.027558421,0.026949776,0.026260047,0.025570318,0.02488059,0.024190861,0.023501132,0.02294704,0.022392947,0.021838855,0.021284762,0.02073067,0.020205998,0.019681326,0.019156655,0.018631983,0.018107311,0.017695662,0.017284013,0.016872365,0.016460716,0.016049067,0.015886125,0.015723183,0.015560241,0.015397299,0.015234357,0.015071415,0.014908473,0.014745531,0.014582589,0.014419647
"AUT",0.047576545,0.046726489,0.045876432,0.045026376,0.044176319,0.043326263,0.042691429,0.042056595,0.041421762,0.040786928,0.040152094,0.039991639,0.039831185,0.03967073,0.039510276,0.039349821,0.038721486,0.038093152,0.037464817,0.036836483,0.036208148,0.03590331,0.035598473,0.035293635,0.034988798,0.03468396,0.034023311,0.033362662,0.032702014,0.032041365,0.031380716,0.030527335,0.029673953,0.028820572,0.02796719,0.027113809,0.026709366,0.026304923,0.02590048,0.025496037,0.025091594,0.024518817,0.023946041,0.023373264,0.022800488,0.022227711,0.022112271,0.021996831,0.021881391,0.021765951,0.021650511,0.021210353,0.020770196,0.020330038,0.019889881,0.019449723,0.019167494,0.018885265,0.018603035,0.018320806,0.018038577,0.017756348,0.017474119,0.017191889,0.01690966,0.016627431
