"female_10.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AZE",0.003926242,0.003784032,0.003641821,0.003499611,0.0033574,0.00321519,0.00316161,0.00310803,0.00305445,0.003000869,0.002947289,0.002893695,0.0028401,0.002786506,0.002732911,0.002679317,0.002625708,0.002572099,0.00251849,0.002464882,0.002411273,0.00235765,0.002304026,0.002250403,0.00219678,0.002143157,0.002089519,0.002035881,0.001982244,0.001928606,0.001874968,0.001821316,0.001767664,0.001714012,0.00166036,0.001606708,0.001639652,0.001672597,0.001705541,0.001738485,0.00177143,0.001763308,0.001755186,0.001747065,0.001738943,0.001730822,0.001704061,0.001677301,0.001650541,0.001623781,0.00159702,0.001564075,0.001531129,0.001498184,0.001465238,0.001432293,0.001406271,0.00138025,0.001354229,0.001328208,0.001302187,0.001276165,0.001250144,0.001224123,0.001198102,0.001172081
"BDI",0.030673613,0.030312804,0.029951995,0.029591186,0.029230377,0.028869568,0.028517889,0.02816621,0.027814532,0.027462853,0.027111174,0.026776488,0.026441802,0.026107117,0.025772431,0.025437745,0.025283909,0.025130074,0.024976238,0.024822403,0.024668567,0.024211491,0.023754414,0.023297338,0.022840261,0.022383185,0.022046557,0.021709929,0.0213733,0.021036672,0.020700044,0.020460569,0.020221095,0.01998162,0.019742146,0.019502671,0.019897866,0.020293061,0.020688255,0.02108345,0.021478645,0.020592717,0.019706789,0.018820861,0.017934933,0.017049005,0.016676218,0.016303431,0.015930645,0.015557858,0.015185071,0.015031778,0.014878486,0.014725193,0.014571901,0.014418608,0.014256214,0.014093821,0.013931427,0.013769034,0.01360664,0.013444246,0.013281853,0.013119459,0.012957066,0.012794672
"BEL",0.001988059,0.00193915,0.001890241,0.001841332,0.001792423,0.001743514,0.001693581,0.001643647,0.001593714,0.001543781,0.001493847,0.001507845,0.001521844,0.001535842,0.00154984,0.001563839,0.001507909,0.001451979,0.00139605,0.00134012,0.001284191,0.001278212,0.001272233,0.001266254,0.001260276,0.001254297,0.001224315,0.001194333,0.00116435,0.001134368,0.001104386,0.001062436,0.001020486,0.000978535,0.000936585,0.000894635,0.000876648,0.000858662,0.000840675,0.000822688,0.000804702,0.000802701,0.000800699,0.000798698,0.000796697,0.000794696,0.000760723,0.00072675,0.000692778,0.000658805,0.000624832,0.000599843,0.000574853,0.000549864,0.000524875,0.000499885,0.000482891,0.000465897,0.000448902,0.000431908,0.000414914,0.00039792,0.000380925,0.000363931,0.000346937,0.000329943
"BEN",0.033540455,0.032844398,0.032148342,0.031452285,0.030756229,0.030060172,0.029487572,0.028914972,0.028342372,0.027769772,0.027197172,0.027387569,0.027577966,0.027768363,0.02795876,0.028149157,0.027129216,0.026109275,0.025089334,0.024069393,0.023049452,0.02223358,0.021417708,0.020601835,0.019785963,0.018970091,0.018513801,0.018057511,0.017601221,0.017144931,0.016688641,0.015949966,0.015211292,0.014472617,0.013733943,0.012995268,0.012597707,0.012200147,0.011802586,0.011405026,0.011007465,0.011330081,0.011652697,0.011975312,0.012297928,0.012620544,0.012615918,0.012611293,0.012606667,0.012602042,0.012597416,0.012250781,0.011904146,0.01155751,0.011210875,0.01086424,0.010693299,0.010522358,0.010351416,0.010180475,0.010009534,0.009838593,0.009667652,0.00949671,0.009325769,0.009154828
"BFA",0.033570763,0.032942287,0.03231381,0.031685334,0.031056857,0.030428381,0.0298578,0.029287218,0.028716637,0.028146055,0.027575474,0.027067885,0.026560296,0.026052708,0.025545119,0.02503753,0.024506786,0.023976042,0.023445297,0.022914553,0.022383809,0.021700851,0.021017893,0.020334934,0.019651976,0.018969018,0.017849414,0.01672981,0.015610205,0.014490601,0.013370997,0.013363604,0.013356211,0.013348818,0.013341425,0.013334032,0.013514632,0.013695232,0.013875833,0.014056433,0.014237033,0.014226225,0.014215417,0.01420461,0.014193802,0.014182994,0.014086546,0.013990099,0.013893651,0.013797204,0.013700756,0.013398831,0.013096906,0.012794982,0.012493057,0.012191132,0.011841511,0.011491889,0.011142268,0.010792646,0.010443025,0.010093404,0.009743782,0.009394161,0.009044539,0.008694918
"BGD",0.013937196,0.013730992,0.013524787,0.013318583,0.013112378,0.012906174,0.012707661,0.012509148,0.012310634,0.012112121,0.011913608,0.011720831,0.011528054,0.011335276,0.011142499,0.010949722,0.011138126,0.011326529,0.011514933,0.011703336,0.01189174,0.011331094,0.010770448,0.010209803,0.009649157,0.009088511,0.008910063,0.008731615,0.008553168,0.00837472,0.008196272,0.008022628,0.007848984,0.00767534,0.007501695,0.007328051,0.007159223,0.006990395,0.006821567,0.006652739,0.006483911,0.006323889,0.006163867,0.006003845,0.005843823,0.005683801,0.005459726,0.005235651,0.005011576,0.004787501,0.004563426,0.004361825,0.004160225,0.003958624,0.003757023,0.003555422,0.003514338,0.003473253,0.003432169,0.003391084,0.00335,0.003308916,0.003267831,0.003226747,0.003185662,0.003144578
"BGR",0.005097435,0.00461025,0.004123065,0.00363588,0.003148695,0.00266151,0.002523838,0.002386165,0.002248493,0.002110821,0.001973148,0.001903264,0.00183338,0.001763496,0.001693612,0.001623728,0.001611749,0.00159977,0.001587791,0.001575812,0.001563833,0.001581792,0.00159975,0.001617709,0.001635668,0.001653626,0.001620684,0.001587741,0.001554799,0.001521857,0.001488914,0.001475922,0.001462929,0.001449936,0.001436944,0.001423951,0.001421959,0.001419967,0.001417975,0.001415983,0.001413991,0.001434968,0.001455946,0.001476924,0.001497901,0.001518879,0.001440984,0.001363089,0.001285194,0.0012073,0.001129405,0.001139393,0.001149381,0.00115937,0.001169358,0.001179347,0.001103413,0.00102748,0.000951547,0.000875613,0.00079968,0.000723747,0.000647814,0.00057188,0.000495947,0.000420014
"BHR",0.016881298,0.015658438,0.014435579,0.013212719,0.01198986,0.010767,0.0100018,0.0092366,0.0084714,0.0077062,0.006941,0.0064686,0.0059962,0.0055238,0.0050514,0.004579,0.0042902,0.0040014,0.0037126,0.0034238,0.003135,0.0029594,0.0027838,0.0026082,0.0024326,0.002257,0.0021524,0.0020478,0.0019432,0.0018386,0.001734,0.001671997,0.001609994,0.001547991,0.001485988,0.001423985,0.001382041,0.001340096,0.001298152,0.001256207,0.001214262,0.001175306,0.001136349,0.001097393,0.001058437,0.00101948,0.000973522,0.000927563,0.000881605,0.000835646,0.000789688,0.000743719,0.00069775,0.000651781,0.000605812,0.000559843,0.000548596,0.000537349,0.000526102,0.000514855,0.000503608,0.000492361,0.000481114,0.000469867,0.00045862,0.000447373
"BHS",0.006959138,0.006619277,0.006279417,0.005939556,0.005599696,0.005259836,0.005002798,0.00474576,0.004488722,0.004231684,0.003974647,0.003780319,0.003585991,0.003391664,0.003197336,0.003003008,0.002856132,0.002709255,0.002562379,0.002415502,0.002268626,0.002157637,0.002046648,0.001935659,0.00182467,0.001713681,0.001629825,0.001545968,0.001462111,0.001378255,0.001294398,0.001231048,0.001167699,0.001104349,0.001040999,0.00097765,0.000979023,0.000980396,0.000981769,0.000983142,0.000984515,0.001020476,0.001056438,0.001092399,0.00112836,0.001164322,0.001161325,0.001158329,0.001155332,0.001152336,0.001149339,0.001119371,0.001089404,0.001059436,0.001029468,0.0009995,0.000975844,0.000952188,0.000928532,0.000904877,0.000881221,0.000857565,0.000833909,0.000810253,0.000786597,0.000762941
"BIH",0.003801626,0.003702453,0.00360328,0.003504108,0.003404935,0.003305762,0.003219525,0.003133288,0.00304705,0.002960813,0.002874576,0.002808435,0.002742295,0.002676154,0.002610014,0.002543873,0.002452127,0.002360381,0.002268634,0.002176888,0.002085142,0.002030747,0.001976352,0.001921957,0.001867562,0.001813167,0.001765867,0.001718567,0.001671267,0.001623967,0.001576667,0.001548,0.001519334,0.001490667,0.001462,0.001433333,0.001546267,0.001659201,0.001772135,0.001885068,0.001998002,0.001814402,0.001630801,0.001447201,0.0012636,0.00108,0.001048,0.001016,0.000984,0.000952,0.00092,0.000908,0.000896,0.000884,0.000872,0.00086,0.00084353,0.000827059,0.000810589,0.000794118,0.000777648,0.000761177,0.000744707,0.000728236,0.000711766,0.000695295
