"male_40.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.032619035,0.03118169,0.029744344,0.028306999,0.026869653,0.025432308,0.024800192,0.024168076,0.02353596,0.022903844,0.022271728,0.021724345,0.021176963,0.02062958,0.020082198,0.019534815,0.019165944,0.018797073,0.018428201,0.01805933,0.017690459,0.017252726,0.016814993,0.016377261,0.015939528,0.015501795,0.014956544,0.014411294,0.013866043,0.013320793,0.012775542,0.012684509,0.012593476,0.012502443,0.01241141,0.012320377,0.012230473,0.012140569,0.012050666,0.011960762,0.011870858,0.011841178,0.011811498,0.011781818,0.011752138,0.011722458,0.011629857,0.011537256,0.011444655,0.011352054,0.011259453,0.01106846,0.010877467,0.010686473,0.01049548,0.010304487,0.010128442,0.009952397,0.009776353,0.009600308,0.009424263,0.009248218,0.009072174,0.008896129,0.008720084,0.008544039
"AFG",0.11681998,0.114871124,0.112922268,0.110973412,0.109024556,0.1070757,0.105450705,0.10382571,0.102200714,0.100575719,0.098950724,0.09747896,0.096007196,0.094535431,0.093063667,0.091591903,0.09017841,0.088764917,0.087351425,0.085937932,0.084524439,0.083019135,0.081513832,0.080008528,0.078503225,0.076997921,0.07526513,0.07353234,0.071799549,0.070066759,0.068333968,0.066353481,0.064372994,0.062392507,0.06041202,0.058431533,0.056682828,0.054934123,0.053185417,0.051436712,0.049688007,0.048685023,0.047682038,0.046679054,0.045676069,0.044673085,0.043560022,0.042446958,0.041333895,0.040220831,0.039107768,0.037888827,0.036669885,0.035450944,0.034232002,0.033013061,0.032192578,0.031372095,0.030551613,0.02973113,0.028910647,0.028090164,0.027269681,0.026449199,0.025628716,0.024808233
"AGO",0.094305507,0.093622978,0.09294045,0.092257921,0.091575393,0.090892864,0.090001497,0.089110131,0.088218764,0.087327398,0.086436031,0.08536675,0.084297469,0.083228187,0.082158906,0.081089625,0.08002865,0.078967674,0.077906699,0.076845723,0.075784748,0.074832899,0.073881051,0.072929202,0.071977354,0.071025505,0.070735453,0.070445401,0.07015535,0.069865298,0.069575246,0.0693371,0.069098955,0.068860809,0.068622664,0.068384518,0.068149569,0.06791462,0.06767967,0.067444721,0.067209772,0.06608222,0.064954668,0.063827116,0.062699564,0.061572012,0.059616543,0.057661075,0.055705606,0.053750138,0.051794669,0.049878398,0.047962128,0.046045857,0.044129587,0.042213316,0.040764813,0.03931631,0.037867808,0.036419305,0.034970802,0.033522299,0.032073796,0.030625294,0.029176791,0.027728288
"ALB",0.026874728,0.025592171,0.024309615,0.023027058,0.021744502,0.020461945,0.019122555,0.017783165,0.016443774,0.015104384,0.013764994,0.013849384,0.013933774,0.014018164,0.014102554,0.014186944,0.014367422,0.014547899,0.014728377,0.014908854,0.015089332,0.014641709,0.014194086,0.013746462,0.013298839,0.012851216,0.012660244,0.012469273,0.012278301,0.01208733,0.011896358,0.011785878,0.011675398,0.011564919,0.011454439,0.011343959,0.011622177,0.011900395,0.012178613,0.012456831,0.012735049,0.012490247,0.012245444,0.012000642,0.011755839,0.011511037,0.011316005,0.011120974,0.010925942,0.010730911,0.010535879,0.01008798,0.009640081,0.009192182,0.008744284,0.008296385,0.008026721,0.007757058,0.007487394,0.007217731,0.006948068,0.006678404,0.006408741,0.006139077,0.005869414,0.00559975
"ARE",0.054488,0.0524616,0.0504352,0.0484088,0.0463824,0.044356,0.0426996,0.0410432,0.0393868,0.0377304,0.036074,0.0347278,0.0333816,0.0320354,0.0306892,0.029343,0.0282554,0.0271678,0.0260802,0.0249926,0.023905,0.0230294,0.0221538,0.0212782,0.0204026,0.019527,0.0188248,0.0181226,0.0174204,0.0167182,0.016016,0.0154538,0.0148916,0.0143294,0.0137672,0.013205,0.012753,0.012301,0.011849,0.011397,0.010945,0.0105784,0.0102118,0.0098452,0.0094786,0.009112,0.0088262,0.0085404,0.0082546,0.0079688,0.007683,0.0074704,0.0072578,0.0070452,0.0068326,0.00662,0.006512601,0.006405202,0.006297803,0.006190404,0.006083004,0.005975605,0.005868206,0.005760807,0.005653408,0.005546009
"ARG",0.03084,0.030076,0.029312,0.028548,0.027784,0.02702,0.026628,0.026236,0.025844,0.025452,0.02506,0.025478,0.025896,0.026314,0.026732,0.02715,0.026914,0.026678,0.026442,0.026206,0.02597,0.025738,0.025506,0.025274,0.025042,0.02481,0.024362,0.023914,0.023466,0.023018,0.02257,0.022338,0.022106,0.021874,0.021642,0.02141,0.020982,0.020554,0.020126,0.019698,0.01927,0.019066,0.018862,0.018658,0.018454,0.01825,0.018134,0.018018,0.017902,0.017786,0.01767,0.017443698,0.017217395,0.016991093,0.01676479,0.016538488,0.016329441,0.016120394,0.015911348,0.015702301,0.015493254,0.015284207,0.01507516,0.014866114,0.014657067,0.01444802
"ARM",0.03165543,0.030695092,0.029734754,0.028774417,0.027814079,0.026853741,0.025991846,0.025129951,0.024268056,0.023406161,0.022544266,0.021881748,0.021219229,0.020556711,0.019894192,0.019231674,0.018814673,0.018397672,0.017980672,0.017563671,0.01714667,0.017348018,0.017549366,0.017750713,0.017952061,0.018153409,0.018130101,0.018106793,0.018083486,0.018060178,0.01803687,0.018839797,0.019642724,0.020445652,0.021248579,0.022051506,0.023203365,0.024355225,0.025507084,0.026658944,0.027810803,0.026886808,0.025962813,0.025038817,0.024114822,0.023190827,0.022257986,0.021325144,0.020392303,0.019459461,0.01852662,0.018933449,0.019340277,0.019747106,0.020153934,0.020560763,0.020284423,0.020008084,0.019731744,0.019455405,0.019179065,0.018902725,0.018626386,0.018350046,0.018073707,0.017797367
"ATG",0.03136318,0.030847744,0.030332308,0.029816872,0.029301436,0.028786,0.028451904,0.028117808,0.027783712,0.027449616,0.02711552,0.026936112,0.026756704,0.026577296,0.026397888,0.02621848,0.026045174,0.025871868,0.025698562,0.025525256,0.02535195,0.025184528,0.025017106,0.024849684,0.024682262,0.02451484,0.024353632,0.024192424,0.024031216,0.023870008,0.0237088,0.023551622,0.023394444,0.023237266,0.023080088,0.02292291,0.022770546,0.022618182,0.022465818,0.022313454,0.02216109,0.022013894,0.021866698,0.021719502,0.021572306,0.02142511,0.021283218,0.021141326,0.020999434,0.020857542,0.02071565,0.02057907,0.02044249,0.02030591,0.02016933,0.02003275,0.01978293,0.01953311,0.01928329,0.01903347,0.01878365,0.01853383,0.01828401,0.01803419,0.01778437,0.01753455
"AUS",0.018887288,0.018611588,0.018335888,0.018060187,0.017784487,0.017508787,0.017722679,0.017936571,0.018150463,0.018364355,0.018578247,0.018614805,0.018651363,0.018687921,0.018724479,0.018761037,0.018362098,0.017963158,0.017564219,0.017165279,0.01676634,0.01643843,0.01611052,0.015782609,0.015454699,0.015126789,0.014556634,0.01398648,0.013416325,0.012846171,0.012276016,0.011970126,0.011664236,0.011358345,0.011052455,0.010746565,0.010554172,0.01036178,0.010169387,0.009976994,0.009784602,0.00972799,0.009671377,0.009614765,0.009558153,0.00950154,0.009341114,0.009180687,0.00902026,0.008859833,0.008699407,0.008592146,0.008484885,0.008377625,0.008270364,0.008163104,0.008031614,0.007900125,0.007768635,0.007637146,0.007505656,0.007374166,0.007242677,0.007111187,0.006979698,0.006848208
"AUT",0.019893689,0.019636068,0.019378447,0.019120826,0.018863205,0.018605584,0.018568121,0.018530659,0.018493196,0.018455734,0.018418271,0.018710316,0.019002362,0.019294407,0.019586453,0.019878498,0.020128791,0.020379085,0.020629378,0.020879672,0.021129965,0.020869817,0.020609669,0.020349522,0.020089374,0.019829226,0.019587917,0.019346608,0.019105298,0.018863989,0.01862268,0.018167687,0.017712694,0.017257701,0.016802708,0.016347715,0.016015093,0.015682472,0.01534985,0.015017229,0.014684607,0.01424211,0.013799612,0.013357115,0.012914617,0.01247212,0.012030013,0.011587907,0.0111458,0.010703694,0.010261587,0.009847063,0.00943254,0.009018016,0.008603493,0.008188969,0.008011375,0.007833781,0.007656188,0.007478594,0.007301,0.007123406,0.006945812,0.006768219,0.006590625,0.006413031
