"female_50.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.049510056,0.048028984,0.046547911,0.045066839,0.043585766,0.042104694,0.041111877,0.04011906,0.039126243,0.038133426,0.037140609,0.036490153,0.035839697,0.035189242,0.034538786,0.03388833,0.032746971,0.031605612,0.030464252,0.029322893,0.028181534,0.02739641,0.026611285,0.025826161,0.025041036,0.024255912,0.023856986,0.02345806,0.023059133,0.022660207,0.022261281,0.022001727,0.021742173,0.021482619,0.021223065,0.020963511,0.020879163,0.020794814,0.020710466,0.020626117,0.020541769,0.020458526,0.020375283,0.020292039,0.020208796,0.020125553,0.020047216,0.019968878,0.019890541,0.019812203,0.019733866,0.019452938,0.01917201,0.018891081,0.018610153,0.018329225,0.018077556,0.017825888,0.017574219,0.017322551,0.017070882,0.016819213,0.016567545,0.016315876,0.016064208,0.015812539
"AFG",0.13336736,0.131425306,0.129483252,0.127541198,0.125599144,0.12365709,0.1220387,0.12042031,0.11880192,0.11718353,0.11556514,0.114127678,0.112690216,0.111252754,0.109815292,0.10837783,0.106976206,0.105574582,0.104172958,0.102771334,0.10136971,0.099872109,0.098374509,0.096876908,0.095379308,0.093881707,0.09216486,0.090448013,0.088731165,0.087014318,0.085297471,0.08320174,0.08110601,0.079010279,0.076914549,0.074818818,0.07309976,0.071380702,0.069661645,0.067942587,0.066223529,0.065259206,0.064294883,0.06333056,0.062366237,0.061401914,0.060340906,0.059279898,0.05821889,0.057157882,0.056096874,0.05489496,0.053693045,0.052491131,0.051289216,0.050087302,0.049244487,0.048401672,0.047558858,0.046716043,0.045873228,0.045030413,0.044187598,0.043344784,0.042501969,0.041659154
"AGO",0.10536002,0.104629514,0.103899008,0.103168502,0.102437996,0.10170749,0.100773184,0.099838878,0.098904572,0.097970266,0.09703596,0.095928344,0.094820729,0.093713113,0.092605498,0.091497882,0.090455314,0.089412746,0.088370177,0.087327609,0.086285041,0.085298332,0.084311624,0.083324915,0.082338207,0.081351498,0.080782634,0.080213769,0.079644905,0.07907604,0.078507176,0.078185389,0.077863602,0.077541815,0.077220028,0.076898241,0.076445752,0.075993262,0.075540773,0.075088283,0.074635794,0.073557424,0.072479054,0.071400683,0.070322313,0.069243943,0.067318347,0.065392752,0.063467156,0.061541561,0.059615965,0.057756647,0.05589733,0.054038012,0.052178695,0.050319377,0.04876918,0.047218982,0.045668785,0.044118587,0.04256839,0.041018193,0.039467995,0.037917798,0.0363676,0.034817403
"ALB",0.041317217,0.039948257,0.038579298,0.037210338,0.035841379,0.034472419,0.032520638,0.030568856,0.028617075,0.026665293,0.024713512,0.025010337,0.025307161,0.025603986,0.02590081,0.026197635,0.025967174,0.025736713,0.025506253,0.025275792,0.025045331,0.024471681,0.02389803,0.02332438,0.022750729,0.022177079,0.0214369,0.020696721,0.019956543,0.019216364,0.018476185,0.017716935,0.016957686,0.016198436,0.015439187,0.014679937,0.014939351,0.015198765,0.015458178,0.015717592,0.015977006,0.01585668,0.015736354,0.015616028,0.015495702,0.015375376,0.014884449,0.014393522,0.013902594,0.013411667,0.01292074,0.012891125,0.01286151,0.012831896,0.012802281,0.012772666,0.012565184,0.012357702,0.01215022,0.011942738,0.011735256,0.011527774,0.011320292,0.01111281,0.010905328,0.010697846
"ARE",0.059369,0.0587856,0.0582022,0.0576188,0.0570354,0.056452,0.0558638,0.0552756,0.0546874,0.0540992,0.053511,0.0528894,0.0522678,0.0516462,0.0510246,0.050403,0.0497274,0.0490518,0.0483762,0.0477006,0.047025,0.0462834,0.0455418,0.0448002,0.0440586,0.043317,0.0425068,0.0416966,0.0408864,0.0400762,0.039266,0.0383954,0.0375248,0.0366542,0.0357836,0.034913,0.0339906,0.0330682,0.0321458,0.0312234,0.030301,0.0293052,0.0283094,0.0273136,0.0263178,0.025322,0.02426514,0.02320828,0.02215142,0.02109456,0.0200377,0.01906938,0.01810106,0.017132741,0.016164421,0.015196101,0.01493902,0.014681939,0.014424858,0.014167777,0.013910696,0.013653615,0.013396534,0.013139453,0.012882372,0.012625291
"ARG",0.04192,0.040682,0.039444,0.038206,0.036968,0.03573,0.035076,0.034422,0.033768,0.033114,0.03246,0.031984,0.031508,0.031032,0.030556,0.03008,0.029834,0.029588,0.029342,0.029096,0.02885,0.028612,0.028374,0.028136,0.027898,0.02766,0.027316,0.026972,0.026628,0.026284,0.02594,0.025762,0.025584,0.025406,0.025228,0.02505,0.02472,0.02439,0.02406,0.02373,0.0234,0.023142,0.022884,0.022626,0.022368,0.02211,0.021926,0.021742,0.021558,0.021374,0.02119,0.020649349,0.020108698,0.019568047,0.019027396,0.018486745,0.018222212,0.017957679,0.017693145,0.017428612,0.017164079,0.016899546,0.016635013,0.016370479,0.016105946,0.015841413
"ARM",0.038993816,0.037865487,0.036737158,0.03560883,0.034480501,0.033352172,0.03230594,0.031259708,0.030213476,0.029167244,0.028121012,0.027296998,0.026472984,0.025648969,0.024824955,0.024000941,0.023509574,0.023018207,0.02252684,0.022035473,0.021544106,0.021721693,0.02189928,0.022076868,0.022254455,0.022432042,0.022461902,0.022491763,0.022521623,0.022551484,0.022581344,0.024230921,0.025880498,0.027530076,0.029179653,0.03082923,0.030137796,0.029446362,0.028754927,0.028063493,0.027372059,0.02680986,0.026247661,0.025685462,0.025123263,0.024561064,0.023698051,0.022835039,0.021972026,0.021109014,0.020246001,0.02047537,0.020704739,0.020934109,0.021163478,0.021392847,0.020935678,0.020478509,0.02002134,0.019564171,0.019107002,0.018649833,0.018192664,0.017735495,0.017278326,0.016821157
"ATG",0.05925576,0.058554848,0.057853936,0.057153024,0.056452112,0.0557512,0.055061058,0.054370916,0.053680774,0.052990632,0.05230049,0.051624012,0.050947534,0.050271056,0.049594578,0.0489181,0.048286332,0.047654564,0.047022796,0.046391028,0.04575926,0.045166776,0.044574292,0.043981808,0.043389324,0.04279684,0.042242128,0.041687416,0.041132704,0.040577992,0.04002328,0.039503652,0.038984024,0.038464396,0.037944768,0.03742514,0.036938696,0.036452252,0.035965808,0.035479364,0.03499292,0.03453715,0.03408138,0.03362561,0.03316984,0.03271407,0.03228793,0.03186179,0.03143565,0.03100951,0.03058337,0.030185188,0.029787006,0.029388824,0.028990642,0.02859246,0.02820433,0.027816199,0.027428069,0.027039938,0.026651808,0.026263678,0.025875547,0.025487417,0.025099286,0.024711156
"AUS",0.033250542,0.032260002,0.031269462,0.030278922,0.029288382,0.028297842,0.028211771,0.028125701,0.02803963,0.02795356,0.027867489,0.028083447,0.028299405,0.028515362,0.02873132,0.028947278,0.028427629,0.027907979,0.02738833,0.02686868,0.026349031,0.025616008,0.024882985,0.024149961,0.023416938,0.022683915,0.022057549,0.021431183,0.020804818,0.020178452,0.019552086,0.019054339,0.018556592,0.018058845,0.017561098,0.017063351,0.016603106,0.016142861,0.015682617,0.015222372,0.014762127,0.014438542,0.014114957,0.013791373,0.013467788,0.013144203,0.012801134,0.012458065,0.012114997,0.011771928,0.011428859,0.011319876,0.011210892,0.011101909,0.010992925,0.010883942,0.010827383,0.010770824,0.010714264,0.010657705,0.010601146,0.010544587,0.010488028,0.010431468,0.010374909,0.01031835
"AUT",0.032663748,0.031881595,0.031099441,0.030317288,0.029535134,0.028752981,0.028276398,0.027799816,0.027323233,0.026846651,0.026370068,0.026206,0.026041932,0.025877864,0.025713796,0.025549728,0.025337246,0.025124763,0.024912281,0.024699798,0.024487316,0.024070676,0.023654035,0.023237395,0.022820754,0.022404114,0.02208035,0.021756587,0.021432823,0.02110906,0.020785296,0.020136203,0.01948711,0.018838016,0.018188923,0.01753983,0.017360231,0.017180633,0.017001034,0.016821436,0.016641837,0.016570117,0.016498397,0.016426677,0.016354957,0.016283237,0.015875568,0.015467899,0.015060229,0.01465256,0.014244891,0.013921938,0.013598985,0.013276033,0.01295308,0.012630127,0.012388002,0.012145876,0.011903751,0.011661625,0.0114195,0.011177375,0.010935249,0.010693124,0.010450998,0.010208873
