"female_45.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.035678529,0.034478073,0.033277618,0.032077162,0.030876707,0.029676251,0.028871281,0.028066311,0.027261342,0.026456372,0.025651402,0.025124153,0.024596904,0.024069656,0.023542407,0.023015158,0.022150474,0.02128579,0.020421105,0.019556421,0.018691737,0.018140112,0.017588488,0.017036863,0.016485239,0.015933614,0.015658049,0.015382485,0.01510692,0.014831356,0.014555791,0.014382684,0.014209577,0.014036471,0.013863364,0.013690257,0.013634056,0.013577856,0.013521655,0.013465455,0.013409254,0.013353817,0.013298379,0.013242942,0.013187504,0.013132067,0.013079921,0.013027776,0.01297563,0.012923485,0.012871339,0.012684541,0.012497743,0.012310944,0.012124146,0.011937348,0.011771796,0.011606245,0.011440693,0.011275142,0.01110959,0.010944038,0.010778487,0.010612935,0.010447384,0.010281832
"AFG",0.10396123,0.102386928,0.100812626,0.099238324,0.097664022,0.09608972,0.094777699,0.093465678,0.092153657,0.090841636,0.089529615,0.088363274,0.087196933,0.086030591,0.08486425,0.083697909,0.082561213,0.081424517,0.08028782,0.079151124,0.078014428,0.076800502,0.075586576,0.074372649,0.073158723,0.071944797,0.070552449,0.069160101,0.067767752,0.066375404,0.064983056,0.063283269,0.061583483,0.059883696,0.05818391,0.056484123,0.055074898,0.053665672,0.052256447,0.050847221,0.049437996,0.04863642,0.047834844,0.047033267,0.046231691,0.045430115,0.044555801,0.043681487,0.042807172,0.041932858,0.041058544,0.040076283,0.039094022,0.03811176,0.037129499,0.036147238,0.03546313,0.034779022,0.034094914,0.033410806,0.032726698,0.03204259,0.031358482,0.030674374,0.029990266,0.029306158
"AGO",0.087905108,0.087246918,0.086588728,0.085930537,0.085272347,0.084614157,0.08377335,0.082932543,0.082091735,0.081250928,0.080410121,0.079413741,0.078417361,0.077420981,0.076424601,0.075428221,0.074488736,0.07354925,0.072609765,0.071670279,0.070730794,0.069841839,0.068952884,0.06806393,0.067174975,0.06628602,0.06577441,0.0652628,0.06475119,0.06423958,0.06372797,0.063437843,0.063147716,0.06285759,0.062567463,0.062277336,0.061870554,0.061463772,0.06105699,0.060650208,0.060243426,0.059273052,0.058302678,0.057332305,0.056361931,0.055391557,0.053617841,0.051844124,0.050070408,0.048296691,0.046522975,0.044819371,0.043115767,0.041412162,0.039708558,0.038004954,0.036615847,0.03522674,0.033837634,0.032448527,0.03105942,0.029670313,0.028281206,0.0268921,0.025502993,0.024113886
"ALB",0.032558635,0.031420463,0.030282291,0.02914412,0.028005948,0.026867776,0.025276007,0.023684238,0.022092468,0.020500699,0.01890893,0.019114097,0.019319264,0.019524432,0.019729599,0.019934766,0.019722274,0.019509782,0.01929729,0.019084798,0.018872306,0.018423623,0.01797494,0.017526258,0.017077575,0.016628892,0.016066294,0.015503695,0.014941097,0.014378498,0.0138159,0.013244319,0.012672737,0.012101156,0.011529574,0.010957993,0.011158681,0.01135937,0.011560058,0.011760747,0.011961435,0.011798123,0.011634812,0.0114715,0.011308189,0.011144877,0.01077771,0.010410542,0.010043375,0.009676207,0.00930904,0.009269395,0.009229749,0.009190104,0.009150459,0.009110814,0.008882702,0.00865459,0.008426478,0.008198366,0.007970254,0.007742141,0.007514029,0.007285917,0.007057805,0.006829693
"ARE",0.044118,0.0431166,0.0421152,0.0411138,0.0401124,0.039111,0.0382122,0.0373134,0.0364146,0.0355158,0.034617,0.0338066,0.0329962,0.0321858,0.0313754,0.030565,0.029832,0.029099,0.028366,0.027633,0.0269,0.0262334,0.0255668,0.0249002,0.0242336,0.023567,0.0229618,0.0223566,0.0217514,0.0211462,0.020541,0.019992,0.019443,0.018894,0.018345,0.017796,0.0172928,0.0167896,0.0162864,0.0157832,0.01528,0.0147982,0.0143164,0.0138346,0.0133528,0.012871,0.012406875,0.01194275,0.011478625,0.0110145,0.010550375,0.010116059,0.009681743,0.009247427,0.008813112,0.008378796,0.008240014,0.008101232,0.00796245,0.007823668,0.007684886,0.007546104,0.007407322,0.00726854,0.007129758,0.006990977
"ARG",0.03016,0.029218,0.028276,0.027334,0.026392,0.02545,0.024676,0.023902,0.023128,0.022354,0.02158,0.021384,0.021188,0.020992,0.020796,0.0206,0.020442,0.020284,0.020126,0.019968,0.01981,0.019656,0.019502,0.019348,0.019194,0.01904,0.018808,0.018576,0.018344,0.018112,0.01788,0.017756,0.017632,0.017508,0.017384,0.01726,0.017014,0.016768,0.016522,0.016276,0.01603,0.015778,0.015526,0.015274,0.015022,0.01477,0.014634,0.014498,0.014362,0.014226,0.01409,0.013746806,0.013403613,0.013060419,0.012717226,0.012374032,0.012195406,0.01201678,0.011838154,0.011659528,0.011480902,0.011302276,0.01112365,0.010945024,0.010766398,0.010587772
"ARM",0.027428663,0.026519633,0.025610604,0.024701574,0.023792545,0.022883515,0.02206322,0.021242925,0.020422629,0.019602334,0.018782039,0.018186361,0.017590684,0.016995006,0.016399329,0.015803651,0.015449002,0.015094354,0.014739705,0.014385057,0.014030408,0.014148419,0.01426643,0.014384441,0.014502452,0.014620463,0.014633157,0.01464585,0.014658544,0.014671237,0.014683931,0.01589686,0.017109789,0.018322717,0.019535646,0.020748575,0.020181536,0.019614496,0.019047457,0.018480417,0.017913378,0.017501725,0.017090072,0.01667842,0.016266767,0.015855114,0.01525626,0.014657406,0.014058551,0.013459697,0.012860843,0.012918678,0.012976514,0.013034349,0.013092185,0.01315002,0.012800669,0.012451317,0.012101966,0.011752614,0.011403263,0.011053912,0.01070456,0.010355209,0.010005857,0.009656506
"ATG",0.0438266,0.043285272,0.042743944,0.042202616,0.041661288,0.04111996,0.040589482,0.040059004,0.039528526,0.038998048,0.03846757,0.037950106,0.037432642,0.036915178,0.036397714,0.03588025,0.035397524,0.034914798,0.034432072,0.033949346,0.03346662,0.033014422,0.032562224,0.032110026,0.031657828,0.03120563,0.030785334,0.030365038,0.029944742,0.029524446,0.02910415,0.02871017,0.02831619,0.02792221,0.02752823,0.02713425,0.02676862,0.02640299,0.02603736,0.02567173,0.0253061,0.024963232,0.024620364,0.024277496,0.023934628,0.02359176,0.023272184,0.022952608,0.022633032,0.022313456,0.02199388,0.02169726,0.02140064,0.02110402,0.0208074,0.02051078,0.020238001,0.019965223,0.019692444,0.019419666,0.019146887,0.018874108,0.01860133,0.018328551,0.018055773,0.017782994
"AUS",0.021879524,0.021396798,0.020914073,0.020431347,0.019948622,0.019465896,0.019265486,0.019065076,0.018864667,0.018664257,0.018463847,0.018478225,0.018492603,0.018506981,0.018521359,0.018535737,0.0183262,0.018116663,0.017907126,0.017697589,0.017488052,0.016867213,0.016246375,0.015625536,0.015004698,0.014383859,0.013932305,0.013480751,0.013029197,0.012577643,0.012126089,0.011808555,0.011491021,0.011173486,0.010855952,0.010538418,0.010229319,0.009920219,0.00961112,0.009302021,0.008992921,0.008843015,0.008693109,0.008543202,0.008393296,0.00824339,0.008126173,0.008008957,0.00789174,0.007774523,0.007657307,0.007598758,0.007540209,0.00748166,0.007423111,0.007364562,0.007301409,0.007238256,0.007175103,0.00711195,0.007048797,0.006985644,0.006922491,0.006859338,0.006796184,0.006733031
"AUT",0.022029186,0.021477188,0.02092519,0.020373192,0.019821194,0.019269196,0.018902446,0.018535696,0.018168947,0.017802197,0.017435447,0.017376586,0.017317725,0.017258864,0.017200003,0.017141142,0.016940046,0.016738949,0.016537853,0.016336756,0.01613566,0.015829648,0.015523637,0.015217625,0.014911614,0.014605602,0.014371437,0.014137271,0.013903106,0.01366894,0.013434775,0.013177757,0.012920739,0.012663721,0.012406703,0.012149685,0.012107106,0.012064527,0.012021947,0.011979368,0.011936789,0.011625307,0.011313825,0.011002343,0.010690861,0.010379379,0.010091037,0.009802695,0.009514352,0.00922601,0.008937668,0.008668871,0.008400074,0.008131278,0.007862481,0.007593684,0.007481421,0.007369158,0.007256895,0.007144632,0.00703237,0.006920107,0.006807844,0.006695581,0.006583318,0.006471055
