"male_65.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.19722006,0.19432129,0.19142252,0.18852375,0.18562498,0.18272621,0.181373846,0.180021482,0.178669118,0.177316754,0.17596439,0.174543782,0.173123174,0.171702566,0.170281958,0.16886135,0.16780941,0.16675747,0.16570553,0.16465359,0.16360165,0.162234286,0.160866922,0.159499558,0.158132194,0.15676483,0.15478427,0.15280371,0.15082315,0.14884259,0.14686203,0.146472334,0.146082638,0.145692942,0.145303246,0.14491355,0.144519302,0.144125054,0.143730806,0.143336558,0.14294231,0.142810012,0.142677714,0.142545416,0.142413118,0.14228082,0.141860856,0.141440892,0.141020928,0.140600964,0.140181,0.13927768,0.13837436,0.13747104,0.13656772,0.1356644,0.134601296,0.133538192,0.132475088,0.131411984,0.13034888,0.129285776,0.128222672,0.127159568,0.126096464,0.12503336
"AFG",0.34984141,0.34625526,0.34266911,0.33908296,0.33549681,0.33191066,0.32891673,0.3259228,0.32292887,0.31993494,0.31694101,0.314230676,0.311520342,0.308810008,0.306099674,0.30338934,0.300796836,0.298204332,0.295611828,0.293019324,0.29042682,0.287656356,0.284885892,0.282115428,0.279344964,0.2765745,0.27338454,0.27019458,0.26700462,0.26381466,0.2606247,0.25700372,0.25338274,0.24976176,0.24614078,0.2425198,0.239623014,0.236726228,0.233829442,0.230932656,0.22803587,0.22632283,0.22460979,0.22289675,0.22118371,0.21947067,0.217477874,0.215485078,0.213492282,0.211499486,0.20950669,0.207203718,0.204900746,0.202597774,0.200294802,0.19799183,0.196370038,0.194748246,0.193126454,0.191504662,0.18988287,0.188261078,0.186639286,0.185017494,0.183395702,0.18177391
"AGO",0.31326113,0.31157382,0.30988651,0.3081992,0.30651189,0.30482458,0.302590476,0.300356372,0.298122268,0.295888164,0.29365406,0.290992886,0.288331712,0.285670538,0.283009364,0.28034819,0.277707804,0.275067418,0.272427032,0.269786646,0.26714626,0.264773022,0.262399784,0.260026546,0.257653308,0.25528007,0.254557172,0.253834274,0.253111376,0.252388478,0.25166558,0.25106774,0.2504699,0.24987206,0.24927422,0.24867638,0.248082678,0.247488976,0.246895274,0.246301572,0.24570787,0.242897298,0.240086726,0.237276154,0.234465582,0.23165501,0.226974244,0.222293478,0.217612712,0.212931946,0.20825118,0.203929846,0.199608512,0.195287178,0.190965844,0.18664451,0.183146882,0.179649254,0.176151626,0.172653998,0.16915637,0.165658742,0.162161114,0.158663486,0.155165858,0.15166823
"ALB",0.15697045,0.153268022,0.149565594,0.145863166,0.142160738,0.13845831,0.13449448,0.13053065,0.12656682,0.12260299,0.11863916,0.121184708,0.123730256,0.126275804,0.128821352,0.1313669,0.1342574,0.1371479,0.1400384,0.1429289,0.1458194,0.144633808,0.143448216,0.142262624,0.141077032,0.13989144,0.140729116,0.141566792,0.142404468,0.143242144,0.14407982,0.142846312,0.141612804,0.140379296,0.139145788,0.13791228,0.140401774,0.142891268,0.145380762,0.147870256,0.15035975,0.148367944,0.146376138,0.144384332,0.142392526,0.14040072,0.135961024,0.131521328,0.127081632,0.122641936,0.11820224,0.118803962,0.119405684,0.120007406,0.120609128,0.12121085,0.11610411,0.110997369,0.105890629,0.100783888,0.095677148,0.090570408,0.085463667,0.080356927,0.075250186,0.070143446
"ARE",0.244749,0.2415926,0.2384362,0.2352798,0.2321234,0.228967,0.2259582,0.2229494,0.2199406,0.2169318,0.213923,0.211063,0.208203,0.205343,0.202483,0.199623,0.1969134,0.1942038,0.1914942,0.1887846,0.186075,0.1835138,0.1809526,0.1783914,0.1758302,0.173269,0.1708552,0.1684414,0.1660276,0.1636138,0.1612,0.158931,0.156662,0.154393,0.152124,0.149855,0.147726,0.145597,0.143468,0.141339,0.13921,0.1372146,0.1352192,0.1332238,0.1312284,0.129233,0.1273646,0.1254962,0.1236278,0.1217594,0.119891,0.1181442,0.1163974,0.1146506,0.1129038,0.111157,0.11003071,0.10890442,0.10777813,0.10665184,0.10552555,0.10439926,0.10327297,0.10214668,0.10102039,0.0998941
"ARG",0.2048,0.20209,0.19938,0.19667,0.19396,0.19125,0.192856,0.194462,0.196068,0.197674,0.19928,0.198552,0.197824,0.197096,0.196368,0.19564,0.194012,0.192384,0.190756,0.189128,0.1875,0.185912,0.184324,0.182736,0.181148,0.17956,0.177732,0.175904,0.174076,0.172248,0.17042,0.169758,0.169096,0.168434,0.167772,0.16711,0.165602,0.164094,0.162586,0.161078,0.15957,0.1579,0.15623,0.15456,0.15289,0.15122,0.150344,0.149468,0.148592,0.147716,0.14684,0.145511974,0.144183948,0.142855922,0.141527896,0.14019987,0.13861,0.13702013,0.13543026,0.13384039,0.13225052,0.13066065,0.12907078,0.12748091,0.12589104,0.12430117
"ARM",0.20818064,0.20512861,0.20207658,0.19902455,0.19597252,0.19292049,0.189901728,0.186882966,0.183864204,0.180845442,0.17782668,0.174337358,0.170848036,0.167358714,0.163869392,0.16038007,0.15816801,0.15595595,0.15374389,0.15153183,0.14931977,0.150733748,0.152147726,0.153561704,0.154975682,0.15638966,0.156530074,0.156670488,0.156810902,0.156951316,0.15709173,0.161507616,0.165923502,0.170339388,0.174755274,0.17917116,0.182563414,0.185955668,0.189347922,0.192740176,0.19613243,0.193622254,0.191112078,0.188601902,0.186091726,0.18358155,0.180605336,0.177629122,0.174652908,0.171676694,0.16870048,0.170461656,0.172222832,0.173984008,0.175745184,0.17750636,0.172415004,0.167323648,0.162232292,0.157140936,0.15204958,0.146958224,0.141866868,0.136775512,0.131684156,0.1265928
"ATG",0.25695758,0.253943366,0.250929152,0.247914938,0.244900724,0.24188651,0.238361674,0.234836838,0.231312002,0.227787166,0.22426233,0.220345078,0.216427826,0.212510574,0.208593322,0.20467607,0.201070286,0.197464502,0.193858718,0.190252934,0.18664715,0.183336808,0.180026466,0.176716124,0.173405782,0.17009544,0.16705826,0.16402108,0.1609839,0.15794672,0.15490954,0.152128132,0.149346724,0.146565316,0.143783908,0.1410025,0.138500026,0.135997552,0.133495078,0.130992604,0.12849013,0.12618283,0.12387553,0.12156823,0.11926093,0.11695363,0.114878364,0.112803098,0.110727832,0.108652566,0.1065773,0.104693338,0.102809376,0.100925414,0.099041452,0.09715749,0.096128816,0.095100142,0.094071468,0.093042794,0.09201412,0.090985446,0.089956772,0.088928098,0.087899424,0.08687075
"AUS",0.19240215,0.1921384,0.19187465,0.1916109,0.19134715,0.1910834,0.191187596,0.191291792,0.191395988,0.191500184,0.19160438,0.19317001,0.19473564,0.19630127,0.1978669,0.19943253,0.19631532,0.19319811,0.1900809,0.18696369,0.18384648,0.180073754,0.176301028,0.172528302,0.168755576,0.16498285,0.161297134,0.157611418,0.153925702,0.150239986,0.14655427,0.14349286,0.14043145,0.13737004,0.13430863,0.13124722,0.12802608,0.12480494,0.1215838,0.11836266,0.11514152,0.111584368,0.108027216,0.104470064,0.100912912,0.09735576,0.093749479,0.090143198,0.086536917,0.082930636,0.079324355,0.077147922,0.074971488,0.072795055,0.070618621,0.068442188,0.066956597,0.065471007,0.063985416,0.062499826,0.061014235,0.059528644,0.058043054,0.056557463,0.055071873,0.053586282
"AUT",0.19319245,0.193002328,0.192812206,0.192622084,0.192431962,0.19224184,0.193056254,0.193870668,0.194685082,0.195499496,0.19631391,0.198227172,0.200140434,0.202053696,0.203966958,0.20588022,0.20295361,0.200027,0.19710039,0.19417378,0.19124717,0.187414712,0.183582254,0.179749796,0.175917338,0.17208488,0.168652958,0.165221036,0.161789114,0.158357192,0.15492527,0.152269984,0.149614698,0.146959412,0.144304126,0.14164884,0.139918644,0.138188448,0.136458252,0.134728056,0.13299786,0.130701562,0.128405264,0.126108966,0.123812668,0.12151637,0.116861374,0.112206378,0.107551381,0.102896385,0.098241389,0.095810627,0.093379865,0.090949104,0.088518342,0.08608758,0.086104064,0.086120548,0.086137032,0.086153516,0.08617,0.086186484,0.086202968,0.086219452,0.086235936,0.08625242
