"female_15.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.011220544,0.010549249,0.009877954,0.009206659,0.008535363,0.007864068,0.007442687,0.007021306,0.006599924,0.006178543,0.005757162,0.005509555,0.005261949,0.005014342,0.004766736,0.00451913,0.00422346,0.00392779,0.00363212,0.003336451,0.003040781,0.002917288,0.002793795,0.002670302,0.00254681,0.002423317,0.002367805,0.002312293,0.002256781,0.002201269,0.002145757,0.002118251,0.002090746,0.00206324,0.002035734,0.002008228,0.00199933,0.001990431,0.001981533,0.001972635,0.001963736,0.001954974,0.001946213,0.001937451,0.001928689,0.001919927,0.0019117,0.001903472,0.001895245,0.001887018,0.001878791,0.001849437,0.001820083,0.001790729,0.001761375,0.001732021,0.001707698,0.001683376,0.001659053,0.001634731,0.001610408,0.001586085,0.001561763,0.00153744,0.001513117,0.001488795
"AFG",0.05229657,0.051367361,0.050438152,0.049508942,0.048579733,0.047650524,0.046876028,0.046101532,0.045327035,0.044552539,0.043778043,0.0430897,0.042401357,0.041713013,0.04102467,0.040336327,0.03966565,0.038994972,0.038324295,0.037653617,0.03698294,0.036266152,0.035549364,0.034832576,0.034115788,0.033399,0.032578184,0.031757367,0.030936551,0.030115734,0.029294918,0.028290693,0.027286468,0.026282244,0.025278019,0.024273794,0.023409902,0.02254601,0.021682119,0.020818227,0.019954335,0.019407095,0.018859855,0.018312614,0.017765374,0.017218134,0.016659324,0.016100514,0.015541704,0.014982894,0.014424084,0.013837139,0.013250194,0.012663249,0.012076304,0.011489359,0.011100043,0.010710727,0.010321411,0.009932095,0.009542779,0.009153463,0.008764147,0.008374831,0.007985515,0.007596199
"AGO",0.043099063,0.042738753,0.042378443,0.042018132,0.041657822,0.041297512,0.040838338,0.040379165,0.039919991,0.039460818,0.039001644,0.038458174,0.037914703,0.037371233,0.036827762,0.036284292,0.035770717,0.035257142,0.034743567,0.034229992,0.033716417,0.033230624,0.032744832,0.032259039,0.031773247,0.031287454,0.031008613,0.030729773,0.030450932,0.030172092,0.029893251,0.029734235,0.029575219,0.029416202,0.029257186,0.02909817,0.028876378,0.028654585,0.028432793,0.028211,0.027989208,0.027459469,0.026929731,0.026399992,0.025870254,0.025340515,0.024292312,0.023244109,0.022195906,0.021147703,0.0200995,0.019079042,0.018058584,0.017038125,0.016017667,0.014997209,0.014231148,0.013465088,0.012699027,0.011932967,0.011166906,0.010400845,0.009634785,0.008868724,0.008102664,0.007336603
"ALB",0.011869713,0.01129359,0.010717467,0.010141344,0.009565221,0.008989098,0.008261776,0.007534454,0.006807132,0.00607981,0.005352488,0.005343762,0.005335037,0.005326311,0.005317586,0.00530886,0.005147785,0.00498671,0.004825635,0.004664559,0.004503484,0.004336708,0.004169931,0.004003154,0.003836378,0.003669601,0.003499421,0.003329241,0.00315906,0.00298888,0.002818699,0.002673261,0.002527823,0.002382384,0.002236946,0.002091508,0.002135538,0.002179569,0.002223599,0.00226763,0.00231166,0.002250587,0.002189513,0.002128439,0.002067365,0.002006291,0.001934781,0.001863271,0.001791761,0.00172025,0.00164874,0.00162877,0.0016088,0.001588829,0.001568859,0.001548889,0.00146899,0.001389091,0.001309192,0.001229293,0.001149394,0.001069495,0.000989596,0.000909697,0.000829798,0.000749899
"ARE",0.022104,0.0207614,0.0194188,0.0180762,0.0167336,0.015391,0.0144696,0.0135482,0.0126268,0.0117054,0.010784,0.0101616,0.0095392,0.0089168,0.0082944,0.007672,0.0072556,0.0068392,0.0064228,0.0060064,0.00559,0.0053144,0.0050388,0.0047632,0.0044876,0.004212,0.0040316,0.0038512,0.0036708,0.0034904,0.00331,0.0031942,0.0030784,0.0029626,0.0028468,0.002731,0.0026612,0.0025914,0.0025216,0.0024518,0.002382,0.0023332,0.0022844,0.0022356,0.0021868,0.002138,0.002090058,0.002042116,0.001994174,0.001946231,0.001898289,0.001837391,0.001776493,0.001715595,0.001654697,0.0015938,0.001560617,0.001527434,0.001494251,0.001461068,0.001427885,0.001394702,0.001361519,0.001328336,0.001295153,0.00126197
"ARG",0.00908,0.008616,0.008152,0.007688,0.007224,0.00676,0.006426,0.006092,0.005758,0.005424,0.00509,0.00496,0.00483,0.0047,0.00457,0.00444,0.00435,0.00426,0.00417,0.00408,0.00399,0.003902,0.003814,0.003726,0.003638,0.00355,0.003442,0.003334,0.003226,0.003118,0.00301,0.002962,0.002914,0.002866,0.002818,0.00277,0.00268,0.00259,0.0025,0.00241,0.00232,0.002242,0.002164,0.002086,0.002008,0.00193,0.001906,0.001882,0.001858,0.001834,0.00181,0.001767667,0.001725335,0.001683002,0.00164067,0.001598337,0.001575693,0.001553049,0.001530404,0.00150776,0.001485116,0.001462472,0.001439827,0.001417183,0.001394539,0.001371894
"ARM",0.002942785,0.002801123,0.00265946,0.002517798,0.002376135,0.002234473,0.00211894,0.002003407,0.001887874,0.001772341,0.001656808,0.001580828,0.001504849,0.001428869,0.00135289,0.00127691,0.001233277,0.001189644,0.001146011,0.001102378,0.001058745,0.001068644,0.001078543,0.001088442,0.001098341,0.001108239,0.001105944,0.001103649,0.001101353,0.001099058,0.001096763,0.001261013,0.001425263,0.001589513,0.001753763,0.001918013,0.001889578,0.001861143,0.001832709,0.001804274,0.001775839,0.001716272,0.001656705,0.001597138,0.001537571,0.001478004,0.00140805,0.001338096,0.001268143,0.001198189,0.001128235,0.001135465,0.001142694,0.001149924,0.001157153,0.001164383,0.001196837,0.001229291,0.001261744,0.001294198,0.001326652,0.001359105,0.001391559,0.001424013,0.001456467,0.00148892
"ATG",0.00388728,0.003847278,0.003807276,0.003767274,0.003727272,0.00368727,0.003648844,0.003610418,0.003571992,0.003533566,0.00349514,0.003457324,0.003419508,0.003381692,0.003343876,0.00330606,0.00327313,0.0032402,0.00320727,0.00317434,0.00314141,0.00310976,0.00307811,0.00304646,0.00301481,0.00298316,0.00295279,0.00292242,0.00289205,0.00286168,0.00283131,0.002803454,0.002775598,0.002747742,0.002719886,0.00269203,0.002666584,0.002641138,0.002615692,0.002590246,0.0025648,0.002539326,0.002513852,0.002488378,0.002462904,0.00243743,0.002413616,0.002389802,0.002365988,0.002342174,0.00231836,0.002296332,0.002274304,0.002252276,0.002230248,0.00220822,0.002171022,0.002133824,0.002096626,0.002059428,0.002022231,0.001985033,0.001947835,0.001910637,0.001873439,0.001836241
"AUS",0.003055592,0.002958841,0.00286209,0.002765339,0.002668588,0.002571837,0.002567872,0.002563906,0.002559941,0.002555975,0.00255201,0.002601901,0.002651791,0.002701682,0.002751573,0.002801464,0.002810433,0.002819403,0.002828372,0.002837341,0.002846311,0.002770501,0.00269469,0.00261888,0.00254307,0.00246726,0.002386423,0.002305585,0.002224748,0.002143911,0.002063074,0.002055101,0.002047129,0.002039156,0.002031184,0.002023211,0.001949331,0.001875451,0.001801571,0.001727692,0.001653812,0.001666786,0.001679761,0.001692735,0.00170571,0.001718685,0.001646776,0.001574867,0.001502958,0.001431049,0.00135914,0.001326182,0.001293224,0.001260266,0.001227308,0.001194351,0.001172292,0.001150234,0.001128175,0.001106117,0.001084058,0.001062,0.001039941,0.001017883,0.000995824,0.000973766
"AUT",0.003793576,0.003649954,0.003506333,0.003362711,0.00321909,0.003075468,0.002951795,0.002828122,0.002704448,0.002580775,0.002457102,0.00246711,0.002477118,0.002487126,0.002497134,0.002507142,0.002605873,0.002704604,0.002803336,0.002902067,0.003000798,0.002903059,0.002805321,0.002707582,0.002609844,0.002512105,0.002467193,0.002422282,0.00237737,0.002332459,0.002287547,0.002189739,0.00209193,0.001994122,0.001896313,0.001798505,0.001784538,0.001770571,0.001756603,0.001742636,0.001728669,0.001683721,0.001638774,0.001593826,0.001548879,0.001503931,0.001522914,0.001541896,0.001560879,0.001579861,0.001598844,0.001522935,0.001447027,0.001371118,0.00129521,0.001219301,0.001161361,0.001103421,0.001045481,0.000987541,0.000929601,0.000871661,0.00081372,0.00075578,0.00069784,0.0006399
"AZE",0.003452466,0.003329522,0.003206579,0.003083636,0.002960693,0.00283775,0.002814988,0.002792227,0.002769465,0.002746703,0.002723942,0.002701179,0.002678416,0.002655653,0.00263289,0.002610127,0.00258736,0.002564594,0.002541828,0.002519061,0.002496295,0.002473525,0.002450754,0.002427984,0.002405213,0.002382443,0.00235967,0.002336897,0.002314124,0.002291351,0.002268578,0.002245804,0.002223029,0.002200255,0.00217748,0.002154706,0.002211009,0.002267313,0.002323617,0.002379921,0.002436225,0.002431372,0.002426519,0.002421666,0.002416813,0.00241196,0.002428634,0.002445309,0.002461983,0.002478658,0.002495332,0.002339298,0.002183264,0.002027229,0.001871195,0.001715161,0.001684256,0.001653351,0.001622446,0.001591541,0.001560636,0.001529731,0.001498826,0.001467921,0.001437016,0.001406111
"BDI",0.032497623,0.032140724,0.031783825,0.031426925,0.031070026,0.030713127,0.030365435,0.030017743,0.029670052,0.02932236,0.028974668,0.028643075,0.028311483,0.02797989,0.027648298,0.027316705,0.027165049,0.027013393,0.026861738,0.026710082,0.026558426,0.026111754,0.025665083,0.025218411,0.02477174,0.024325068,0.024007811,0.023690554,0.023373296,0.023056039,0.022738782,0.022513037,0.022287291,0.022061546,0.0218358,0.021610055,0.021982979,0.022355903,0.022728827,0.023101751,0.023474675,0.02268551,0.021896345,0.021107179,0.020318014,0.019528849,0.019119282,0.018709714,0.018300147,0.017890579,0.017481012,0.017177412,0.016873813,0.016570213,0.016266614,0.015963014,0.015715324,0.015467634,0.015219945,0.014972255,0.014724565,0.014476875,0.014229185,0.013981496,0.013733806,0.013486116
