"male_5.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.009788732,0.009209282,0.008629832,0.008050382,0.007470933,0.006891483,0.006642188,0.006392892,0.006143597,0.005894302,0.005645006,0.005445791,0.005246576,0.005047361,0.004848145,0.00464893,0.004522273,0.004395616,0.00426896,0.004142303,0.004015646,0.003881029,0.003746412,0.003611795,0.003477178,0.003342561,0.003186652,0.003030743,0.002874834,0.002718925,0.002563016,0.002538737,0.002514459,0.00249018,0.002465902,0.002441624,0.002417945,0.002394267,0.002370588,0.00234691,0.002323231,0.002315481,0.00230773,0.00229998,0.002292229,0.002284479,0.002260513,0.002236547,0.002212581,0.002188616,0.00216465,0.002116283,0.002067917,0.00201955,0.001971183,0.001922817,0.00188184,0.001840862,0.001799885,0.001758908,0.001717931,0.001676953,0.001635976,0.001594999,0.001554022,0.001513045
"AFG",0.046362052,0.045527175,0.044692298,0.043857421,0.043022544,0.042187667,0.041491307,0.040794947,0.040098586,0.039402226,0.038705866,0.038074994,0.037444122,0.036813251,0.036182379,0.035551507,0.034945079,0.034338651,0.033732222,0.033125794,0.032519366,0.031873007,0.031226648,0.03058029,0.029933931,0.029287572,0.028544551,0.02780153,0.02705851,0.026315489,0.025572468,0.024666116,0.023759765,0.022853413,0.021947062,0.02104071,0.020239464,0.019438217,0.018636971,0.017835724,0.017034478,0.016596078,0.016157679,0.015719279,0.01528088,0.01484248,0.014368988,0.013895495,0.013422003,0.01294851,0.012475018,0.011969802,0.011464586,0.010959369,0.010454153,0.009948937,0.009615726,0.009282514,0.008949303,0.008616092,0.00828288,0.007949669,0.007616458,0.007283247,0.006950035,0.006616824
"AGO",0.078781463,0.078125162,0.07746886,0.076812559,0.076156257,0.075499956,0.074647506,0.073795055,0.072942605,0.072090154,0.071237704,0.070210507,0.06918331,0.068156114,0.067128917,0.06610172,0.065083327,0.064064934,0.063046541,0.062028148,0.061009755,0.060096106,0.059182457,0.058268807,0.057355158,0.056441509,0.056162751,0.055883992,0.055605234,0.055326475,0.055047717,0.054819739,0.054591761,0.054363784,0.054135806,0.053907828,0.053683715,0.053459601,0.053235488,0.053011374,0.052787261,0.051703751,0.05062024,0.04953673,0.048453219,0.047369709,0.04528684,0.04320397,0.041121101,0.039038231,0.036955362,0.034925577,0.032895791,0.030866006,0.02883622,0.026806435,0.025427514,0.024048592,0.022669671,0.021290749,0.019911828,0.018532907,0.017153985,0.015775064,0.014396142,0.013017221
"ALB",0.014390814,0.013606961,0.012823109,0.012039256,0.011255404,0.010471551,0.009667626,0.008863702,0.008059777,0.007255852,0.006451927,0.006302365,0.006152803,0.006003242,0.00585368,0.005704118,0.005646061,0.005588003,0.005529946,0.005471889,0.005413832,0.005160894,0.004907955,0.004655017,0.004402078,0.00414914,0.004295808,0.004442477,0.004589145,0.004735813,0.004882482,0.004618385,0.004354289,0.004090193,0.003826096,0.003562,0.003632979,0.003703959,0.003774938,0.003845917,0.003916897,0.00370481,0.003492723,0.003280636,0.00306855,0.002856463,0.002867476,0.00287849,0.002889503,0.002900517,0.00291153,0.002721306,0.002531081,0.002340856,0.002150631,0.001960407,0.001990807,0.002021207,0.002051607,0.002082007,0.002112407,0.002142807,0.002173207,0.002203607,0.002234007,0.002264407
"ARE",0.0323,0.0305,0.0287,0.0269,0.0251,0.0233,0.0220006,0.0207012,0.0194018,0.0181024,0.016803,0.0158716,0.0149402,0.0140088,0.0130774,0.012146,0.011482,0.010818,0.010154,0.00949,0.008826,0.0083536,0.0078812,0.0074088,0.0069364,0.006464,0.006128,0.005792,0.005456,0.00512,0.004784,0.004545,0.004306,0.004067,0.003828,0.003589,0.0034164,0.0032438,0.0030712,0.0028986,0.002726,0.0025994,0.0024728,0.0023462,0.0022196,0.002093,0.0019972,0.0019014,0.0018056,0.0017098,0.001614,0.001538,0.001462,0.001386,0.00131,0.001234,0.001207079,0.001180158,0.001153237,0.001126316,0.001099395,0.001072474,0.001045553,0.001018632,0.000991712,0.000964791
"ARG",0.00611,0.005894,0.005678,0.005462,0.005246,0.00503,0.004912,0.004794,0.004676,0.004558,0.00444,0.00435,0.00426,0.00417,0.00408,0.00399,0.0039,0.00381,0.00372,0.00363,0.00354,0.003454,0.003368,0.003282,0.003196,0.00311,0.00299,0.00287,0.00275,0.00263,0.00251,0.00246,0.00241,0.00236,0.00231,0.00226,0.002178,0.002096,0.002014,0.001932,0.00185,0.001838,0.001826,0.001814,0.001802,0.00179,0.001776,0.001762,0.001748,0.001734,0.00172,0.001683521,0.001647043,0.001610564,0.001574085,0.001537607,0.001518869,0.001500132,0.001481395,0.001462657,0.00144392,0.001425182,0.001406445,0.001387708,0.00136897,0.001350233
"ARM",0.00453397,0.004345841,0.004157712,0.003969583,0.003781454,0.003593325,0.003436132,0.003278939,0.003121746,0.002964553,0.002807359,0.002669821,0.002532282,0.002394743,0.002257204,0.002119665,0.00203847,0.001957275,0.00187608,0.001794885,0.00171369,0.001740904,0.001768118,0.001795332,0.001822546,0.00184976,0.001836966,0.001824171,0.001811377,0.001798583,0.001785788,0.001936842,0.002087895,0.002238948,0.002390001,0.002541055,0.002539526,0.002537997,0.002536468,0.002534939,0.00253341,0.002534824,0.002536237,0.002537651,0.002539064,0.002540478,0.002485438,0.002430397,0.002375357,0.002320317,0.002265276,0.00201312,0.001760964,0.001508808,0.001256651,0.001004495,0.001002997,0.001001498,0.001,0.000998501,0.000997003,0.000995504,0.000994006,0.000992507,0.000991009,0.00098951
"ATG",0.01348041,0.012910308,0.012340206,0.011770104,0.011200002,0.0106299,0.010203346,0.009776792,0.009350238,0.008923684,0.00849713,0.008173304,0.007849478,0.007525652,0.007201826,0.006878,0.006622056,0.006366112,0.006110168,0.005854224,0.00559828,0.005394886,0.005191492,0.004988098,0.004784704,0.00458131,0.004418212,0.004255114,0.004092016,0.003928918,0.00376582,0.003634324,0.003502828,0.003371332,0.003239836,0.00310834,0.003001894,0.002895448,0.002789002,0.002682556,0.00257611,0.002491248,0.002406386,0.002321524,0.002236662,0.0021518,0.002081098,0.002010396,0.001939694,0.001868992,0.00179829,0.00173903,0.00167977,0.00162051,0.00156125,0.00150199,0.001483832,0.001465674,0.001447516,0.001429358,0.0014112,0.001393042,0.001374884,0.001356726,0.001338568,0.00132041
"AUS",0.003632994,0.00347754,0.003322085,0.003166631,0.003011176,0.002855722,0.002788906,0.002722091,0.002655275,0.00258846,0.002521645,0.002477758,0.002433871,0.002389984,0.002346097,0.00230221,0.002271272,0.002240333,0.002209395,0.002178457,0.002147519,0.002051715,0.001955912,0.001860108,0.001764305,0.001668502,0.001640551,0.001612601,0.001584651,0.001556701,0.001528751,0.001452859,0.001376967,0.001301076,0.001225184,0.001149293,0.001108343,0.001067394,0.001026444,0.000985495,0.000944546,0.000910573,0.000876601,0.000842629,0.000808657,0.000774684,0.000757697,0.00074071,0.000723723,0.000706736,0.000689749,0.000663766,0.000637784,0.000611802,0.000585819,0.000559837,0.000556263,0.000552688,0.000549113,0.000545539,0.000541964,0.00053839,0.000534815,0.000531241,0.000527666,0.000524092
"AUT",0.004210331,0.004094856,0.00397938,0.003863905,0.003748429,0.003632954,0.003482464,0.003331973,0.003181483,0.003030992,0.002880502,0.002925367,0.002970232,0.003015098,0.003059963,0.003104828,0.003019121,0.002933414,0.002847706,0.002761999,0.002676292,0.002531629,0.002386967,0.002242304,0.002097642,0.001952979,0.00186713,0.001781281,0.001695433,0.001609584,0.001523735,0.00146982,0.001415905,0.001361989,0.001308074,0.001254159,0.001193232,0.001132304,0.001071377,0.001010449,0.000949522,0.000894571,0.00083962,0.000784669,0.000729718,0.000674767,0.000665773,0.000656778,0.000647784,0.000638789,0.000629795,0.000602811,0.000575827,0.000548844,0.00052186,0.000494876,0.000481101,0.000467326,0.00045355,0.000439775,0.000426,0.000412225,0.00039845,0.000384674,0.000370899,0.000357124
