"male_0.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.07338454,0.069724398,0.066064255,0.062404113,0.05874397,0.055083828,0.053483002,0.051882175,0.050281349,0.048680522,0.047079696,0.045655697,0.044231699,0.0428077,0.041383702,0.039959703,0.039019147,0.03807859,0.037138034,0.036197477,0.035256921,0.034242582,0.033228243,0.032213904,0.031199565,0.030185226,0.028960782,0.027736338,0.026511894,0.02528745,0.024063006,0.023865173,0.02366734,0.023469507,0.023271674,0.023073841,0.022879481,0.022685122,0.022490762,0.022296403,0.022102043,0.022038109,0.021974174,0.02191024,0.021846305,0.021782371,0.021583652,0.021384933,0.021186214,0.020987495,0.020788776,0.020382711,0.019976647,0.019570582,0.019164518,0.018758453,0.018398986,0.018039519,0.017680052,0.017320585,0.016961118,0.016601651,0.016242184,0.015882717,0.01552325,0.015163783
"AFG",0.29428993,0.28912944,0.28396895,0.27880846,0.27364797,0.26848748,0.263884536,0.259281592,0.254678648,0.250075704,0.24547276,0.241652778,0.237832796,0.234012814,0.230192832,0.22637285,0.222709738,0.219046626,0.215383514,0.211720402,0.20805729,0.204184602,0.200311914,0.196439226,0.192566538,0.18869385,0.184246554,0.179799258,0.175351962,0.170904666,0.16645737,0.161286208,0.156115046,0.150943884,0.145772722,0.14060156,0.135974812,0.131348064,0.126721316,0.122094568,0.11746782,0.114866484,0.112265148,0.109663812,0.107062476,0.10446114,0.102429855,0.10039857,0.098367284,0.096335999,0.094304714,0.091385348,0.088465982,0.085546617,0.082627251,0.079707885,0.078033374,0.076358863,0.074684352,0.073009841,0.07133533,0.069660819,0.067986308,0.066311797,0.064637286,0.062962775
"AGO",0.23540567,0.233580618,0.231755566,0.229930514,0.228105462,0.22628041,0.223890622,0.221500834,0.219111046,0.216721258,0.21433147,0.211467152,0.208602834,0.205738516,0.202874198,0.20000988,0.19716854,0.1943272,0.19148586,0.18864452,0.18580318,0.183253684,0.180704188,0.178154692,0.175605196,0.1730557,0.172278826,0.171501952,0.170725078,0.169948204,0.16917133,0.168533442,0.167895554,0.167257666,0.166619778,0.16598189,0.165352576,0.164723262,0.164093948,0.163464634,0.16283532,0.1598148,0.15679428,0.15377376,0.15075324,0.14773272,0.142283608,0.136834496,0.131385384,0.125936272,0.12048716,0.115211548,0.109935936,0.104660323,0.099384711,0.094109099,0.090251903,0.086394707,0.082537511,0.078680315,0.074823119,0.070965923,0.067108727,0.063251531,0.059394335,0.055537139
"ALB",0.15367,0.149504,0.145338,0.141172,0.137006,0.13284,0.127414,0.121988,0.116562,0.111136,0.10571,0.101032,0.096354,0.091676,0.086998,0.08232,0.078284,0.074248,0.070212,0.066176,0.06214,0.05923,0.05632,0.05341,0.0505,0.04759,0.047092,0.046594,0.046096,0.045598,0.0451,0.044214,0.043328,0.042442,0.041556,0.04067,0.039166,0.037662,0.036158,0.034654,0.03315,0.032144,0.031138,0.030132,0.029126,0.02812,0.026939973,0.025759945,0.024579918,0.02339989,0.022219863,0.021339373,0.020458883,0.019578392,0.018697902,0.017817412,0.017344443,0.016871475,0.016398506,0.015925538,0.015452569,0.0149796,0.014506632,0.014033663,0.013560695,0.013087726
"ARE",0.198906,0.1906726,0.1824392,0.1742058,0.1659724,0.157739,0.1505274,0.1433158,0.1361042,0.1288926,0.121681,0.114729,0.107777,0.100825,0.093873,0.086921,0.0820906,0.0772602,0.0724298,0.0675994,0.062769,0.0592678,0.0557666,0.0522654,0.0487642,0.045263,0.0427146,0.0401662,0.0376178,0.0350694,0.032521,0.0307844,0.0290478,0.0273112,0.0255746,0.023838,0.0226886,0.0215392,0.0203898,0.0192404,0.018091,0.0171924,0.0162938,0.0153952,0.0144966,0.013598,0.0129108,0.0122236,0.0115364,0.0108492,0.010162,0.0096566,0.0091512,0.0086458,0.0081404,0.007635,0.007498872,0.007362745,0.007226617,0.007090489,0.006954362,0.006818234,0.006682106,0.006545979,0.006409851,0.006273723
"ARG",0.06993,0.0688,0.06767,0.06654,0.06541,0.06428,0.06426,0.06424,0.06422,0.0642,0.06418,0.06374,0.0633,0.06286,0.06242,0.06198,0.06003,0.05808,0.05613,0.05418,0.05223,0.05033,0.04843,0.04653,0.04463,0.04273,0.041284,0.039838,0.038392,0.036946,0.0355,0.034406,0.033312,0.032218,0.031124,0.03003,0.029424,0.028818,0.028212,0.027606,0.027,0.02644,0.02588,0.02532,0.02476,0.0242,0.02276,0.02132,0.01988,0.01844,0.017,0.016930441,0.016860882,0.016791324,0.016721765,0.016652206,0.016454201,0.016256195,0.01605819,0.015860184,0.015662179,0.015464174,0.015266168,0.015068163,0.014870157,0.014672152
"ARM",0.0892953,0.088219987,0.087144674,0.086069361,0.084994048,0.083918735,0.082844868,0.081771002,0.080697135,0.079623269,0.078549402,0.077474193,0.076398984,0.075323774,0.074248565,0.073173356,0.072099047,0.071024738,0.06995043,0.068876121,0.067801812,0.066728847,0.065655882,0.064582918,0.063509953,0.062436988,0.061361757,0.060286527,0.059211296,0.058136066,0.057060835,0.055985616,0.054910397,0.053835179,0.05275996,0.051684741,0.050921994,0.050159248,0.049396501,0.048633755,0.047871008,0.045819195,0.043767381,0.041715568,0.039663754,0.037611941,0.035887298,0.034162655,0.032438012,0.030713369,0.028988726,0.027707055,0.026425384,0.025143712,0.023862041,0.02258037,0.02102368,0.01946699,0.017910301,0.016353611,0.014796921,0.013240231,0.011683541,0.010126852,0.008570162,0.007013472
"ATG",0.10275847,0.098932002,0.095105534,0.091279066,0.087452598,0.08362613,0.080658108,0.077690086,0.074722064,0.071754042,0.06878602,0.066473454,0.064160888,0.061848322,0.059535756,0.05722319,0.055303124,0.053383058,0.051462992,0.049542926,0.04762286,0.046024706,0.044426552,0.042828398,0.041230244,0.03963209,0.0383043,0.03697651,0.03564872,0.03432093,0.03299314,0.031890518,0.030787896,0.029685274,0.028582652,0.02748003,0.026560016,0.025640002,0.024719988,0.023799974,0.02287996,0.022115716,0.021351472,0.020587228,0.019822984,0.01905874,0.018422862,0.017786984,0.017151106,0.016515228,0.01587935,0.015354448,0.014829546,0.014304644,0.013779742,0.01325484,0.013104382,0.012953924,0.012803466,0.012653008,0.01250255,0.012352092,0.012201634,0.012051176,0.011900718,0.01175026
"AUS",0.026366512,0.025826755,0.025286999,0.024747242,0.024207486,0.023667729,0.023285376,0.022903023,0.02252067,0.022138317,0.021755964,0.021504514,0.021253064,0.021001614,0.020750164,0.020498714,0.020115403,0.019732093,0.019348782,0.018965472,0.018582161,0.017604695,0.016627229,0.015649763,0.014672297,0.013694831,0.013176227,0.012657623,0.012139019,0.011620415,0.011101811,0.01082355,0.01054529,0.010267029,0.009988768,0.009710508,0.009219889,0.008729271,0.008238653,0.007748035,0.007257417,0.007006125,0.006754833,0.006503541,0.006252249,0.006000957,0.005884418,0.005767879,0.00565134,0.005534802,0.005418263,0.005312495,0.005206727,0.00510096,0.004995192,0.004889424,0.004780092,0.004670759,0.004561427,0.004452094,0.004342762,0.004233429,0.004124097,0.004014764,0.003905432,0.003796099
"AUT",0.059982161,0.057452745,0.054923329,0.052393912,0.049864496,0.04733508,0.044990393,0.042645707,0.04030102,0.037956334,0.035611647,0.034412919,0.033214191,0.032015462,0.030816734,0.029618006,0.029122543,0.028627079,0.028131616,0.027636152,0.027140689,0.025348788,0.023556887,0.021764986,0.019973085,0.018181184,0.017348052,0.01651492,0.015681788,0.014848656,0.014015524,0.013248423,0.012481321,0.01171422,0.010947118,0.010180017,0.009677146,0.009174275,0.008671403,0.008168532,0.007665661,0.007129436,0.006593211,0.006056985,0.00552076,0.004984535,0.004989092,0.004993649,0.004998206,0.005002763,0.00500732,0.004843743,0.004680166,0.00451659,0.004353013,0.004189436,0.004076149,0.003962862,0.003849574,0.003736287,0.003623,0.003509713,0.003396426,0.003283138,0.003169851,0.003056564
"AZE",0.127317,0.126261686,0.125206372,0.124151058,0.123095744,0.12204043,0.120987374,0.119934318,0.118881262,0.117828206,0.11677515,0.115726022,0.114676894,0.113627766,0.112578638,0.11152951,0.110482248,0.109434986,0.108387724,0.107340462,0.1062932,0.10524965,0.1042061,0.10316255,0.102119,0.10107545,0.100010187,0.098944924,0.09787966,0.096814397,0.095749134,0.094686357,0.093623581,0.092560804,0.091498028,0.090435251,0.089986313,0.089537375,0.089088436,0.088639498,0.08819056,0.084322448,0.080454336,0.076586225,0.072718113,0.068850001,0.066570001,0.064290001,0.062010001,0.059730001,0.057450001,0.054590001,0.051730001,0.048870001,0.046010001,0.043150001,0.04125599,0.039361979,0.037467967,0.035573956,0.033679945,0.031785934,0.029891923,0.027997911,0.0261039,0.024209889
"BDI",0.17926907,0.177313796,0.175358522,0.173403248,0.171447974,0.1694927,0.16761531,0.16573792,0.16386053,0.16198314,0.16010575,0.15831463,0.15652351,0.15473239,0.15294127,0.15115015,0.150330178,0.149510206,0.148690234,0.147870262,0.14705029,0.14457202,0.14209375,0.13961548,0.13713721,0.13465894,0.133098794,0.131538648,0.129978502,0.128418356,0.12685821,0.125776832,0.124695454,0.123614076,0.122532698,0.12145132,0.123138648,0.124825976,0.126513304,0.128200632,0.12988796,0.126054192,0.122220424,0.118386656,0.114552888,0.11071912,0.109168434,0.107617748,0.106067062,0.104516376,0.10296569,0.101181786,0.099397881,0.097613977,0.095830072,0.094046168,0.092276934,0.090507701,0.088738467,0.086969234,0.0852,0.083430766,0.081661533,0.079892299,0.078123066,0.076353832
"BEL",0.049992849,0.047801891,0.045610932,0.043419974,0.041229015,0.039038057,0.03726157,0.035485083,0.033708596,0.031932109,0.030155622,0.029165295,0.028174968,0.02718464,0.026194313,0.025203986,0.024277359,0.023350732,0.022424105,0.021497478,0.020570851,0.019544921,0.018518991,0.01749306,0.01646713,0.0154412,0.014808476,0.014175753,0.013543029,0.012910306,0.012277582,0.011933378,0.011589173,0.011244969,0.010900764,0.01055656,0.010220063,0.009883565,0.009547068,0.009210571,0.008874074,0.008279278,0.007684482,0.007089687,0.006494891,0.005900095,0.005657329,0.005414563,0.005171797,0.004929031,0.004686265,0.004598804,0.004511344,0.004423883,0.004336422,0.004248962,0.004172727,0.004096493,0.004020259,0.003944025,0.00386779,0.003791556,0.003715322,0.003639088,0.003562853,0.003486619
"BEN",0.22592279,0.22234593,0.21876907,0.21519221,0.21161535,0.20803849,0.20486689,0.20169529,0.19852369,0.19535209,0.19218049,0.188710938,0.185241386,0.181771834,0.178302282,0.17483273,0.1722612,0.16968967,0.16711814,0.16454661,0.16197508,0.158691722,0.155408364,0.152125006,0.148841648,0.14555829,0.142991504,0.140424718,0.137857932,0.135291146,0.13272436,0.130447002,0.128169644,0.125892286,0.123614928,0.12133757,0.11885162,0.11636567,0.11387972,0.11139377,0.10890782,0.106982257,0.105056694,0.103131131,0.101205568,0.099280005,0.097346321,0.095412637,0.093478954,0.09154527,0.089611586,0.087609801,0.085608015,0.08360623,0.081604444,0.079602659,0.078192245,0.076781831,0.075371417,0.073961003,0.072550589,0.071140175,0.069729761,0.068319347,0.066908933,0.065498519
