"female_40.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.027949238,0.026771694,0.025594149,0.024416605,0.02323906,0.022061516,0.021297332,0.020533147,0.019768963,0.019004778,0.018240594,0.01776162,0.017282646,0.016803672,0.016324698,0.015845724,0.015126832,0.014407939,0.013689047,0.012970154,0.012251262,0.011846193,0.011441125,0.011036056,0.010630988,0.010225919,0.01002997,0.009834021,0.009638072,0.009442123,0.009246174,0.009130818,0.009015463,0.008900107,0.008784752,0.008669396,0.008632027,0.008594657,0.008557288,0.008519918,0.008482548,0.008445727,0.008408905,0.008372084,0.008335262,0.00829844,0.008263842,0.008229245,0.008194647,0.008160049,0.008125451,0.008001819,0.007878187,0.007754556,0.007630924,0.007507292,0.007400356,0.00729342,0.007186484,0.007079547,0.006972611,0.006865675,0.006758738,0.006651802,0.006544866,0.006437929
"AFG",0.096476118,0.094901817,0.093327515,0.091753214,0.090178912,0.088604611,0.087292405,0.085980198,0.084667992,0.083355785,0.082043579,0.080877273,0.079710967,0.078544661,0.077378355,0.076212049,0.075075021,0.073937993,0.072800964,0.071663936,0.070526908,0.069312783,0.068098658,0.066884534,0.065670409,0.064456284,0.063064772,0.06167326,0.060281747,0.058890235,0.057498723,0.055798571,0.054098419,0.052398267,0.050698115,0.048997963,0.047585904,0.046173845,0.044761785,0.043349726,0.041937667,0.04110691,0.040276153,0.039445396,0.038614639,0.037783882,0.036892762,0.036001642,0.035110523,0.034219403,0.033328283,0.032345176,0.031362069,0.030378961,0.029395854,0.028412747,0.027737491,0.027062235,0.02638698,0.025711724,0.025036468,0.024361212,0.023685956,0.023010701,0.022335445,0.021660189
"AGO",0.081835146,0.081200557,0.080565968,0.079931378,0.079296789,0.0786622,0.077852341,0.077042483,0.076232624,0.075422766,0.074612907,0.073654023,0.072695138,0.071736254,0.070777369,0.069818485,0.068913697,0.068008909,0.067104121,0.066199333,0.065294545,0.064438378,0.063582211,0.062726043,0.061869876,0.061013709,0.060521256,0.060028803,0.059536349,0.059043896,0.058551443,0.058271659,0.057991875,0.057712092,0.057432308,0.057152524,0.056760811,0.056369097,0.055977384,0.05558567,0.055193957,0.054258617,0.053323277,0.052387938,0.051452598,0.050517258,0.048773995,0.047030732,0.045287469,0.043544206,0.041800943,0.040098637,0.038396331,0.036694026,0.03499172,0.033289414,0.031933523,0.030577633,0.029221742,0.027865852,0.026509961,0.02515407,0.02379818,0.022442289,0.021086399,0.019730508
"ALB",0.02708504,0.026026642,0.024968244,0.023909845,0.022851447,0.021793049,0.020356295,0.018919541,0.017482786,0.016046032,0.014609278,0.014721183,0.014833087,0.014944992,0.015056896,0.015168801,0.014933171,0.014697541,0.014461912,0.014226282,0.013990652,0.013611525,0.013232398,0.01285327,0.012474143,0.012095016,0.011642774,0.011190531,0.010738289,0.010286047,0.009833804,0.009383777,0.00893375,0.008483723,0.008033696,0.007583669,0.007729326,0.007874984,0.008020641,0.008166299,0.008311956,0.008152924,0.007993891,0.007834858,0.007675826,0.007516793,0.007269729,0.007022665,0.006775601,0.006528537,0.006281473,0.006251652,0.00622183,0.006192009,0.006162188,0.006132366,0.005943379,0.005754392,0.005565405,0.005376417,0.00518743,0.004998443,0.004809456,0.004620469,0.004431481,0.004242494
"ARE",0.039253,0.037985,0.036717,0.035449,0.034181,0.032913,0.0318384,0.0307638,0.0296892,0.0286146,0.02754,0.0266254,0.0257108,0.0247962,0.0238816,0.022967,0.0221892,0.0214114,0.0206336,0.0198558,0.019078,0.0184152,0.0177524,0.0170896,0.0164268,0.015764,0.0151998,0.0146356,0.0140714,0.0135072,0.012943,0.0124642,0.0119854,0.0115066,0.0110278,0.010549,0.0101416,0.0097342,0.0093268,0.0089194,0.008512,0.0081506,0.0077892,0.0074278,0.0070664,0.006705,0.006387686,0.006070372,0.005753058,0.005435744,0.00511843,0.004856464,0.004594498,0.004332532,0.004070566,0.0038086,0.003746878,0.003685156,0.003623434,0.003561711,0.003499989,0.003438267,0.003376545,0.003314823,0.003253101,0.003191379
"ARG",0.02104,0.020312,0.019584,0.018856,0.018128,0.0174,0.016938,0.016476,0.016014,0.015552,0.01509,0.015072,0.015054,0.015036,0.015018,0.015,0.01489,0.01478,0.01467,0.01456,0.01445,0.014344,0.014238,0.014132,0.014026,0.01392,0.013698,0.013476,0.013254,0.013032,0.01281,0.012672,0.012534,0.012396,0.012258,0.01212,0.011862,0.011604,0.011346,0.011088,0.01083,0.010624,0.010418,0.010212,0.010006,0.0098,0.009706,0.009612,0.009518,0.009424,0.00933,0.009172523,0.009015047,0.00885757,0.008700093,0.008542617,0.00841921,0.008295804,0.008172397,0.008048991,0.007925585,0.007802178,0.007678772,0.007555366,0.007431959,0.007308553
"ARM",0.020933505,0.020152139,0.019370774,0.018589408,0.017808043,0.017026677,0.016340589,0.0156545,0.014968412,0.014282323,0.013596235,0.013131368,0.012666502,0.012201635,0.011736769,0.011271902,0.010996027,0.010720153,0.010444278,0.010168403,0.009892528,0.009977362,0.010062195,0.010147029,0.010231862,0.010316696,0.010320569,0.010324442,0.010328316,0.010332189,0.010336062,0.011296679,0.012257295,0.013217912,0.014178528,0.015139145,0.014706087,0.014273029,0.013839972,0.013406914,0.012973856,0.012619573,0.01226529,0.011911007,0.011556724,0.011202441,0.010724039,0.010245636,0.009767234,0.009288832,0.00881043,0.008706698,0.008602967,0.008499235,0.008395504,0.008291772,0.008209213,0.008126653,0.008044094,0.007961535,0.007878975,0.007796416,0.007713856,0.007631297,0.007548738,0.007466178
"ATG",0.03769866,0.037085084,0.036471508,0.035857932,0.035244356,0.03463078,0.034043548,0.033456316,0.032869084,0.032281852,0.03169462,0.03113358,0.03057254,0.0300115,0.02945046,0.02888942,0.02837662,0.02786382,0.02735102,0.02683822,0.02632542,0.025860102,0.025394784,0.024929466,0.024464148,0.02399883,0.023574044,0.023149258,0.022724472,0.022299686,0.0218749,0.021487036,0.021099172,0.020711308,0.020323444,0.01993558,0.019582764,0.019229948,0.018877132,0.018524316,0.0181715,0.017850118,0.017528736,0.017207354,0.016885972,0.01656459,0.016272264,0.015979938,0.015687612,0.015395286,0.01510296,0.014835682,0.014568404,0.014301126,0.014033848,0.01376657,0.013587251,0.013407932,0.013228614,0.013049295,0.012869976,0.012690657,0.012511338,0.01233202,0.012152701,0.011973382
"AUS",0.013706548,0.013370334,0.013034119,0.012697905,0.01236169,0.012025476,0.011912047,0.011798618,0.011685188,0.011571759,0.01145833,0.011456299,0.011454268,0.011452236,0.011450205,0.011448174,0.011256456,0.011064738,0.010873021,0.010681303,0.010489585,0.010182347,0.009875108,0.00956787,0.009260631,0.008953393,0.008584121,0.00821485,0.007845578,0.007476306,0.007107035,0.006954899,0.006802763,0.006650626,0.00649849,0.006346354,0.00618521,0.006024065,0.005862921,0.005701777,0.005540633,0.005510793,0.005480952,0.005451112,0.005421272,0.005391432,0.005315758,0.005240083,0.005164409,0.005088734,0.00501306,0.004936436,0.004859812,0.004783189,0.004706565,0.004629942,0.004606001,0.00458206,0.00455812,0.004534179,0.004510238,0.004486297,0.004462357,0.004438416,0.004414475,0.004390535
"AUT",0.014973737,0.01452931,0.014084883,0.013640455,0.013196028,0.012751601,0.012470248,0.012188895,0.011907541,0.011626188,0.011344835,0.011237081,0.011129327,0.011021572,0.010913818,0.010806064,0.010657196,0.010508327,0.010359459,0.01021059,0.010061722,0.009891403,0.009721085,0.009550766,0.009380448,0.009210129,0.009135899,0.009061669,0.008987438,0.008913208,0.008838978,0.0086862,0.008533423,0.008380645,0.008227868,0.00807509,0.007925273,0.007775456,0.00762564,0.007475823,0.007326006,0.00709923,0.006872454,0.006645679,0.006418903,0.006192127,0.006031049,0.005869971,0.005708892,0.005547814,0.005386736,0.005182675,0.004978614,0.004774552,0.004570491,0.00436643,0.004281725,0.004197021,0.004112316,0.004027612,0.003942907,0.003858203,0.003773498,0.003688794,0.003604089,0.003519385
