"female_0.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.064516172,0.061255911,0.057995649,0.054735388,0.051475126,0.048214865,0.046126187,0.04403751,0.041948832,0.039860155,0.037771477,0.036494104,0.035216731,0.033939358,0.032661985,0.031384612,0.029684371,0.027984129,0.026283888,0.024583646,0.022883405,0.022041002,0.0211986,0.020356197,0.019513795,0.018671392,0.018277948,0.017884504,0.01749106,0.017097616,0.016704172,0.01649116,0.016278147,0.016065135,0.015852122,0.01563911,0.015570146,0.015501182,0.015432217,0.015363253,0.015294289,0.015226358,0.015158426,0.015090495,0.015022563,0.014954632,0.014890824,0.014827015,0.014763207,0.014699398,0.01463559,0.014407754,0.014179918,0.013952083,0.013724247,0.013496411,0.013307966,0.013119521,0.012931076,0.012742631,0.012554186,0.012365741,0.012177296,0.011988851,0.011800406,0.011611961
"AFG",0.26493702,0.260291246,0.255645472,0.250999698,0.246353924,0.24170815,0.237572848,0.233437546,0.229302244,0.225166942,0.22103164,0.217629714,0.214227788,0.210825862,0.207423936,0.20402201,0.200812178,0.197602346,0.194392514,0.191182682,0.18797285,0.18451157,0.18105029,0.17758901,0.17412773,0.17066645,0.166697412,0.162728374,0.158759336,0.154790298,0.15082126,0.14602968,0.1412381,0.13644652,0.13165494,0.12686336,0.122385746,0.117908132,0.113430518,0.108952904,0.10447529,0.102048893,0.099622496,0.0971961,0.094769703,0.092343306,0.090736955,0.089130604,0.087524252,0.085917901,0.08431155,0.082161983,0.080012416,0.077862849,0.075713282,0.073563715,0.071972441,0.070381167,0.068789893,0.067198619,0.065607345,0.064016071,0.062424797,0.060833523,0.059242249,0.057650975
"AGO",0.20310529,0.201424408,0.199743526,0.198062644,0.196381762,0.19470088,0.192553376,0.190405872,0.188258368,0.186110864,0.18396336,0.181419768,0.178876176,0.176332584,0.173788992,0.1712454,0.168845712,0.166446024,0.164046336,0.161646648,0.15924696,0.15697653,0.1547061,0.15243567,0.15016524,0.14789481,0.146589124,0.145283438,0.143977752,0.142672066,0.14136638,0.140624138,0.139881896,0.139139654,0.138397412,0.13765517,0.136616722,0.135578274,0.134539826,0.133501378,0.13246293,0.129983462,0.127503994,0.125024526,0.122545058,0.12006559,0.115205672,0.110345753,0.105485835,0.100625916,0.095765998,0.091263619,0.08676124,0.08225886,0.077756481,0.073254102,0.069761543,0.066268985,0.062776426,0.059283868,0.055791309,0.05229875,0.048806192,0.045313633,0.041821075,0.038328516
"ALB",0.13536,0.131556,0.127752,0.123948,0.120144,0.11634,0.111404,0.106468,0.101531999,0.096595999,0.091659999,0.087571999,0.083483999,0.079396,0.075308,0.07122,0.067682,0.064144,0.060606,0.057068,0.05353,0.052034,0.050538,0.049042,0.047546,0.04605,0.04507,0.04409,0.04311,0.04213,0.04115,0.03988,0.03861,0.03734,0.03607,0.0348,0.033472,0.032144,0.030816,0.029488,0.02816,0.027396,0.026632,0.025868,0.025104,0.02434,0.023470726,0.022601452,0.021732177,0.020862903,0.019993629,0.019116276,0.018238923,0.01736157,0.016484217,0.015606864,0.015218761,0.014830659,0.014442556,0.014054454,0.013666351,0.013278248,0.012890146,0.012502043,0.012113941,0.011725838
"ARE",0.161764,0.1550072,0.1482504,0.1414936,0.1347368,0.12798,0.122111,0.116242,0.110373,0.104504,0.098635,0.0929996,0.0873642,0.0817288,0.0760934,0.070458,0.0665486,0.0626392,0.0587298,0.0548204,0.050911,0.048079,0.045247,0.042415,0.039583,0.036751,0.03469,0.032629,0.030568,0.028507,0.026446,0.0250422,0.0236384,0.0222346,0.0208308,0.019427,0.018497,0.017567,0.016637,0.015707,0.014777,0.0140428,0.0133086,0.0125744,0.0118402,0.011106,0.010532346,0.009958691,0.009385037,0.008811382,0.008237728,0.007808231,0.007378734,0.006949237,0.006519741,0.006090244,0.005966576,0.005842908,0.00571924,0.005595571,0.005471903,0.005348235,0.005224567,0.005100899,0.004977231,0.004853563
"ARG",0.0617,0.060614,0.059528,0.058442,0.057356,0.05627,0.05604,0.05581,0.05558,0.05535,0.05512,0.054618,0.054116,0.053614,0.053112,0.05261,0.05085,0.04909,0.04733,0.04557,0.04381,0.0421,0.04039,0.03868,0.03697,0.03526,0.033958,0.032656,0.031354,0.030052,0.02875,0.027822,0.026894,0.025966,0.025038,0.02411,0.023608,0.023106,0.022604,0.022102,0.0216,0.02116,0.02072,0.02028,0.01984,0.0194,0.01812,0.01684,0.01556,0.01428,0.013,0.012896407,0.012792813,0.01268922,0.012585626,0.012482033,0.012313406,0.01214478,0.011976153,0.011807527,0.0116389,0.011470273,0.011301647,0.01113302,0.010964394,0.010795767
"ARM",0.076284564,0.075363511,0.074442459,0.073521406,0.072600354,0.071679301,0.07075925,0.069839199,0.068919149,0.067999098,0.067079047,0.066157723,0.065236399,0.064315076,0.063393752,0.062472428,0.061551867,0.060631306,0.059710744,0.058790183,0.057869622,0.056950316,0.05603101,0.055111705,0.054192399,0.053273093,0.052352062,0.051431031,0.05051,0.049588969,0.048667938,0.047747245,0.046826552,0.045905858,0.044985165,0.044064472,0.043263179,0.042461886,0.041660592,0.040859299,0.040058006,0.038451593,0.036845181,0.035238768,0.033632356,0.032025943,0.030552938,0.029079933,0.027606928,0.026133923,0.024660918,0.023567731,0.022474544,0.021381356,0.020288169,0.019194982,0.017639618,0.016084253,0.014528889,0.012973524,0.01141816,0.009862796,0.008307431,0.006752067,0.005196702,0.003641338
"ATG",0.08291049,0.07978337,0.07665625,0.07352913,0.07040201,0.06727489,0.06462381,0.06197273,0.05932165,0.05667057,0.05401949,0.051797146,0.049574802,0.047352458,0.045130114,0.04290777,0.041138452,0.039369134,0.037599816,0.035830498,0.03406118,0.03265327,0.03124536,0.02983745,0.02842954,0.02702163,0.025904306,0.024786982,0.023669658,0.022552334,0.02143501,0.020543576,0.019652142,0.018760708,0.017869274,0.01697784,0.016274576,0.015571312,0.014868048,0.014164784,0.01346152,0.012899182,0.012336844,0.011774506,0.011212168,0.01064983,0.010206336,0.009762842,0.009319348,0.008875854,0.00843236,0.008082766,0.007733172,0.007383578,0.007033984,0.00668439,0.006468963,0.006253536,0.006038109,0.005822682,0.005607255,0.005391828,0.005176401,0.004960974,0.004745546,0.004530119
"AUS",0.020859764,0.020477773,0.020095782,0.01971379,0.019331799,0.018949808,0.018590843,0.018231878,0.017872912,0.017513947,0.017154982,0.016894302,0.016633622,0.016372942,0.016112262,0.015851582,0.015512832,0.015174082,0.014835332,0.014496582,0.014157832,0.013482731,0.01280763,0.012132528,0.011457427,0.010782326,0.010375859,0.009969392,0.009562925,0.009156458,0.008749991,0.008510739,0.008271488,0.008032236,0.007792985,0.007553733,0.007187661,0.006821589,0.006455517,0.006089445,0.005723373,0.005556037,0.0053887,0.005221364,0.005054027,0.004886691,0.004796859,0.004707027,0.004617195,0.004527363,0.004437531,0.004329363,0.004221195,0.004113026,0.004004858,0.00389669,0.003792367,0.003688044,0.003583721,0.003479398,0.003375075,0.003270752,0.00316643,0.003062107,0.002957784,0.002853461
"AUT",0.045907618,0.044167423,0.042427228,0.040687034,0.038946839,0.037206644,0.035344056,0.033481468,0.031618881,0.029756293,0.027893705,0.026798808,0.025703912,0.024609015,0.023514119,0.022419222,0.021988255,0.021557288,0.021126321,0.020695354,0.020264387,0.019053405,0.017842423,0.016631441,0.015420459,0.014209477,0.01342632,0.012643163,0.011860007,0.01107685,0.010293693,0.009848818,0.009403943,0.008959067,0.008514192,0.008069317,0.007663825,0.007258334,0.006852842,0.006447351,0.006041859,0.005731113,0.005420366,0.00510962,0.004798873,0.004488127,0.004372225,0.004256323,0.004140421,0.004024519,0.003908617,0.003789822,0.003671026,0.003552231,0.003433435,0.00331464,0.003255591,0.003196543,0.003137494,0.003078446,0.003019397,0.002960349,0.0029013,0.002842252,0.002783203,0.002724154
