"male_10.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.007440294,0.007026292,0.00661229,0.006198288,0.005784286,0.005370284,0.005190982,0.00501168,0.004832378,0.004653077,0.004473775,0.00432681,0.004179844,0.004032879,0.003885914,0.003738949,0.003644183,0.003549418,0.003454653,0.003359887,0.003265122,0.00316312,0.003061118,0.002959115,0.002857113,0.002755111,0.002634712,0.002514312,0.002393913,0.002273513,0.002153114,0.002134014,0.002114914,0.002095814,0.002076714,0.002057614,0.002038927,0.00202024,0.002001552,0.001982865,0.001964178,0.001958048,0.001951918,0.001945788,0.001939658,0.001933528,0.001914531,0.001895533,0.001876535,0.001857537,0.001838539,0.001799987,0.001761434,0.001722881,0.001684329,0.001645776,0.001612427,0.001579078,0.001545729,0.00151238,0.001479031,0.001445682,0.001412333,0.001378984,0.001345635,0.001312286
"AFG",0.033460026,0.032865358,0.032270689,0.031676021,0.031081352,0.030486684,0.029990303,0.029493921,0.02899754,0.028501158,0.028004777,0.027555308,0.027105838,0.026656369,0.026206899,0.02575743,0.025325867,0.024894304,0.02446274,0.024031177,0.023599614,0.023139762,0.022679909,0.022220057,0.021760204,0.021300352,0.020771827,0.020243302,0.019714778,0.019186253,0.018657728,0.017991742,0.017325755,0.016659769,0.015993782,0.015327796,0.014765884,0.014203972,0.013642059,0.013080147,0.012518235,0.012214015,0.011909796,0.011605576,0.011301357,0.010997137,0.01066562,0.010334103,0.010002586,0.009671069,0.009339553,0.008982498,0.008625443,0.008268388,0.007911333,0.007554279,0.007316807,0.007079335,0.006841863,0.006604392,0.00636692,0.006129448,0.005891977,0.005654505,0.005417033,0.005179562
"AGO",0.040200921,0.039873243,0.039545565,0.039217887,0.038890209,0.038562531,0.038137035,0.03771154,0.037286044,0.036860549,0.036435053,0.035922818,0.035410584,0.034898349,0.034386115,0.03387388,0.033365509,0.032857137,0.032348766,0.031840394,0.031332023,0.030875962,0.030419901,0.029963841,0.02950778,0.029051719,0.028912629,0.028773539,0.028634449,0.028495359,0.028356269,0.028242485,0.028128701,0.028014918,0.027901134,0.02778735,0.027675465,0.02756358,0.027451694,0.027339809,0.027227924,0.026688175,0.026148426,0.025608678,0.025068929,0.02452918,0.023562489,0.022595798,0.021629106,0.020662415,0.019695724,0.018714581,0.017733438,0.016752295,0.015771152,0.014790009,0.014097878,0.013405748,0.012713617,0.012021487,0.011329356,0.010637225,0.009945095,0.009252964,0.008560834,0.007868703
"ALB",0.005257534,0.004918055,0.004578577,0.004239099,0.003899621,0.003560143,0.003238145,0.002916147,0.00259415,0.002272152,0.001950154,0.002084079,0.002218004,0.002351928,0.002485853,0.002619778,0.002762294,0.002904811,0.003047327,0.003189843,0.00333236,0.003232127,0.003131895,0.003031662,0.002931429,0.002831197,0.0028776,0.002924003,0.002970405,0.003016808,0.003063211,0.002973293,0.002883374,0.002793456,0.002703538,0.002613619,0.002722844,0.002832068,0.002941293,0.003050517,0.003159741,0.003048504,0.002937266,0.002826028,0.002714791,0.002603553,0.002579974,0.002556395,0.002532815,0.002509236,0.002485657,0.00233262,0.002179584,0.002026547,0.00187351,0.001720474,0.001617314,0.001514154,0.001410994,0.001307834,0.001204674,0.001101514,0.000998354,0.000895194,0.000792034,0.000688874
"ARE",0.016758,0.0160942,0.0154304,0.0147666,0.0141028,0.013439,0.0129056,0.0123722,0.0118388,0.0113054,0.010772,0.0103422,0.0099124,0.0094826,0.0090528,0.008623,0.0082786,0.0079342,0.0075898,0.0072454,0.006901,0.0066248,0.0063486,0.0060724,0.0057962,0.00552,0.005299,0.005078,0.004857,0.004636,0.004415,0.0042378,0.0040606,0.0038834,0.0037062,0.003529,0.0033854,0.0032418,0.0030982,0.0029546,0.002811,0.0026914,0.0025718,0.0024522,0.0023326,0.002213,0.0021102,0.0020074,0.0019046,0.0018018,0.001699,0.001616,0.001533,0.00145,0.001367,0.001284,0.001257068,0.001230136,0.001203203,0.001176271,0.001149339,0.001122407,0.001095475,0.001068543,0.00104161,0.001014678
"ARG",0.00506,0.004926,0.004792,0.004658,0.004524,0.00439,0.00429,0.00419,0.00409,0.00399,0.00389,0.00385,0.00381,0.00377,0.00373,0.00369,0.003616,0.003542,0.003468,0.003394,0.00332,0.003248,0.003176,0.003104,0.003032,0.00296,0.002882,0.002804,0.002726,0.002648,0.00257,0.002544,0.002518,0.002492,0.002466,0.00244,0.002376,0.002312,0.002248,0.002184,0.00212,0.002036,0.001952,0.001868,0.001784,0.0017,0.001686,0.001672,0.001658,0.001644,0.00163,0.001640081,0.001650162,0.001660243,0.001670324,0.001680405,0.001659573,0.001638741,0.00161791,0.001597078,0.001576246,0.001555414,0.001534582,0.001513751,0.001492919,0.001472087
"ARM",0.003569916,0.003424536,0.003279157,0.003133777,0.002988398,0.002843018,0.00272095,0.002598881,0.002476813,0.002354745,0.002232676,0.002133688,0.0020347,0.001935712,0.001836724,0.001737735,0.001678117,0.001618498,0.001558879,0.00149926,0.001439641,0.001461027,0.001482413,0.001503798,0.001525184,0.00154657,0.001538041,0.001529512,0.001520983,0.001512453,0.001503924,0.001615269,0.001726614,0.001837958,0.001949303,0.002060647,0.002087941,0.002115235,0.002142529,0.002169823,0.002197117,0.002119323,0.00204153,0.001963737,0.001885944,0.001808151,0.001728847,0.001649544,0.00157024,0.001490937,0.001411633,0.001342792,0.001273952,0.001205111,0.001136271,0.00106743,0.001114774,0.001162118,0.001209461,0.001256805,0.001304149,0.001351493,0.001398837,0.00144618,0.001493524,0.001540868
"ATG",0.00294362,0.00295923,0.00297484,0.00299045,0.00300606,0.00302167,0.003018212,0.003014754,0.003011296,0.003007838,0.00300438,0.002990814,0.002977248,0.002963682,0.002950116,0.00293655,0.002914938,0.002893326,0.002871714,0.002850102,0.00282849,0.002801326,0.002774162,0.002746998,0.002719834,0.00269267,0.002663762,0.002634854,0.002605946,0.002577038,0.00254813,0.002518322,0.002488514,0.002458706,0.002428898,0.00239909,0.002368858,0.002338626,0.002308394,0.002278162,0.00224793,0.002218472,0.002189014,0.002159556,0.002130098,0.00210064,0.002072744,0.002044848,0.002016952,0.001989056,0.00196116,0.001933374,0.001905588,0.001877802,0.001850016,0.00182223,0.001799654,0.001777078,0.001754502,0.001731926,0.00170935,0.001686774,0.001664198,0.001641622,0.001619046,0.00159647
"AUS",0.003394658,0.003245055,0.003095452,0.002945849,0.002796245,0.002646642,0.002622726,0.00259881,0.002574894,0.002550978,0.002527062,0.00248516,0.002443259,0.002401357,0.002359456,0.002317555,0.00225567,0.002193786,0.002131901,0.002070017,0.002008132,0.001975201,0.00194227,0.001909339,0.001876408,0.001843477,0.001790556,0.001737635,0.001684714,0.001631793,0.001578872,0.001537924,0.001496975,0.001456027,0.001415078,0.00137413,0.001309207,0.001244283,0.00117936,0.001114436,0.001049513,0.001027533,0.001005553,0.000983573,0.000961593,0.000939612,0.000897642,0.000855672,0.000813701,0.000771731,0.000729761,0.000705775,0.00068179,0.000657804,0.000633819,0.000609833,0.000595266,0.000580699,0.000566132,0.000551565,0.000536998,0.00052243,0.000507863,0.000493296,0.000478729,0.000464162
"AUT",0.003359454,0.003263798,0.003168143,0.003072487,0.002976832,0.002881176,0.002802358,0.002723539,0.002644721,0.002565902,0.002487084,0.002461122,0.002435161,0.002409199,0.002383238,0.002357276,0.002362292,0.002367309,0.002372325,0.002377342,0.002382358,0.002286554,0.00219075,0.002094947,0.001999143,0.001903339,0.001832452,0.001761565,0.001690677,0.00161979,0.001548903,0.001480985,0.001413067,0.00134515,0.001277232,0.001209314,0.001173356,0.001137398,0.001101439,0.001065481,0.001029523,0.000998552,0.00096758,0.000936609,0.000905637,0.000874666,0.000828694,0.000782722,0.000736751,0.000690779,0.000644807,0.000639811,0.000634815,0.00062982,0.000624824,0.000619828,0.000613062,0.000606297,0.000599531,0.000592766,0.000586,0.000579234,0.000572469,0.000565703,0.000558938,0.000552172
"AZE",0.005831615,0.005654637,0.00547766,0.005300682,0.005123704,0.004946727,0.004866111,0.004785495,0.004704879,0.004624263,0.004543647,0.004462999,0.004382351,0.004301702,0.004221054,0.004140405,0.004059724,0.003979043,0.003898362,0.003817681,0.003737,0.003656287,0.003575573,0.003494859,0.003414146,0.003333432,0.003252686,0.00317194,0.003091193,0.003010447,0.002929701,0.002848922,0.002768143,0.002687364,0.002606585,0.002525806,0.00258046,0.002635115,0.002689769,0.002744423,0.002799077,0.00274659,0.002694102,0.002641615,0.002589127,0.00253664,0.00252837,0.0025201,0.002511831,0.002503561,0.002495291,0.002369217,0.002243143,0.002117068,0.001990994,0.00186492,0.001820253,0.001775586,0.001730919,0.001686252,0.001641585,0.001596918,0.001552251,0.001507585,0.001462918,0.001418251
"BDI",0.030169241,0.029818144,0.029467047,0.02911595,0.028764853,0.028413756,0.028078379,0.027743002,0.027407624,0.027072247,0.02673687,0.026416688,0.026096506,0.025776324,0.025456142,0.02513596,0.024990088,0.024844215,0.024698343,0.02455247,0.024406598,0.023974707,0.023542815,0.023110924,0.022679032,0.022247141,0.021968208,0.021689275,0.021410342,0.021131409,0.020852476,0.020626226,0.020399976,0.020173727,0.019947477,0.019721227,0.020058266,0.020395305,0.020732343,0.021069382,0.021406421,0.020614633,0.019822844,0.019031056,0.018239267,0.017447479,0.017170252,0.016893025,0.016615799,0.016338572,0.016061345,0.015923013,0.01578468,0.015646348,0.015508015,0.015369683,0.015243746,0.01511781,0.014991873,0.014865937,0.01474,0.014614063,0.014488127,0.01436219,0.014236254,0.014110317
"BEL",0.002741406,0.002706518,0.00267163,0.002636742,0.002601855,0.002566967,0.002526045,0.002485123,0.0024442,0.002403278,0.002362356,0.002348396,0.002334435,0.002320475,0.002306514,0.002292553,0.002272583,0.002252613,0.002232643,0.002212673,0.002192702,0.002106864,0.002021026,0.001935187,0.001849349,0.00176351,0.001711605,0.001659699,0.001607793,0.001555888,0.001503982,0.001459034,0.001414085,0.001369137,0.001324188,0.00127924,0.001251277,0.001223313,0.00119535,0.001167387,0.001139424,0.001099461,0.001059497,0.001019534,0.000979571,0.000939608,0.000905638,0.000871668,0.000837697,0.000803727,0.000769757,0.000753764,0.00073777,0.000721777,0.000705784,0.000689791,0.000674795,0.000659799,0.000644803,0.000629807,0.000614811,0.000599815,0.000584819,0.000569823,0.000554827,0.000539831
"BEN",0.023968831,0.023613895,0.023258959,0.022904022,0.022549086,0.02219415,0.021883257,0.021572364,0.021261472,0.020950579,0.020639686,0.021521478,0.02240327,0.023285061,0.024166853,0.025048645,0.024772816,0.024496987,0.024221159,0.02394533,0.023669501,0.023426184,0.023182867,0.02293955,0.022696233,0.022452916,0.022205411,0.021957906,0.021710401,0.021462896,0.021215391,0.020085575,0.018955758,0.017825942,0.016696125,0.015566309,0.014758038,0.013949766,0.013141495,0.012333223,0.011524952,0.011933025,0.012341099,0.012749172,0.013157246,0.013565319,0.013459451,0.013353583,0.013247715,0.013141847,0.013035979,0.012632318,0.012228658,0.011824997,0.011421337,0.011017676,0.010868674,0.010719672,0.010570671,0.010421669,0.010272667,0.010123665,0.009974663,0.009825662,0.00967666,0.009527658
"BFA",0.031768721,0.031155502,0.030542283,0.029929064,0.029315845,0.028702626,0.028156054,0.027609482,0.02706291,0.026516338,0.025969766,0.025480568,0.024991371,0.024502173,0.024012976,0.023523778,0.023031353,0.022538928,0.022046502,0.021554077,0.021061652,0.020409616,0.019757581,0.019105545,0.01845351,0.017801474,0.01669589,0.015590306,0.014484723,0.013379139,0.012273555,0.012242352,0.012211149,0.012179946,0.012148743,0.01211754,0.012332955,0.012548371,0.012763786,0.012979202,0.013194617,0.0133674,0.013540183,0.013712967,0.01388575,0.014058533,0.013733794,0.013409054,0.013084315,0.012759575,0.012434836,0.011970382,0.011505928,0.011041473,0.010577019,0.010112565,0.009848587,0.009584608,0.00932063,0.009056652,0.008792674,0.008528695,0.008264717,0.008000739,0.00773676,0.007472782
"BGD",0.013937196,0.013730992,0.013524787,0.013318583,0.013112378,0.012906174,0.012707661,0.012509148,0.012310634,0.012112121,0.011913608,0.011720831,0.011528054,0.011335276,0.011142499,0.010949722,0.011138126,0.011326529,0.011514933,0.011703336,0.01189174,0.011331094,0.010770448,0.010209803,0.009649157,0.009088511,0.008910063,0.008731615,0.008553168,0.00837472,0.008196272,0.008022628,0.007848984,0.00767534,0.007501695,0.007328051,0.007159223,0.006990395,0.006821567,0.006652739,0.006483911,0.006323889,0.006163867,0.006003845,0.005843823,0.005683801,0.005493021,0.005302241,0.00511146,0.00492068,0.0047299,0.004583115,0.00443633,0.004289544,0.004142759,0.003995974,0.003872579,0.003749184,0.00362579,0.003502395,0.003379,0.003255605,0.00313221,0.003008816,0.002885421,0.002762026
"BGR",0.005937533,0.005482723,0.005027914,0.004573104,0.004118294,0.003663485,0.003586751,0.003510018,0.003433284,0.003356551,0.003279818,0.003183119,0.00308642,0.002989721,0.002893022,0.002796323,0.002748427,0.00270053,0.002652633,0.002604736,0.00255684,0.002562827,0.002568813,0.0025748,0.002580787,0.002586773,0.002540897,0.00249502,0.002449144,0.002403267,0.002357391,0.002373343,0.002389296,0.002405248,0.0024212,0.002437153,0.002396248,0.002355344,0.00231444,0.002273535,0.002232631,0.002205706,0.002178781,0.002151856,0.002124932,0.002098007,0.002017139,0.001936271,0.001855404,0.001774536,0.001693668,0.001684687,0.001675707,0.001666726,0.001657746,0.001648765,0.00158883,0.001528895,0.00146896,0.001409025,0.001349089,0.001289154,0.001229219,0.001169284,0.001109349,0.001049414
"BHR",0.018747601,0.017617881,0.016488161,0.01535844,0.01422872,0.013099,0.0123216,0.0115442,0.0107668,0.0099894,0.009212,0.0086842,0.0081564,0.0076286,0.0071008,0.006573,0.006219,0.005865,0.005511,0.005157,0.004803,0.004567,0.004331,0.004095,0.003859,0.003623,0.0034676,0.0033122,0.0031568,0.0030014,0.002846,0.0027432,0.0026404,0.0025376,0.0024348,0.002332,0.002261208,0.002190417,0.002119625,0.002048833,0.001978042,0.001931129,0.001884217,0.001837304,0.001790391,0.001743479,0.001711532,0.001679585,0.001647638,0.001615692,0.001583745,0.001564774,0.001545803,0.001526832,0.001507862,0.001488891,0.001463714,0.001438537,0.00141336,0.001388183,0.001363006,0.001337828,0.001312651,0.001287474,0.001262297,0.00123712
"BHS",0.007159697,0.006939856,0.006720014,0.006500173,0.006280331,0.00606049,0.005874313,0.005688136,0.005501959,0.005315782,0.005129606,0.004971963,0.004814321,0.004656678,0.004499035,0.004341393,0.004207929,0.004074465,0.003941001,0.003807537,0.003674074,0.003561093,0.003448112,0.003335131,0.00322215,0.003109169,0.003013536,0.002917904,0.002822271,0.002726638,0.002631006,0.002550064,0.002469123,0.002388181,0.00230724,0.002226298,0.002172655,0.002119011,0.002065368,0.002011725,0.001958081,0.001934127,0.001910172,0.001886218,0.001862263,0.001838309,0.001800375,0.001762441,0.001724507,0.001686574,0.00164864,0.001628672,0.001608704,0.001588736,0.001568768,0.0015488,0.001518892,0.001488985,0.001459077,0.00142917,0.001399263,0.001369355,0.001339448,0.00130954,0.001279633,0.001249726
"BIH",0.004406026,0.004291086,0.004176146,0.004061207,0.003946267,0.003831327,0.003774567,0.003717806,0.003661046,0.003604285,0.003547525,0.003454981,0.003362437,0.003269892,0.003177348,0.003084804,0.003004331,0.002923858,0.002843384,0.002762911,0.002682438,0.002633666,0.002584895,0.002536123,0.002487352,0.00243858,0.002433751,0.002428922,0.002424094,0.002419265,0.002414436,0.002391441,0.002368447,0.002345452,0.002322458,0.002299463,0.002568241,0.002837018,0.003105796,0.003374573,0.003643351,0.003292681,0.002942011,0.00259134,0.00224067,0.00189,0.001826,0.001762,0.001698,0.001634,0.00157,0.001528,0.001486,0.001444,0.001402,0.00136,0.001343689,0.001327379,0.001311068,0.001294758,0.001278447,0.001262137,0.001245826,0.001229516,0.001213205,0.001196895
"BLR",0.007374157,0.006842666,0.006311174,0.005779683,0.005248191,0.0047167,0.004474795,0.004232891,0.003990986,0.003749081,0.003507177,0.003394302,0.003281428,0.003168553,0.003055679,0.002942804,0.002860655,0.002778505,0.002696355,0.002614206,0.002532056,0.002505029,0.002478001,0.002450973,0.002423946,0.002396918,0.002412296,0.002427674,0.002443052,0.00245843,0.002473808,0.002466825,0.002459841,0.002452858,0.002445875,0.002438891,0.002418057,0.002397222,0.002376387,0.002355552,0.002334718,0.002261695,0.002188672,0.002115649,0.002042626,0.001969603,0.001909489,0.001849375,0.001789261,0.001729148,0.001669034,0.001604757,0.001540481,0.001476204,0.001411928,0.001347651,0.001305758,0.001263865,0.001221972,0.001180079,0.001138186,0.001096293,0.001054401,0.001012508,0.000970615,0.000928722
"BLZ",0.0105469,0.010161068,0.009775236,0.009389404,0.009003572,0.00861774,0.008268232,0.007918724,0.007569216,0.007219708,0.0068702,0.006387518,0.005904836,0.005422154,0.004939472,0.00445679,0.004273162,0.004089534,0.003905906,0.003722278,0.00353865,0.003325254,0.003111858,0.002898462,0.002685066,0.00247167,0.002336662,0.002201654,0.002066646,0.001931638,0.00179663,0.001663538,0.001530446,0.001397354,0.001264262,0.00113117,0.001127168,0.001123166,0.001119164,0.001115162,0.00111116,0.001924094,0.002737028,0.003549962,0.004362896,0.00517583,0.005294029,0.005412228,0.005530427,0.005648626,0.005766825,0.0055796,0.005392374,0.005205148,0.005017922,0.004830696,0.004845871,0.004861046,0.00487622,0.004891395,0.00490657,0.004921745,0.00493692,0.004952094,0.004967269,0.004982444
