"female_80.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.52187743,0.518759998,0.515642566,0.512525134,0.509407702,0.50629027,0.504059624,0.501828978,0.499598332,0.497367686,0.49513704,0.493522044,0.491907048,0.490292052,0.488677056,0.48706206,0.482599576,0.478137092,0.473674608,0.469212124,0.46474964,0.459369268,0.453988896,0.448608524,0.443228152,0.43784778,0.434694666,0.431541552,0.428388438,0.425235324,0.42208221,0.419535384,0.416988558,0.414441732,0.411894906,0.40934808,0.40849853,0.40764898,0.40679943,0.40594988,0.40510033,0.404250878,0.403401426,0.402551974,0.401702522,0.40085307,0.400043386,0.399233702,0.398424018,0.397614334,0.39680465,0.39381458,0.39082451,0.38783444,0.38484437,0.3818543,0.378915464,0.375976628,0.373037792,0.370098956,0.36716012,0.364221284,0.361282448,0.358343612,0.355404776,0.35246594
"AFG",0.69996465,0.695763602,0.691562554,0.687361506,0.683160458,0.67895941,0.67544293,0.67192645,0.66840997,0.66489349,0.66137701,0.658235794,0.655094578,0.651953362,0.648812146,0.64567093,0.642604138,0.639537346,0.636470554,0.633403762,0.63033697,0.627066268,0.623795566,0.620524864,0.617254162,0.61398346,0.610238786,0.606494112,0.602749438,0.599004764,0.59526009,0.590724238,0.586188386,0.581652534,0.577116682,0.57258083,0.569035986,0.565491142,0.561946298,0.558401454,0.55485661,0.553029028,0.551201446,0.549373864,0.547546282,0.5457187,0.543634938,0.541551176,0.539467414,0.537383652,0.53529989,0.532855554,0.530411218,0.527966882,0.525522546,0.52307821,0.521324052,0.519569894,0.517815736,0.516061578,0.51430742,0.512553262,0.510799104,0.509044946,0.507290788,0.50553663
"AGO",0.69147168,0.68897602,0.68648036,0.6839847,0.68148904,0.67899338,0.67573685,0.67248032,0.66922379,0.66596726,0.66271073,0.65880026,0.65488979,0.65097932,0.64706885,0.64315838,0.639467252,0.635776124,0.632084996,0.628393868,0.62470274,0.621178452,0.617654164,0.614129876,0.610605588,0.6070813,0.605019208,0.602957116,0.600895024,0.598832932,0.59677084,0.595628074,0.594485308,0.593342542,0.592199776,0.59105701,0.589416358,0.587775706,0.586135054,0.584494402,0.58285375,0.578706086,0.574558422,0.570410758,0.566263094,0.56211543,0.555736898,0.549358366,0.542979834,0.536601302,0.53022277,0.524063004,0.517903238,0.511743472,0.505583706,0.49942394,0.493958924,0.488493908,0.483028892,0.477563876,0.47209886,0.466633844,0.461168828,0.455703812,0.450238796,0.44477378
"ALB",0.46092698,0.456259682,0.451592384,0.446925086,0.442257788,0.43759049,0.429400236,0.421209982,0.413019728,0.404829474,0.39663922,0.404509282,0.412379344,0.420249406,0.428119468,0.43598953,0.439813866,0.443638202,0.447462538,0.451286874,0.45511121,0.453737668,0.452364126,0.450990584,0.449617042,0.4482435,0.444713332,0.441183164,0.437652996,0.434122828,0.43059266,0.427296814,0.424000968,0.420705122,0.417409276,0.41411343,0.419227882,0.424342334,0.429456786,0.434571238,0.43968569,0.434500762,0.429315834,0.424130906,0.418945978,0.41376105,0.405686064,0.397611078,0.389536092,0.381461106,0.37338612,0.371814096,0.370242072,0.368670048,0.367098024,0.365526,0.356430892,0.347335784,0.338240676,0.329145568,0.32005046,0.310955352,0.301860244,0.292765136,0.283670028,0.27457492
"ARE",0.599922,0.5957374,0.5915528,0.5873682,0.5831836,0.578999,0.5747682,0.5705374,0.5663066,0.5620758,0.557845,0.5536016,0.5493582,0.5451148,0.5408714,0.536628,0.5324062,0.5281844,0.5239626,0.5197408,0.515519,0.511352,0.507185,0.503018,0.498851,0.494684,0.4906068,0.4865296,0.4824524,0.4783752,0.474298,0.4703488,0.4663996,0.4624504,0.4585012,0.454552,0.4507668,0.4469816,0.4431964,0.4394112,0.435626,0.432001,0.428376,0.424751,0.421126,0.417501,0.414028116,0.410555232,0.407082348,0.403609464,0.40013658,0.396854846,0.393573112,0.390291378,0.387009644,0.38372791,0.37904911,0.37437031,0.36969151,0.36501271,0.36033391,0.35565511,0.35097631,0.34629751,0.34161871,0.33693991
"ARG",0.45511221,0.449964788,0.444817366,0.439669944,0.434522522,0.4293751,0.437771122,0.446167144,0.454563166,0.462959188,0.47135521,0.470245058,0.469134906,0.468024754,0.466914602,0.46580445,0.463427416,0.461050382,0.458673348,0.456296314,0.45391928,0.451622932,0.449326584,0.447030236,0.444733888,0.44243754,0.438143124,0.433848708,0.429554292,0.425259876,0.42096546,0.417402404,0.413839348,0.410276292,0.406713236,0.40315018,0.397610098,0.392070016,0.386529934,0.380989852,0.37544977,0.368503592,0.361557414,0.354611236,0.347665058,0.34071888,0.33605141,0.33138394,0.32671647,0.322049,0.31738153,0.309792558,0.302203586,0.294614614,0.287025642,0.27943667,0.276352912,0.273269154,0.270185396,0.267101638,0.26401788,0.260934122,0.257850364,0.254766606,0.251682848,0.24859909
"ARM",0.44380257,0.437650526,0.431498482,0.425346438,0.419194394,0.41304235,0.40663797,0.40023359,0.39382921,0.38742483,0.38102045,0.373215442,0.365410434,0.357605426,0.349800418,0.34199541,0.33717046,0.33234551,0.32752056,0.32269561,0.31787066,0.319988164,0.322105668,0.324223172,0.326340676,0.32845818,0.329066786,0.329675392,0.330283998,0.330892604,0.33150121,0.346303566,0.361105922,0.375908278,0.390710634,0.40551299,0.405574406,0.405635822,0.405697238,0.405758654,0.40582007,0.401681674,0.397543278,0.393404882,0.389266486,0.38512809,0.385323056,0.385518022,0.385712988,0.385907954,0.38610292,0.386193786,0.386284652,0.386375518,0.386466384,0.38655725,0.38477283,0.38298841,0.38120399,0.37941957,0.37763515,0.37585073,0.37406631,0.37228189,0.37049747,0.36871305
"ATG",0.48491556,0.482420448,0.479925336,0.477430224,0.474935112,0.47244,0.469825306,0.467210612,0.464595918,0.461981224,0.45936653,0.456372452,0.453378374,0.450384296,0.447390218,0.44439614,0.441378296,0.438360452,0.435342608,0.432324764,0.42930692,0.426277992,0.423249064,0.420220136,0.417191208,0.41416228,0.411163812,0.408165344,0.405166876,0.402168408,0.39916994,0.396187288,0.393204636,0.390221984,0.387239332,0.38425668,0.381319148,0.378381616,0.375444084,0.372506552,0.36956902,0.36666679,0.36376456,0.36086233,0.3579601,0.35505787,0.352249054,0.349440238,0.346631422,0.343822606,0.34101379,0.338250806,0.335487822,0.332724838,0.329961854,0.32719887,0.32388609,0.32057331,0.31726053,0.31394775,0.31063497,0.30732219,0.30400941,0.30069663,0.29738385,0.29407107
"AUS",0.44200968,0.43878594,0.4355622,0.43233846,0.42911472,0.42589098,0.422706856,0.419522732,0.416338608,0.413154484,0.40997036,0.409396578,0.408822796,0.408249014,0.407675232,0.40710145,0.403288382,0.399475314,0.395662246,0.391849178,0.38803611,0.380397208,0.372758306,0.365119404,0.357480502,0.3498416,0.345059166,0.340276732,0.335494298,0.330711864,0.32592943,0.322846174,0.319762918,0.316679662,0.313596406,0.31051315,0.305046486,0.299579822,0.294113158,0.288646494,0.28317983,0.27894832,0.27471681,0.2704853,0.26625379,0.26202228,0.257476322,0.252930364,0.248384406,0.243838448,0.23929249,0.23507551,0.23085853,0.22664155,0.22242457,0.21820759,0.21512186,0.21203613,0.2089504,0.20586467,0.20277894,0.19969321,0.19660748,0.19352175,0.19043602,0.18735029
"AUT",0.518012,0.513097892,0.508183784,0.503269676,0.498355568,0.49344146,0.49058947,0.48773748,0.48488549,0.4820335,0.47918151,0.477830612,0.476479714,0.475128816,0.473777918,0.47242702,0.469650052,0.466873084,0.464096116,0.461319148,0.45854218,0.45520732,0.45187246,0.4485376,0.44520274,0.44186788,0.436559766,0.431251652,0.425943538,0.420635424,0.41532731,0.40789204,0.40045677,0.3930215,0.38558623,0.37815096,0.370613058,0.363075156,0.355537254,0.347999352,0.34046145,0.334300678,0.328139906,0.321979134,0.315818362,0.30965759,0.303502508,0.297347426,0.291192344,0.285037262,0.27888218,0.273429914,0.267977648,0.262525382,0.257073116,0.25162085,0.246699816,0.241778782,0.236857748,0.231936714,0.22701568,0.222094646,0.217173612,0.212252578,0.207331544,0.20241051
