"female_65.hist","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"ABW",0.15820189,0.155372802,0.152543714,0.149714626,0.146885538,0.14405645,0.142075046,0.140093642,0.138112238,0.136130834,0.13414943,0.13277379,0.13139815,0.13002251,0.12864687,0.12727123,0.124440444,0.121609658,0.118778872,0.115948086,0.1131173,0.110684954,0.108252608,0.105820262,0.103387916,0.10095557,0.099648389,0.098341208,0.097034027,0.095726846,0.094419665,0.093484353,0.092549041,0.091613729,0.090678417,0.089743105,0.089436892,0.08913068,0.088824467,0.088518255,0.088212042,0.087908722,0.087605402,0.087302082,0.086998762,0.086695442,0.086408961,0.08612248,0.085835999,0.085549518,0.085263037,0.084227127,0.083191218,0.082155308,0.081119399,0.080083489,0.079118945,0.0781544,0.077189856,0.076225311,0.075260767,0.074296223,0.073331678,0.072367134,0.071402589,0.070438045
"AFG",0.31248316,0.308886806,0.305290452,0.301694098,0.298097744,0.29450139,0.291508528,0.288515666,0.285522804,0.282529942,0.27953708,0.276877284,0.274217488,0.271557692,0.268897896,0.2662381,0.263642032,0.261045964,0.258449896,0.255853828,0.25325776,0.250484434,0.247711108,0.244937782,0.242164456,0.23939113,0.236211672,0.233032214,0.229852756,0.226673298,0.22349384,0.219616842,0.215739844,0.211862846,0.207985848,0.20410885,0.201017794,0.197926738,0.194835682,0.191744626,0.18865357,0.186939768,0.185225966,0.183512164,0.181798362,0.18008456,0.178157874,0.176231188,0.174304502,0.172377816,0.17045113,0.16821907,0.16598701,0.16375495,0.16152289,0.15929083,0.15769532,0.15609981,0.1545043,0.15290879,0.15131328,0.14971777,0.14812226,0.14652675,0.14493124,0.14333573
"AGO",0.284392,0.282650002,0.280908004,0.279166006,0.277424008,0.27568201,0.273448094,0.271214178,0.268980262,0.266746346,0.26451243,0.261864204,0.259215978,0.256567752,0.253919526,0.2512713,0.248782298,0.246293296,0.243804294,0.241315292,0.23882629,0.236471766,0.234117242,0.231762718,0.229408194,0.22705367,0.225692034,0.224330398,0.222968762,0.221607126,0.22024549,0.219479636,0.218713782,0.217947928,0.217182074,0.21641622,0.215333262,0.214250304,0.213167346,0.212084388,0.21100143,0.208426136,0.205850842,0.203275548,0.200700254,0.19812496,0.19365928,0.1891936,0.18472792,0.18026224,0.17579656,0.171533612,0.167270664,0.163007716,0.158744768,0.15448182,0.15082537,0.14716892,0.14351247,0.13985602,0.13619957,0.13254312,0.12888667,0.12523022,0.12157377,0.11791732
"ALB",0.13740786,0.13411177,0.13081568,0.12751959,0.1242235,0.12092741,0.115878684,0.110829958,0.105781233,0.100732507,0.095683781,0.097240983,0.098798185,0.100355386,0.101912588,0.10346979,0.103405086,0.103340382,0.103275678,0.103210974,0.10314627,0.101621107,0.100095943,0.09857078,0.097045616,0.095520453,0.093286484,0.091052515,0.088818545,0.086584576,0.084350607,0.082006184,0.079661761,0.077317338,0.074972915,0.072628492,0.073768503,0.074908514,0.076048526,0.077188537,0.078328548,0.077063014,0.07579748,0.074531947,0.073266413,0.072000879,0.070203184,0.068405489,0.066607795,0.0648101,0.063012405,0.062860885,0.062709366,0.062557846,0.062406327,0.062254807,0.061202047,0.060149288,0.059096528,0.058043769,0.056991009,0.055938249,0.05488549,0.05383273,0.052779971,0.051727211
"ARE",0.197241,0.1951476,0.1930542,0.1909608,0.1888674,0.186774,0.1847712,0.1827684,0.1807656,0.1787628,0.17676,0.1748484,0.1729368,0.1710252,0.1691136,0.167202,0.1653822,0.1635624,0.1617426,0.1599228,0.158103,0.1563774,0.1546518,0.1529262,0.1512006,0.149475,0.147841,0.146207,0.144573,0.142939,0.141305,0.1397616,0.1382182,0.1366748,0.1351314,0.133588,0.1321352,0.1306824,0.1292296,0.1277768,0.126324,0.1249608,0.1235976,0.1222344,0.1208712,0.119508,0.118243026,0.116978052,0.115713078,0.114448104,0.11318313,0.111978748,0.110774366,0.109569984,0.108365602,0.10716122,0.10485333,0.10254544,0.10023755,0.09792966,0.09562177,0.09331388,0.09100599,0.0886981,0.08639021,0.08408232
"ARG",0.14145,0.138534,0.135618,0.132702,0.129786,0.12687,0.12347,0.12007,0.11667,0.11327,0.10987,0.109718,0.109566,0.109414,0.109262,0.10911,0.107578,0.106046,0.104514,0.102982,0.10145,0.099964,0.098478,0.096992,0.095506,0.09402,0.092518,0.091016,0.089514,0.088012,0.08651,0.08597,0.08543,0.08489,0.08435,0.08381,0.082852,0.081894,0.080936,0.079978,0.07902,0.078418,0.077816,0.077214,0.076612,0.07601,0.075442,0.074874,0.074306,0.073738,0.07317,0.072755796,0.072341591,0.071927387,0.071513182,0.071098978,0.070142811,0.069186644,0.068230476,0.067274309,0.066318142,0.065361975,0.064405808,0.06344964,0.062493473,0.061537306
"ARM",0.1451469,0.142297056,0.139447212,0.136597368,0.133747524,0.13089768,0.12808457,0.12527146,0.12245835,0.11964524,0.11683213,0.114018212,0.111204294,0.108390376,0.105576458,0.10276254,0.101079046,0.099395552,0.097712058,0.096028564,0.09434507,0.095071266,0.095797462,0.096523657,0.097249853,0.097976049,0.098181659,0.098387269,0.09859288,0.09879849,0.0990041,0.104397114,0.109790128,0.115183142,0.120576156,0.12596917,0.125438754,0.124908338,0.124377922,0.123847506,0.12331709,0.1212285,0.11913991,0.11705132,0.11496273,0.11287414,0.109364248,0.105854356,0.102344463,0.098834571,0.095324679,0.097437487,0.099550295,0.101663104,0.103775912,0.10588872,0.10528664,0.10468456,0.10408248,0.1034804,0.10287832,0.10227624,0.10167416,0.10107208,0.10047,0.09986792
"ATG",0.14792933,0.14606864,0.14420795,0.14234726,0.14048657,0.13862588,0.136813152,0.135000424,0.133187696,0.131374968,0.12956224,0.12783091,0.12609958,0.12436825,0.12263692,0.12090559,0.119300804,0.117696018,0.116091232,0.114486446,0.11288166,0.111391918,0.109902176,0.108412434,0.106922692,0.10543295,0.104053582,0.102674214,0.101294846,0.099915478,0.09853611,0.09725087,0.09596563,0.09468039,0.09339515,0.09210991,0.090914194,0.089718478,0.088522762,0.087327046,0.08613133,0.085021242,0.083911154,0.082801066,0.081690978,0.08058089,0.079547988,0.078515086,0.077482184,0.076449282,0.07541638,0.074454528,0.073492676,0.072530824,0.071568972,0.07060712,0.069628563,0.068650007,0.06767145,0.066692894,0.065714337,0.06473578,0.063757224,0.062778667,0.061800111,0.060821554
"AUS",0.11769962,0.116164792,0.114629964,0.113095136,0.111560308,0.11002548,0.108751018,0.107476556,0.106202094,0.104927632,0.10365317,0.10390224,0.10415131,0.10440038,0.10464945,0.10489852,0.102977172,0.101055825,0.099134477,0.09721313,0.095291782,0.092809226,0.09032667,0.087844114,0.085361558,0.082879002,0.081288462,0.079697923,0.078107383,0.076516844,0.074926304,0.073715158,0.072504012,0.071292866,0.07008172,0.068870574,0.067321557,0.06577254,0.064223522,0.062674505,0.061125488,0.059457337,0.057789186,0.056121034,0.054452883,0.052784732,0.051421362,0.050057993,0.048694623,0.047331254,0.045967884,0.044772811,0.043577738,0.042382664,0.041187591,0.039992518,0.039327178,0.038661838,0.037996497,0.037331157,0.036665817,0.036000477,0.035335137,0.034669796,0.034004456,0.033339116
"AUT",0.12828161,0.126088958,0.123896306,0.121703654,0.119511002,0.11731835,0.11566138,0.11400441,0.11234744,0.11069047,0.1090335,0.109003288,0.108973076,0.108942864,0.108912652,0.10888244,0.107151972,0.105421504,0.103691036,0.101960568,0.1002301,0.098114891,0.095999682,0.093884473,0.091769264,0.089654055,0.087687385,0.085720715,0.083754046,0.081787376,0.079820706,0.078234733,0.076648759,0.075062786,0.073476812,0.071890839,0.070485273,0.069079708,0.067674142,0.066268577,0.064863011,0.063041942,0.061220873,0.059399805,0.057578736,0.055757667,0.054038568,0.052319469,0.050600371,0.048881272,0.047162173,0.046467828,0.045773483,0.045079137,0.044384792,0.043690447,0.043876564,0.04406268,0.044248797,0.044434913,0.04462103,0.044807147,0.044993263,0.04517938,0.045365496,0.045551613
